,,Week 15 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,LAR,-,-,,7.24,20.25,356.53,2.96,0.88,0.63,0.06,0.13,0.06,0.00,0.00
2,DAL,CAR,-,-,,7.18,18.75,293.95,2.89,0.92,0.61,0.06,0.12,0.06,0.00,0.00
3,BAL,NYG,-,-,,7.06,18.75,264.40,2.89,0.86,0.61,0.06,0.12,0.06,0.00,0.00
4,NYJ,JAX,-,-,,7.03,22.50,330.22,2.86,0.89,0.60,0.06,0.12,0.06,0.00,0.00
5,KC,CLE,-,-,,6.88,21.75,324.60,2.74,0.85,0.61,0.06,0.12,0.06,0.00,0.00
6,DET,BUF,-,-,,6.43,24.25,381.16,2.69,0.87,0.56,0.06,0.06,0.06,0.00,0.00
7,HOU,MIA,-,-,,6.41,23.50,373.35,2.67,0.81,0.62,0.06,0.06,0.06,0.00,0.00
8,CLE,KC,-,-,,6.36,24.75,396.36,2.54,0.75,0.58,0.06,0.12,0.06,0.00,0.00
9,PIT,PHI,-,-,,6.21,24.00,358.47,2.57,0.74,0.51,0.06,0.11,0.06,0.00,0.00
10,BUF,DET,-,-,,6.16,26.25,395.75,2.54,0.85,0.54,0.06,0.06,0.06,0.00,0.00
11,MIA,HOU,-,-,,6.14,26.00,395.77,2.56,0.77,0.60,0.06,0.06,0.06,0.00,0.00
12,PHI,PIT,-,-,,6.07,21.00,308.04,2.59,0.78,0.54,0.06,0.06,0.06,0.00,0.00
13,CIN,TEN,-,-,,6.02,20.75,317.47,2.46,0.80,0.55,0.06,0.06,0.06,0.00,0.00
14,SEA,GB,-,-,,5.97,24.00,363.71,2.54,0.77,0.53,0.06,0.06,0.06,0.00,0.00
15,CHI,MIN,-,-,,5.96,22.50,93.99,2.50,0.77,0.54,0.06,0.06,0.06,0.00,0.00
16,GB,SEA,-,-,,5.95,23.00,331.24,2.46,0.78,0.54,0.06,0.06,0.06,0.00,0.00
17,ATL,LV,-,-,,5.82,22.25,403.27,2.37,0.77,0.53,0.06,0.06,0.06,0.00,0.00
18,MIN,CHI,-,-,,5.80,23.50,346.06,2.52,0.70,0.53,0.06,0.06,0.06,0.00,0.00
19,LV,ATL,-,-,,5.77,23.25,344.56,2.51,0.70,0.52,0.06,0.06,0.06,0.00,0.00
20,JAX,NYJ,-,-,,5.74,23.50,349.57,2.46,0.70,0.53,0.06,0.06,0.06,0.00,0.00
21,NO,WAS,-,-,,5.74,19.50,304.16,2.34,0.76,0.53,0.06,0.06,0.06,0.00,0.00
22,LAC,TB,-,-,,5.71,19.75,299.76,2.41,0.71,0.53,0.06,0.06,0.06,0.00,0.00
23,IND,DEN,-,-,,5.66,21.00,278.84,2.32,0.72,0.54,0.06,0.06,0.06,0.00,0.00
24,ARI,NE,-,-,,5.57,20.25,297.84,2.21,0.72,0.54,0.06,0.06,0.06,0.00,0.00
25,NE,ARI,-,-,,5.46,23.75,362.64,2.31,0.67,0.51,0.06,0.06,0.06,0.00,0.00
26,TB,LAC,-,-,,5.46,22.75,347.29,2.23,0.72,0.50,0.06,0.06,0.06,0.00,0.00
27,LAR,SF,-,-,,5.46,26.75,407.57,2.31,0.67,0.51,0.06,0.06,0.06,0.00,0.00
28,TEN,CIN,-,-,,5.39,25.25,361.69,2.21,0.68,0.51,0.06,0.06,0.06,0.00,0.00
29,DEN,IND,-,-,,5.36,23.50,344.89,2.17,0.68,0.51,0.06,0.06,0.06,0.00,0.00
30,WAS,NO,-,-,,5.27,22.50,333.48,2.16,0.67,0.50,0.06,0.06,0.06,0.00,0.00
31,NYG,BAL,-,-,,5.20,25.25,378.05,2.24,0.60,0.49,0.05,0.05,0.05,0.00,0.00
32,CAR,DAL,-,-,,5.20,25.25,363.91,2.13,0.66,0.49,0.05,0.05,0.05,0.00,0.00
