,,,Week 2 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,TB,DET,-6.5,48.5,8.78,5.64,58.44,0.49,0.00,0.00,0.00
2,Travis Kelce,KC,CIN,KC,-3.5,47.5,8.72,5.49,58.12,0.48,0.07,0.27,0.00
3,Mark Andrews,BAL,LV,BAL,-8.0,43.5,7.95,4.20,53.14,0.44,0.00,0.00,0.00
4,George Kittle,SF,MIN,SF,-7.0,45.5,7.86,4.06,55.51,0.38,0.06,0.31,0.00
5,Dalton Kincaid,BUF,MIA,MIA,2,50.5,6.75,4.71,48.89,0.31,0.00,0.00,0.00
6,Trey McBride,ARI,LAR,LAR,2,48.0,6.70,4.78,48.99,0.30,0.00,0.00,0.00
7,Kyle Pitts,ATL,PHI,PHI,4,47.5,6.43,3.82,47.49,0.28,0.00,0.00,0.00
8,Jake Ferguson,DAL,NO,DAL,-6.5,44.5,5.89,3.97,41.50,0.29,0.00,0.00,0.00
9,Taysom Hill,NO,DAL,DAL,6.5,44.5,5.78,1.31,13.43,0.12,4.76,20.45,0.24
10,Dalton Schultz,HOU,CHI,HOU,-3.5,46.5,5.56,3.58,37.60,0.30,0.00,0.00,0.00
11,Dallas Goedert,PHI,ATL,PHI,-4.0,47.5,5.52,3.84,41.37,0.23,0.00,0.00,0.00
12,David Njoku,CLE,JAX,JAX,2,44.5,5.51,3.61,38.94,0.27,0.00,0.00,0.00
13,Evan Engram,JAX,CLE,JAX,-2.0,44.5,5.40,4.17,40.23,0.23,0.00,0.00,0.00
14,T.J. Hockenson,MIN,SF,SF,7,45.5,4.83,3.36,34.47,0.23,0.00,0.00,0.00
15,Pat Freiermuth,PIT,DEN,PIT,-2.5,40.5,4.80,3.26,34.17,0.23,0.00,0.00,0.00
16,Cole Kmet,CHI,HOU,HOU,3.5,46.5,4.70,3.18,32.57,0.24,0.00,0.00,0.00
17,Brock Bowers,LV,BAL,BAL,8,43.5,4.70,2.98,33.24,0.23,0.00,0.00,0.00
18,Luke Musgrave,GB,IND,GB,-5.0,47.0,4.06,2.48,28.64,0.20,0.00,0.00,0.00
19,Cade Otton,TB,DET,DET,6.5,48.5,3.87,2.59,26.09,0.21,0.00,0.00,0.00
20,Ben Sinnott,WAS,NYG,WAS,-2.5,41.5,3.73,2.41,25.28,0.20,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,NYJ,NYJ,4,43.5,3.56,2.41,24.52,0.18,0.06,0.24,0.00
22,Tucker Kraft,GB,IND,GB,-5.0,47.0,3.41,2.17,22.67,0.19,0.00,0.00,0.00
23,Isaiah Likely,BAL,LV,BAL,-8.0,43.5,3.21,1.98,21.94,0.17,0.00,0.00,0.00
24,Tyler Conklin,NYJ,TEN,NYJ,-4.0,43.5,3.04,2.21,22.04,0.14,0.00,0.00,0.00
25,Juwan Johnson,NO,DAL,DAL,6.5,44.5,3.02,1.78,19.98,0.17,0.00,0.00,0.00
26,Dawson Knox,BUF,MIA,MIA,2,50.5,3.00,1.76,19.23,0.18,0.00,0.00,0.00
27,Ja'Tavion Sanders,CAR,LAC,LAC,3.5,42.0,2.99,1.78,19.72,0.17,0.00,0.00,0.00
28,Colby Parkinson,LAR,ARI,LAR,-2.0,48.0,2.94,1.84,19.78,0.16,0.00,0.00,0.00
29,Hunter Henry,NE,SEA,SEA,3,41.0,2.83,1.97,19.88,0.14,0.00,0.00,0.00
30,Noah Fant,SEA,NE,SEA,-3.0,41.0,2.81,2.06,20.87,0.12,0.00,0.00,0.00
31,Gerald Everett,CHI,HOU,HOU,3.5,46.5,2.57,1.70,17.25,0.14,0.00,0.00,0.00
32,Theo Johnson,NYG,WAS,WAS,2.5,41.5,2.56,1.63,17.21,0.14,0.00,0.00,0.00
33,Michael Mayer,LV,BAL,BAL,8,43.5,2.49,1.66,17.67,0.12,0.00,0.00,0.00
34,Noah Gray,KC,CIN,KC,-3.5,47.5,2.39,1.51,16.10,0.13,0.00,0.00,0.00
35,Durham Smythe,MIA,BUF,MIA,-2.0,50.5,2.31,1.40,14.11,0.15,0.00,0.00,0.00
36,Will Mallory,IND,GB,GB,5,47.0,2.24,1.55,16.38,0.10,0.00,0.00,0.00
37,Tanner Hudson,CIN,KC,KC,3.5,47.5,2.19,1.40,14.07,0.13,0.00,0.00,0.00
38,Tyler Higbee,LAR,ARI,LAR,-2.0,48.0,2.16,1.38,14.42,0.12,0.00,0.00,0.00
39,Jelani Woods,IND,GB,GB,5,47.0,2.12,1.36,15.24,0.10,0.00,0.00,0.00
40,Mike Gesicki,CIN,KC,KC,3.5,47.5,2.08,1.35,14.77,0.10,0.00,0.00,0.00
41,Cade Stover,HOU,CHI,HOU,-3.5,46.5,2.05,1.42,15.09,0.09,0.00,0.00,0.00
42,Jaheim Bell,NE,SEA,SEA,3,41.0,2.04,1.25,13.79,0.11,0.00,0.00,0.00
