,,,Week 4 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,TEN,-,-,,13.28,6.97,96.99,0.56,0.31,2.24,0.00
2,CeeDee Lamb,DAL,NYG,-,-,,12.50,6.97,88.16,0.48,0.73,4.48,0.06
3,Ja'Marr Chase,CIN,CAR,-,-,,11.44,6.45,83.98,0.49,0.18,0.98,0.00
4,A.J. Brown,PHI,TB,-,-,,11.28,5.48,82.47,0.50,0.06,0.37,0.00
5,Amon-Ra St. Brown,DET,SEA,-,-,,11.14,7.09,82.11,0.45,0.38,2.30,0.00
6,Garrett Wilson,NYJ,DEN,-,-,,10.67,5.99,75.98,0.48,0.30,1.88,0.00
7,Deebo Samuel,SF,NE,-,-,,10.65,4.06,57.07,0.38,2.56,15.19,0.19
8,Justin Jefferson,MIN,GB,-,-,,10.60,5.98,81.31,0.40,0.11,0.68,0.00
9,Puka Nacua,LAR,CHI,-,-,,10.21,5.56,74.39,0.42,0.48,2.48,0.00
10,Brandon Aiyuk,SF,NE,-,-,,9.93,4.91,71.93,0.45,0.06,0.32,0.00
11,Nico Collins,HOU,JAX,-,-,,9.76,4.83,71.21,0.43,0.12,0.62,0.00
12,Marvin Harrison,ARI,WAS,-,-,,9.46,4.89,68.94,0.42,0.06,0.42,0.00
13,Jaylen Waddle,MIA,TEN,-,-,,9.28,5.09,69.41,0.37,0.18,1.17,0.00
14,Drake London,ATL,NO,-,-,,9.27,5.19,67.41,0.41,0.12,0.65,0.00
15,Mike Evans,TB,PHI,-,-,,9.23,4.26,64.41,0.46,0.06,0.29,0.00
16,Tee Higgins,CIN,CAR,-,-,,9.16,4.57,64.91,0.44,0.06,0.32,0.00
17,Amari Cooper,CLE,LV,-,-,,9.09,4.44,65.39,0.42,0.06,0.30,0.00
18,DJ Moore,CHI,LAR,-,-,,8.93,4.63,62.64,0.42,0.24,1.43,0.00
19,Cooper Kupp,LAR,CHI,-,-,,8.82,5.21,62.12,0.41,0.23,1.51,0.00
20,Chris Olave,NO,ATL,-,-,,8.81,4.97,67.38,0.34,0.06,0.28,0.00
21,DK Metcalf,SEA,DET,-,-,,8.81,4.23,60.84,0.45,0.06,0.28,0.00
22,Stefon Diggs,HOU,JAX,-,-,,8.64,5.03,60.86,0.42,0.06,0.30,0.00
23,DeVonta Smith,PHI,TB,-,-,,8.61,5.19,63.52,0.37,0.06,0.37,0.00
