,,,Week 1 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Evan McPherson,CIN,NE,CIN,-9.0,42.5,8.49,1.82,2.06,88.3,3.00,3.13,95.8
2,Harrison Butker,KC,BAL,KC,-2.5,46.5,8.37,1.78,2.02,88.1,3.03,3.15,96.2
3,Justin Tucker,BAL,KC,KC,2.5,46.5,8.16,1.80,2.03,88.7,2.79,2.84,98.2
4,Ka'imi Fairbairn,HOU,IND,HOU,-2.0,49.0,7.91,1.67,1.97,84.8,2.90,3.02,96.0
5,Tyler Bass,BUF,ARI,BUF,-6.0,48.0,7.88,1.71,2.02,84.7,2.78,2.91,95.5
6,Brandon Aubrey,DAL,CLE,CLE,2,43.0,7.82,1.70,1.93,88.1,2.72,2.84,95.8
7,Jason Sanders,MIA,JAX,MIA,-3.5,49.0,7.76,1.62,1.94,83.5,2.87,3.00,95.7
8,Jake Moody,SF,NYJ,SF,-4.0,44.0,7.75,1.62,1.92,84.4,2.89,3.07,94.1
9,Younghoe Koo,ATL,PIT,ATL,-3.0,41.5,7.52,1.75,1.98,88.4,2.27,2.33,97.4
10,Jake Elliott,PHI,GB,PHI,-2.0,48.5,7.50,1.66,1.90,87.4,2.52,2.64,95.5
11,Cameron Dicker,LAC,LV,LAC,-3.5,42.5,7.49,1.71,1.95,87.7,2.36,2.48,95.2
12,Jason Myers,SEA,DEN,SEA,-5.0,42.0,7.30,1.61,1.91,84.3,2.26,2.38,95.0
13,Dustin Hopkins,CLE,DAL,CLE,-2.0,43.0,7.28,1.63,1.92,84.9,2.39,2.51,95.2
14,Matt Gay,IND,HOU,HOU,2,49.0,7.13,1.67,1.97,84.8,2.09,2.21,94.6
15,Blake Grupe,NO,CAR,NO,-4.0,40.0,7.10,1.57,1.86,84.4,2.21,2.32,95.3
16,Greg Zuerlein,NYJ,SF,SF,4,44.0,7.10,1.62,1.90,85.3,2.24,2.35,95.3
17,Cairo Santos,CHI,TEN,CHI,-4.5,43.5,7.08,1.62,1.86,87.1,2.22,2.34,94.9
18,Jake Bates,DET,LAR,DET,-3.5,51.0,7.04,1.42,1.75,81.1,2.78,2.91,95.5
19,Chase McLaughlin,TB,WAS,TB,-3.0,42.0,6.97,1.64,1.93,85.0,2.05,2.17,94.5
20,Joshua Karty,LAR,DET,DET,3.5,51.0,6.93,1.49,1.83,81.4,2.46,2.58,95.3
21,Daniel Carlson,LV,LAC,LAC,3.5,42.5,6.83,1.66,1.89,87.8,2.00,2.05,97.6
22,Matt Prater,ARI,BUF,BUF,6,48.0,6.80,1.60,1.88,85.1,2.00,2.11,94.8
23,Graham Gano,NYG,MIN,-,-,,6.72,1.60,1.89,84.7,1.89,2.00,94.5
24,Cam Little,JAX,MIA,MIA,3.5,49.0,6.70,1.43,1.78,80.3,2.38,2.49,95.6
25,Anders Carlson,GB,PHI,PHI,2,48.5,6.67,1.42,1.76,80.7,2.38,2.50,95.2
26,Chris Boswell,PIT,ATL,ATL,3,41.5,6.61,1.55,1.77,87.6,1.93,2.04,94.6
27,Nick Folk,TEN,CHI,CHI,4.5,43.5,6.51,1.55,1.83,84.7,1.83,1.94,94.3
28,Wil Lutz,DEN,SEA,SEA,5,42.0,6.22,1.42,1.69,84.0,1.96,2.07,94.7
29,Will Reichard,MIN,NYG,-,-,,6.17,1.34,1.61,83.2,2.15,2.26,95.1
30,Eddy Pineiro,CAR,NO,NO,4,40.0,5.96,1.41,1.64,86.0,1.91,2.04,93.6
31,Joey Slye,NE,CIN,CIN,9,42.5,5.84,1.53,1.90,80.5,1.91,2.09,91.4
32,Austin Seibert,NYJ,SF,SF,4,44.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Chad Ryland,NE,CIN,CIN,9,42.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Brayden Narveson,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Matthew Wright,PIT,ATL,ATL,3,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Spencer Shrader,IND,HOU,HOU,2,49.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Charlie Smyth,NO,CAR,NO,-4.0,40.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Michael Badgley,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Cade York,WAS,TB,TB,3,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Alex Hale,GB,PHI,PHI,2,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
