,,,Week 14 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,LAC,-,-,,8.70,1.85,2.10,88.1,3.15,3.27,96.3
2,Brandon Aubrey,DAL,CIN,-,-,,8.41,1.83,2.07,88.4,2.92,3.04,96.1
3,Evan McPherson,CIN,DAL,-,-,,8.09,1.74,1.98,87.9,2.87,2.99,96.0
4,Jake Moody,SF,CHI,-,-,,8.08,1.69,2.01,84.1,3.01,3.20,94.1
5,Jake Elliott,PHI,CAR,-,-,,7.63,1.69,1.94,87.1,2.56,2.69,95.2
6,Younghoe Koo,ATL,MIN,-,-,,7.58,1.77,2.01,88.1,2.30,2.36,97.5
7,Jason Sanders,MIA,NYJ,-,-,,7.57,1.58,1.89,83.6,2.80,2.92,95.9
8,Tyler Bass,BUF,LAR,-,-,,7.56,1.64,1.94,84.5,2.67,2.79,95.7
9,Greg Zuerlein,NYJ,MIA,-,-,,7.45,1.71,2.00,85.5,2.35,2.47,95.1
10,Dustin Hopkins,CLE,PIT,-,-,,7.18,1.60,1.89,84.7,2.35,2.46,95.5
11,Jason Myers,SEA,ARI,-,-,,7.15,1.58,1.87,84.5,2.23,2.34,95.3
12,Matt Prater,ARI,SEA,-,-,,7.13,1.67,1.97,84.8,2.09,2.21,94.6
13,Daniel Carlson,LV,TB,-,-,,7.07,1.72,1.95,88.2,2.06,2.12,97.2
14,Chase McLaughlin,TB,LV,-,-,,6.98,1.65,1.94,85.1,2.06,2.18,94.5
15,Blake Grupe,NO,NYG,-,-,,6.97,1.54,1.82,84.6,2.17,2.28,95.2
16,Cameron Dicker,LAC,KC,-,-,,6.94,1.59,1.81,87.8,2.20,2.31,95.2
17,Chris Boswell,PIT,CLE,-,-,,6.93,1.63,1.87,87.2,2.04,2.16,94.4
18,Joshua Karty,LAR,BUF,-,-,,6.92,1.48,1.82,81.3,2.45,2.56,95.7
19,Jake Bates,DET,GB,-,-,,6.83,1.38,1.69,81.7,2.69,2.82,95.4
20,Cairo Santos,CHI,SF,-,-,,6.76,1.54,1.77,87.0,2.11,2.22,95.0
21,Nick Folk,TEN,JAX,-,-,,6.74,1.62,1.91,84.8,1.91,2.02,94.6
22,Anders Carlson,GB,DET,-,-,,6.56,1.41,1.74,81.0,2.36,2.48,95.2
23,Graham Gano,NYG,NO,-,-,,6.53,1.57,1.85,84.9,1.85,1.96,94.4
24,Will Reichard,MIN,ATL,-,-,,6.39,1.39,1.67,83.2,2.22,2.33,95.3
25,Cam Little,JAX,TEN,-,-,,6.35,1.36,1.70,80.0,2.27,2.38,95.4
26,Eddy Pineiro,CAR,PHI,-,-,,5.82,1.37,1.59,86.2,1.86,1.97,94.4
27,Matthew Wright,PIT,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
28,Charlie Smyth,NO,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
29,Austin Seibert,NYJ,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
30,Brayden Narveson,TEN,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Jude McAtamney,NYG,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Greg Joseph,GB,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Alex Hale,GB,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Michael Badgley,DET,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
