,,,Week 6 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Lamar Jackson,BAL,WAS,-,-,,24.21,19.36,27.30,70.9,223.24,1.59,0.63,8.90,53.42,0.33
2,Josh Allen,BUF,NYJ,-,-,,23.85,21.36,32.90,64.9,238.10,1.59,0.83,6.50,32.35,0.53
3,Jalen Hurts,PHI,CLE,-,-,,23.76,19.50,29.00,67.2,218.19,1.39,0.66,8.90,39.26,0.67
4,C.J. Stroud,HOU,NE,-,-,,22.32,22.61,34.10,66.3,263.98,1.99,0.73,2.70,11.75,0.12
5,Joe Burrow,CIN,NYG,-,-,,21.98,24.88,35.60,69.9,262.24,1.92,0.74,3.20,11.50,0.13
6,Anthony Richardson,IND,TEN,-,-,,21.71,17.42,28.10,62.0,197.74,1.12,0.71,10.00,47.48,0.55
7,Dak Prescott,DAL,DET,-,-,,21.33,23.03,33.10,69.6,249.42,1.86,0.68,3.20,13.82,0.12
8,Jordan Love,GB,ARI,-,-,,20.72,21.71,31.90,68.1,242.87,1.73,0.74,2.60,13.14,0.18
9,Brock Purdy,SF,SEA,-,-,,20.49,20.29,28.60,70.9,242.99,1.82,0.67,2.30,10.12,0.12
10,Trevor Lawrence,JAX,CHI,-,-,,20.06,22.19,32.90,67.4,235.89,1.51,0.78,4.10,19.27,0.18
11,Jared Goff,DET,DAL,-,-,,19.62,22.51,33.60,67.0,252.56,1.74,0.66,1.50,3.36,0.06
12,Justin Herbert,LAC,DEN,-,-,,19.43,21.43,32.70,65.5,231.86,1.54,0.65,3.20,12.44,0.18
13,Caleb Williams,CHI,JAX,-,-,,19.42,20.62,32.10,64.2,229.47,1.49,0.83,4.00,17.33,0.18
14,Kyler Murray,ARI,GB,-,-,,19.32,19.25,30.90,62.3,210.81,1.22,0.67,5.50,30.05,0.26
15,Aaron Rodgers,NYJ,BUF,-,-,,18.79,21.37,32.10,66.6,236.59,1.64,0.55,1.90,5.88,0.06
