,,,Week 5 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,NE,-,-,,12.98,6.80,94.58,0.55,0.30,2.19,0.00
2,CeeDee Lamb,DAL,PIT,-,-,,12.13,6.73,85.14,0.47,0.70,4.33,0.06
3,Ja'Marr Chase,CIN,BAL,-,-,,11.16,6.29,81.86,0.48,0.18,0.96,0.00
4,Garrett Wilson,NYJ,MIN,-,-,,10.67,5.99,75.98,0.48,0.30,1.88,0.00
5,Deebo Samuel,SF,ARI,-,-,,10.65,4.06,57.07,0.38,2.56,15.19,0.19
6,Justin Jefferson,MIN,NYJ,-,-,,10.64,6.01,81.69,0.40,0.11,0.69,0.00
7,Puka Nacua,LAR,GB,-,-,,10.63,5.78,77.33,0.44,0.50,2.58,0.00
8,Brandon Aiyuk,SF,ARI,-,-,,9.93,4.91,71.93,0.45,0.06,0.32,0.00
9,Nico Collins,HOU,BUF,-,-,,9.67,4.77,70.32,0.43,0.12,0.61,0.00
10,Drake London,ATL,TB,-,-,,9.21,5.15,66.83,0.41,0.12,0.64,0.00
11,Cooper Kupp,LAR,GB,-,-,,9.13,5.42,64.58,0.42,0.24,1.56,0.00
12,Amari Cooper,CLE,WAS,-,-,,9.12,4.45,65.68,0.42,0.06,0.30,0.00
13,DK Metcalf,SEA,NYG,-,-,,9.06,4.36,62.75,0.46,0.06,0.29,0.00
14,Jaylen Waddle,MIA,NE,-,-,,9.04,4.97,67.69,0.36,0.18,1.14,0.00
15,Mike Evans,TB,ATL,-,-,,8.97,4.13,62.42,0.45,0.06,0.28,0.00
16,Tee Higgins,CIN,BAL,-,-,,8.94,4.45,63.28,0.43,0.06,0.31,0.00
17,DJ Moore,CHI,CAR,-,-,,8.81,4.59,62.11,0.41,0.24,1.41,0.00
18,Marvin Harrison,ARI,SF,-,-,,8.68,4.47,62.98,0.39,0.06,0.39,0.00
19,Stefon Diggs,HOU,BUF,-,-,,8.50,4.97,60.10,0.41,0.06,0.30,0.00
20,Chris Olave,NO,KC,-,-,,8.50,4.79,64.90,0.33,0.05,0.27,0.00
21,Christian Kirk,JAX,IND,-,-,,8.48,4.91,62.53,0.36,0.12,0.67,0.00
22,Tank Dell,HOU,BUF,-,-,,8.42,4.67,59.27,0.35,0.70,3.97,0.00
23,Davante Adams,LV,DEN,-,-,,8.20,5.14,61.35,0.34,0.06,0.28,0.00
24,George Pickens,PIT,DAL,-,-,,8.16,4.02,60.63,0.34,0.11,0.57,0.00
25,Jordan Addison,MIN,NYJ,-,-,,7.99,4.13,57.23,0.36,0.18,1.09,0.00
26,Rome Odunze,CHI,CAR,-,-,,7.98,4.27,57.82,0.36,0.06,0.42,0.00
27,Jayden Reed,GB,LAR,-,-,,7.92,4.25,53.01,0.30,0.78,4.55,0.06
28,Malik Nabers,NYG,SEA,-,-,,7.91,4.26,57.82,0.34,0.11,0.84,0.00
29,Zay Flowers,BAL,CIN,-,-,,7.84,4.73,54.39,0.35,0.47,2.98,0.00
30,Keenan Allen,CHI,CAR,-,-,,7.80,5.02,55.71,0.36,0.12,0.66,0.00
31,Michael Pittman,IND,JAX,-,-,,7.76,5.30,59.33,0.30,0.06,0.30,0.00
32,Chris Godwin,TB,ATL,-,-,,7.40,4.95,55.71,0.28,0.23,1.48,0.00
33,Xavier Worthy,KC,NO,-,-,,7.38,3.80,50.90,0.36,0.18,1.31,0.00
34,Terry McLaurin,WAS,CLE,-,-,,7.36,4.27,56.51,0.28,0.06,0.33,0.00
35,Rashee Rice,KC,NO,-,-,,7.33,4.85,52.35,0.34,0.11,0.51,0.00
36,Marquise Brown,KC,NO,-,-,,7.03,3.65,50.82,0.31,0.19,0.87,0.00
37,Christian Watson,GB,LAR,-,-,,6.97,3.39,46.51,0.36,0.30,1.61,0.00
38,Brian Thomas,JAX,IND,-,-,,6.55,3.63,46.60,0.30,0.12,0.89,0.00
39,Tyler Lockett,SEA,NYG,-,-,,6.40,3.81,45.67,0.30,0.06,0.30,0.00
40,Mike Williams,NYJ,MIN,-,-,,6.35,3.29,45.16,0.30,0.06,0.30,0.00
41,Romeo Doubs,GB,LAR,-,-,,6.33,3.61,44.98,0.30,0.06,0.30,0.00
42,Jaxon Smith-Njigba,SEA,NYG,-,-,,6.25,4.07,43.91,0.30,0.12,0.61,0.00
43,Dontayvion Wicks,GB,LAR,-,-,,6.20,3.11,40.60,0.34,0.20,0.95,0.00
44,Gabe Davis,JAX,IND,-,-,,6.18,3.24,44.73,0.28,0.06,0.28,0.00
45,Courtland Sutton,DEN,LV,-,-,,6.01,3.30,44.28,0.26,0.05,0.26,0.00
46,Ricky Pearsall,SF,ARI,-,-,,5.96,3.26,39.28,0.32,0.19,1.09,0.00
47,Keon Coleman,BUF,HOU,-,-,,5.95,3.22,42.46,0.28,0.06,0.28,0.00
48,Khalil Shakir,BUF,HOU,-,-,,5.94,3.51,41.57,0.29,0.06,0.46,0.00
49,Jerry Jeudy,CLE,WAS,-,-,,5.89,3.28,41.98,0.27,0.11,0.71,0.00
50,Brandin Cooks,DAL,PIT,-,-,,5.76,3.15,39.18,0.29,0.17,0.99,0.00
51,Curtis Samuel,BUF,HOU,-,-,,5.64,3.31,36.90,0.20,0.66,4.49,0.05
52,Malachi Corley,NYJ,MIN,-,-,,5.56,3.44,36.31,0.28,0.41,2.48,0.00
53,Xavier Legette,CAR,CHI,-,-,,5.41,3.00,38.50,0.24,0.18,1.20,0.00
54,Josh Downs,IND,JAX,-,-,,5.38,3.47,38.74,0.23,0.17,1.22,0.00
55,Troy Franklin,DEN,LV,-,-,,5.36,3.02,37.07,0.27,0.09,0.37,0.00
56,Jakobi Meyers,LV,DEN,-,-,,5.36,3.39,38.29,0.23,0.23,1.19,0.00
57,Roman Wilson,PIT,DAL,-,-,,5.34,2.82,37.95,0.23,0.23,1.64,0.00
58,Rashid Shaheed,NO,KC,-,-,,5.23,2.74,36.95,0.21,0.42,2.74,0.00
59,Adonai Mitchell,IND,JAX,-,-,,5.23,2.92,38.07,0.23,0.06,0.47,0.00
60,Ja'Lynn Polk,NE,MIA,-,-,,5.09,3.06,36.29,0.23,0.06,0.79,0.00
61,Darnell Mooney,ATL,TB,-,-,,5.08,2.73,36.80,0.22,0.11,0.82,0.00
62,Diontae Johnson,CAR,CHI,-,-,,5.03,3.65,38.27,0.19,0.09,0.61,0.00
63,DeMario Douglas,NE,MIA,-,-,,5.02,3.24,35.68,0.21,0.31,1.90,0.00
64,Marvin Mims,DEN,LV,-,-,,4.98,2.57,35.54,0.21,0.21,1.64,0.00
65,Wan'Dale Robinson,NYG,SEA,-,-,,4.90,3.20,32.77,0.22,0.55,3.04,0.00
66,Michael Wilson,ARI,SF,-,-,,4.85,2.62,35.06,0.22,0.05,0.27,0.00
67,Jermaine Burton,CIN,BAL,-,-,,4.85,2.65,33.47,0.24,0.06,0.60,0.00
68,Rashod Bateman,BAL,CIN,-,-,,4.59,2.54,32.38,0.22,0.06,0.28,0.00
69,Devontez Walker,BAL,CIN,-,-,,4.49,2.48,30.51,0.23,0.08,0.54,0.00
70,Adam Thielen,CAR,CHI,-,-,,4.40,3.23,32.26,0.19,0.05,0.33,0.00
71,Jalen McMillan,TB,ATL,-,-,,4.30,2.81,29.82,0.20,0.15,1.13,0.00
72,Darius Slayton,NYG,SEA,-,-,,4.14,2.14,30.93,0.17,0.06,0.28,0.00
73,Greg Dortch,ARI,SF,-,-,,3.92,2.88,28.32,0.16,0.26,1.31,0.00
74,Kendrick Bourne,NE,MIA,-,-,,3.82,2.16,27.37,0.17,0.11,0.67,0.00
75,Demarcus Robinson,LAR,GB,-,-,,3.72,1.94,24.12,0.21,0.04,0.45,0.00
76,Odell Beckham,MIA,NE,-,-,,3.68,2.06,25.61,0.18,0.06,0.42,0.00
77,Elijah Moore,CLE,WAS,-,-,,3.63,2.25,24.41,0.18,0.24,1.07,0.00
78,Zay Jones,ARI,SF,-,-,,3.43,2.05,24.29,0.16,0.11,0.38,0.00
79,K.J. Osborn,NE,MIA,-,-,,3.43,1.84,23.75,0.17,0.06,0.33,0.00
80,Javon Baker,NE,MIA,-,-,,3.40,1.97,23.89,0.15,0.15,1.08,0.00
81,Marquez Valdes-Scantling,BUF,HOU,-,-,,3.00,1.30,19.54,0.17,0.09,0.26,0.00
82,Jalin Hyatt,NYG,SEA,-,-,,2.99,1.47,21.91,0.13,0.06,0.19,0.00
83,Tyler Scott,CHI,CAR,-,-,,2.98,1.65,18.63,0.15,0.45,2.17,0.00
84,Jalen Tolbert,DAL,PIT,-,-,,2.90,1.80,20.89,0.13,0.04,0.31,0.00
85,Josh Reynolds,DEN,LV,-,-,,2.84,1.70,21.54,0.11,0.06,0.28,0.00
86,A.T. Perry,NO,KC,-,-,,2.80,1.40,19.89,0.13,0.06,0.26,0.00
87,Tre Tucker,LV,DEN,-,-,,2.79,1.65,17.59,0.14,0.32,1.92,0.00
88,Jake Bobo,SEA,NYG,-,-,,2.77,1.50,18.41,0.15,0.07,0.30,0.00
89,Noah Brown,HOU,BUF,-,-,,2.67,1.30,18.04,0.14,0.07,0.22,0.00
90,Malik Washington,MIA,NE,-,-,,2.60,1.40,17.93,0.11,0.22,1.51,0.00
91,Jauan Jennings,SF,ARI,-,-,,2.59,1.49,18.26,0.12,0.04,0.40,0.00
92,Alec Pierce,IND,JAX,-,-,,2.56,1.27,19.33,0.10,0.05,0.25,0.00
93,Cedric Tillman,CLE,WAS,-,-,,2.53,1.33,17.80,0.12,0.06,0.30,0.00
94,Van Jefferson,PIT,DAL,-,-,,2.48,1.37,17.47,0.11,0.11,0.68,0.00
95,KJ Hamler,BUF,HOU,-,-,,2.44,1.15,15.97,0.13,0.13,0.64,0.00
96,Trey Palmer,TB,ATL,-,-,,2.43,1.41,17.32,0.10,0.20,1.01,0.00
97,Jonathan Mingo,CAR,CHI,-,-,,2.39,1.41,16.89,0.11,0.04,0.45,0.00
98,Parker Washington,JAX,IND,-,-,,2.32,1.45,15.54,0.12,0.12,0.48,0.00
99,Andrei Iosivas,CIN,BAL,-,-,,2.32,1.30,16.24,0.11,0.04,0.37,0.00
100,Cedrick Wilson,NO,KC,-,-,,2.23,1.22,15.36,0.11,0.06,0.33,0.00
101,Calvin Austin,PIT,DAL,-,-,,2.16,1.29,13.84,0.09,0.39,2.37,0.00
102,Dyami Brown,WAS,CLE,-,-,,2.10,1.18,14.10,0.11,0.11,0.32,0.00
103,Mecole Hardman,KC,NO,-,-,,2.04,0.97,12.74,0.09,0.35,2.30,0.00
104,Allen Lazard,NYJ,MIN,-,-,,2.02,0.98,13.41,0.11,0.11,0.22,0.00
105,Tutu Atwell,LAR,GB,-,-,,1.96,1.17,14.94,0.06,0.19,1.05,0.00
106,Chris Moore,ARI,SF,-,-,,1.92,1.02,12.83,0.09,0.19,0.93,0.00
107,Justin Watson,KC,NO,-,-,,1.90,1.04,13.59,0.09,0.00,0.00,0.00
108,Robert Woods,HOU,BUF,-,-,,1.82,1.22,12.46,0.09,0.09,0.37,0.00
109,Bo Melton,GB,LAR,-,-,,1.81,0.90,11.78,0.10,0.03,0.31,0.00
110,Braxton Berrios,MIA,NE,-,-,,1.81,1.27,12.62,0.08,0.08,0.68,0.00
111,Kadarius Toney,KC,NO,-,-,,1.75,0.88,10.79,0.06,0.50,3.07,0.00
112,Tim Patrick,DEN,LV,-,-,,1.73,1.00,12.27,0.08,0.05,0.24,0.00
