,,,Week 11 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,LV,-,-,,13.32,7.00,97.39,0.56,0.31,2.25,0.00
2,CeeDee Lamb,DAL,HOU,-,-,,12.90,7.18,90.81,0.50,0.75,4.62,0.06
3,A.J. Brown,PHI,WAS,-,-,,11.56,5.62,84.58,0.51,0.06,0.38,0.00
4,Justin Jefferson,MIN,TEN,-,-,,11.06,6.23,84.69,0.42,0.12,0.71,0.00
5,Ja'Marr Chase,CIN,LAC,-,-,,11.03,6.23,81.16,0.47,0.18,0.95,0.00
6,Amon-Ra St. Brown,DET,JAX,-,-,,11.01,7.04,81.44,0.44,0.38,2.28,0.00
7,Garrett Wilson,NYJ,IND,-,-,,10.83,6.07,76.96,0.49,0.31,1.90,0.00
8,Deebo Samuel,SF,SEA,-,-,,10.53,4.03,56.62,0.37,2.54,15.07,0.19
9,Puka Nacua,LAR,NE,-,-,,10.47,5.71,76.35,0.43,0.50,2.54,0.00
10,Brandon Aiyuk,SF,SEA,-,-,,9.87,4.87,71.35,0.45,0.06,0.32,0.00
11,Nico Collins,HOU,DAL,-,-,,9.34,4.62,68.23,0.41,0.12,0.59,0.00
12,Jaylen Waddle,MIA,LV,-,-,,9.31,5.11,69.70,0.37,0.18,1.17,0.00
13,Drake London,ATL,DEN,-,-,,9.21,5.15,66.83,0.41,0.12,0.64,0.00
14,Cooper Kupp,LAR,NE,-,-,,9.05,5.35,63.76,0.42,0.24,1.54,0.00
15,Amari Cooper,CLE,NO,-,-,,8.91,4.36,64.25,0.41,0.06,0.29,0.00
16,Tee Higgins,CIN,LAC,-,-,,8.88,4.42,62.73,0.43,0.06,0.31,0.00
17,DeVonta Smith,PHI,WAS,-,-,,8.83,5.32,65.15,0.38,0.06,0.38,0.00
18,Chris Olave,NO,CLE,-,-,,8.78,4.95,67.07,0.34,0.06,0.28,0.00
