,,,Week 13 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,BUF,-,-,,16.19,15.10,74.72,0.67,4.12,32.56,0.24
2,Breece Hall,NYJ,SEA,-,-,,14.11,15.70,74.61,0.55,3.46,25.66,0.13
3,Bijan Robinson,ATL,LAC,-,-,,12.73,14.90,69.55,0.50,2.91,21.73,0.10
4,Jonathan Taylor,IND,NE,-,-,,12.55,15.60,72.10,0.59,1.88,14.35,0.06
5,Derrick Henry,BAL,PHI,-,-,,12.21,14.40,70.19,0.66,1.20,8.73,0.06
6,Jahmyr Gibbs,DET,CHI,-,-,,12.01,11.70,59.58,0.46,3.37,25.08,0.13
7,Isiah Pacheco,KC,LV,-,-,,11.67,12.90,61.98,0.48,2.53,18.69,0.12
8,Josh Jacobs,GB,MIA,-,-,,11.67,14.10,66.19,0.51,2.24,16.34,0.06
9,Saquon Barkley,PHI,BAL,-,-,,11.62,15.40,66.47,0.40,2.50,18.50,0.12
10,Kyren Williams,LAR,NO,-,-,,11.47,13.70,62.19,0.52,2.31,17.12,0.07
11,Travis Etienne,JAX,HOU,-,-,,10.80,14.20,60.15,0.41,2.62,19.65,0.06
12,Rachaad White,TB,CAR,-,-,,10.48,13.20,53.97,0.37,2.89,21.39,0.12
13,David Montgomery,DET,CHI,-,-,,10.31,11.90,56.68,0.56,1.27,9.21,0.06
14,De'Von Achane,MIA,GB,-,-,,9.78,9.90,51.15,0.38,2.31,17.89,0.10
15,Aaron Jones,MIN,ARI,-,-,,9.75,11.90,52.56,0.36,2.17,16.12,0.12
16,James Cook,BUF,SF,-,-,,9.59,11.90,52.99,0.29,2.37,18.34,0.12
17,Kenneth Walker,SEA,NYJ,-,-,,9.44,13.60,55.35,0.40,1.65,12.05,0.05
18,James Conner,ARI,MIN,-,-,,9.36,12.00,51.20,0.41,1.91,14.21,0.06
19,Joe Mixon,HOU,JAX,-,-,,9.25,12.70,52.88,0.34,2.15,15.65,0.06
20,Nick Chubb,CLE,DEN,-,-,,9.18,11.80,53.70,0.46,0.89,6.94,0.06
21,Najee Harris,PIT,CIN,-,-,,8.95,13.30,52.22,0.38,1.49,10.88,0.06
22,Rhamondre Stevenson,NE,IND,-,-,,8.91,12.60,51.52,0.34,1.85,13.62,0.06
23,D'Andre Swift,CHI,DET,-,-,,8.78,11.20,47.35,0.35,2.17,15.88,0.06
24,Ezekiel Elliott,DAL,NYG,-,-,,8.76,10.60,46.18,0.40,1.82,13.19,0.07
25,Devin Singletary,NYG,DAL,-,-,,8.71,13.50,51.99,0.29,1.98,14.09,0.06
26,Zamir White,LV,KC,-,-,,8.58,12.80,49.90,0.35,1.56,11.33,0.06
27,Alvin Kamara,NO,LAR,-,-,,8.56,10.10,41.36,0.23,3.23,23.87,0.11
28,Gus Edwards,LAC,ATL,-,-,,8.50,11.60,49.48,0.41,1.00,7.35,0.06
29,Tony Pollard,TEN,WAS,-,-,,8.45,11.80,50.66,0.28,1.83,13.39,0.06
30,Javonte Williams,DEN,CLE,-,-,,8.23,12.30,49.59,0.28,1.79,12.88,0.05
31,Zack Moss,CIN,PIT,-,-,,8.18,10.20,43.68,0.35,1.86,13.47,0.06
