,,,Week 13 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,NYG,-,-,,13.08,7.27,91.94,0.51,0.76,4.68,0.06
2,Tyreek Hill,MIA,GB,-,-,,12.53,6.57,91.36,0.53,0.29,2.11,0.00
3,Ja'Marr Chase,CIN,PIT,-,-,,11.33,6.37,82.92,0.49,0.18,0.97,0.00
4,Justin Jefferson,MIN,ARI,-,-,,11.25,6.37,86.57,0.42,0.12,0.73,0.00
5,Amon-Ra St. Brown,DET,CHI,-,-,,11.01,7.04,81.44,0.44,0.38,2.28,0.00
6,Garrett Wilson,NYJ,SEA,-,-,,10.89,6.12,77.61,0.49,0.31,1.92,0.00
7,A.J. Brown,PHI,BAL,-,-,,10.65,5.18,77.90,0.47,0.06,0.35,0.00
8,Puka Nacua,LAR,NO,-,-,,10.44,5.68,76.03,0.43,0.49,2.53,0.00
9,Deebo Samuel,SF,BUF,-,-,,9.97,3.82,53.64,0.35,2.41,14.28,0.18
10,Drake London,ATL,LAC,-,-,,9.41,5.26,68.28,0.42,0.12,0.66,0.00
11,Brandon Aiyuk,SF,BUF,-,-,,9.37,4.62,67.61,0.43,0.06,0.30,0.00
12,Nico Collins,HOU,JAX,-,-,,9.34,4.62,68.23,0.41,0.12,0.59,0.00
13,Mike Evans,TB,CAR,-,-,,9.23,4.26,64.41,0.46,0.06,0.29,0.00
14,Marvin Harrison,ARI,MIN,-,-,,9.19,4.75,66.85,0.41,0.06,0.41,0.00
15,Chris Olave,NO,LAR,-,-,,9.15,5.18,70.17,0.35,0.06,0.29,0.00
16,Amari Cooper,CLE,DEN,-,-,,9.12,4.45,65.68,0.42,0.06,0.30,0.00
17,Tee Higgins,CIN,PIT,-,-,,9.08,4.51,64.10,0.44,0.06,0.31,0.00
18,Cooper Kupp,LAR,NO,-,-,,8.96,5.33,63.49,0.41,0.24,1.54,0.00
19,DK Metcalf,SEA,NYJ,-,-,,8.76,4.19,60.29,0.45,0.06,0.28,0.00
20,Jaylen Waddle,MIA,GB,-,-,,8.75,4.80,65.39,0.35,0.17,1.10,0.00
21,DJ Moore,CHI,DET,-,-,,8.73,4.53,61.30,0.41,0.23,1.39,0.00
22,Jordan Addison,MIN,ARI,-,-,,8.52,4.38,60.65,0.39,0.19,1.16,0.00
23,Christian Kirk,JAX,HOU,-,-,,8.40,4.85,61.74,0.36,0.12,0.66,0.00
24,Stefon Diggs,HOU,JAX,-,-,,8.26,4.82,58.31,0.40,0.06,0.29,0.00
25,Zay Flowers,BAL,PHI,-,-,,8.24,4.96,57.04,0.37,0.49,3.12,0.00
26,Jayden Reed,GB,MIA,-,-,,8.20,4.41,55.08,0.31,0.81,4.72,0.06
27,Tank Dell,HOU,JAX,-,-,,8.18,4.53,57.51,0.34,0.68,3.85,0.00
28,DeVonta Smith,PHI,BAL,-,-,,8.14,4.90,60.00,0.35,0.06,0.35,0.00
29,Davante Adams,LV,KC,-,-,,8.06,5.07,60.50,0.33,0.06,0.28,0.00
30,George Pickens,PIT,CIN,-,-,,7.99,3.94,59.53,0.33,0.11,0.56,0.00
31,Rome Odunze,CHI,DET,-,-,,7.91,4.22,57.07,0.36,0.06,0.42,0.00
32,Michael Pittman,IND,NE,-,-,,7.90,5.37,60.12,0.31,0.06,0.31,0.00
33,Terry McLaurin,WAS,TEN,-,-,,7.88,4.57,60.41,0.30,0.06,0.36,0.00
34,Calvin Ridley,TEN,WAS,-,-,,7.85,4.15,56.21,0.34,0.34,1.93,0.00
35,Malik Nabers,NYG,DAL,-,-,,7.74,4.18,56.74,0.33,0.11,0.83,0.00
36,Keenan Allen,CHI,DET,-,-,,7.66,4.95,54.99,0.35,0.12,0.65,0.00
37,Chris Godwin,TB,CAR,-,-,,7.64,5.10,57.48,0.29,0.23,1.53,0.00
38,Xavier Worthy,KC,LV,-,-,,7.38,3.80,50.90,0.36,0.18,1.31,0.00
39,Rashee Rice,KC,LV,-,-,,7.33,4.85,52.35,0.34,0.11,0.51,0.00
40,Christian Watson,GB,MIA,-,-,,7.22,3.52,48.32,0.37,0.31,1.67,0.00
41,Marquise Brown,KC,LV,-,-,,7.03,3.65,50.82,0.31,0.19,0.87,0.00
42,DeAndre Hopkins,TEN,WAS,-,-,,6.89,4.10,49.14,0.32,0.13,0.51,0.00
43,Romeo Doubs,GB,MIA,-,-,,6.56,3.75,46.73,0.31,0.06,0.31,0.00
44,Mike Williams,NYJ,SEA,-,-,,6.50,3.36,46.13,0.31,0.06,0.31,0.00
45,Brian Thomas,JAX,HOU,-,-,,6.43,3.58,46.01,0.29,0.12,0.88,0.00
46,Dontayvion Wicks,GB,MIA,-,-,,6.42,3.23,42.18,0.35,0.21,0.98,0.00
47,Jameson Williams,DET,CHI,-,-,,6.41,3.20,45.36,0.28,0.34,1.96,0.00
48,Ladd McConkey,LAC,ATL,-,-,,6.38,3.56,43.40,0.33,0.06,0.61,0.00
49,Brandin Cooks,DAL,NYG,-,-,,6.20,3.40,42.31,0.31,0.19,1.07,0.00
50,Tyler Lockett,SEA,NYJ,-,-,,6.16,3.66,43.88,0.29,0.06,0.29,0.00
51,Gabe Davis,JAX,HOU,-,-,,6.12,3.19,44.16,0.28,0.06,0.28,0.00
52,Jaxon Smith-Njigba,SEA,NYJ,-,-,,6.02,3.91,42.19,0.29,0.12,0.58,0.00
53,Courtland Sutton,DEN,CLE,-,-,,5.91,3.22,43.27,0.26,0.05,0.26,0.00
54,Keon Coleman,BUF,SF,-,-,,5.90,3.18,41.90,0.28,0.06,0.28,0.00
55,Jerry Jeudy,CLE,DEN,-,-,,5.89,3.28,41.98,0.27,0.11,0.71,0.00
56,Khalil Shakir,BUF,SF,-,-,,5.83,3.46,41.02,0.28,0.06,0.45,0.00
57,Joshua Palmer,LAC,ATL,-,-,,5.69,3.03,37.92,0.31,0.05,0.36,0.00
58,Rashid Shaheed,NO,LAR,-,-,,5.67,2.97,39.95,0.23,0.46,2.97,0.00
59,Xavier Legette,CAR,TB,-,-,,5.64,3.13,40.15,0.25,0.19,1.25,0.00
60,Malachi Corley,NYJ,SEA,-,-,,5.64,3.52,37.08,0.28,0.42,2.53,0.00
61,Ricky Pearsall,SF,BUF,-,-,,5.59,3.07,36.92,0.30,0.18,1.02,0.00
62,Curtis Samuel,BUF,SF,-,-,,5.59,3.27,36.42,0.20,0.65,4.43,0.05
63,Josh Downs,IND,NE,-,-,,5.43,3.52,39.26,0.23,0.18,1.23,0.00
64,Adonai Mitchell,IND,NE,-,-,,5.35,2.95,38.58,0.24,0.06,0.47,0.00
65,Troy Franklin,DEN,CLE,-,-,,5.28,2.95,36.23,0.27,0.09,0.36,0.00
66,Diontae Johnson,CAR,TB,-,-,,5.26,3.81,39.91,0.20,0.10,0.64,0.00
67,Jakobi Meyers,LV,KC,-,-,,5.25,3.34,37.76,0.22,0.22,1.17,0.00
68,Roman Wilson,PIT,CIN,-,-,,5.21,2.77,37.26,0.22,0.22,1.61,0.00
69,Jahan Dotson,PHI,BAL,-,-,,5.20,2.89,37.54,0.23,0.08,0.63,0.00
70,Darnell Mooney,ATL,LAC,-,-,,5.16,2.78,37.59,0.22,0.11,0.84,0.00
71,Ja'Lynn Polk,NE,IND,-,-,,5.14,3.10,36.79,0.23,0.06,0.80,0.00
72,Michael Wilson,ARI,MIN,-,-,,5.13,2.78,37.22,0.23,0.06,0.29,0.00
73,DeMario Douglas,NE,IND,-,-,,5.07,3.29,36.17,0.21,0.31,1.93,0.00
74,Quentin Johnston,LAC,ATL,-,-,,4.99,2.86,35.78,0.23,0.06,0.35,0.00
75,Marvin Mims,DEN,CLE,-,-,,4.89,2.52,34.73,0.21,0.21,1.61,0.00
76,Jermaine Burton,CIN,PIT,-,-,,4.89,2.68,33.90,0.24,0.06,0.61,0.00
77,Wan'Dale Robinson,NYG,DAL,-,-,,4.83,3.15,32.16,0.22,0.54,2.98,0.00
78,Rashod Bateman,BAL,PHI,-,-,,4.80,2.66,33.95,0.23,0.06,0.29,0.00
79,Devontez Walker,BAL,PHI,-,-,,4.70,2.60,31.99,0.24,0.08,0.57,0.00
80,Adam Thielen,CAR,TB,-,-,,4.60,3.36,33.64,0.20,0.05,0.35,0.00
81,Jalen McMillan,TB,CAR,-,-,,4.45,2.90,30.77,0.21,0.16,1.16,0.00
82,Greg Dortch,ARI,MIN,-,-,,4.17,3.06,30.06,0.17,0.28,1.39,0.00
83,Darius Slayton,NYG,DAL,-,-,,4.08,2.10,30.36,0.17,0.06,0.28,0.00
84,Tyler Boyd,TEN,WAS,-,-,,4.07,2.80,29.37,0.18,0.12,0.49,0.00
85,Kendrick Bourne,NE,IND,-,-,,3.86,2.19,27.75,0.17,0.11,0.68,0.00
86,Zay Jones,ARI,MIN,-,-,,3.64,2.18,25.78,0.17,0.11,0.40,0.00
87,Elijah Moore,CLE,DEN,-,-,,3.63,2.25,24.41,0.18,0.24,1.07,0.00
88,Demarcus Robinson,LAR,NO,-,-,,3.62,1.91,23.71,0.20,0.04,0.45,0.00
89,Odell Beckham,MIA,GB,-,-,,3.60,1.99,24.74,0.18,0.06,0.41,0.00
90,K.J. Osborn,NE,IND,-,-,,3.46,1.86,24.08,0.17,0.06,0.34,0.00
91,Javon Baker,NE,IND,-,-,,3.43,2.00,24.22,0.15,0.15,1.10,0.00
92,DJ Chark,LAC,ATL,-,-,,3.21,1.77,23.33,0.14,0.05,0.32,0.00
93,Jalen Tolbert,DAL,NYG,-,-,,3.19,1.94,22.55,0.15,0.05,0.34,0.00
94,A.T. Perry,NO,LAR,-,-,,3.02,1.52,21.51,0.14,0.07,0.28,0.00
95,Marquez Valdes-Scantling,BUF,SF,-,-,,2.98,1.28,19.29,0.17,0.09,0.26,0.00
96,Tyler Scott,CHI,DET,-,-,,2.95,1.62,18.39,0.15,0.44,2.14,0.00
97,Jalin Hyatt,NYG,DAL,-,-,,2.95,1.44,21.51,0.13,0.06,0.19,0.00
98,Treylon Burks,TEN,WAS,-,-,,2.86,1.55,20.05,0.12,0.27,1.31,0.00
99,Josh Reynolds,DEN,CLE,-,-,,2.79,1.66,21.05,0.11,0.06,0.28,0.00
100,Tre Tucker,LV,KC,-,-,,2.77,1.63,17.35,0.14,0.32,1.90,0.00
101,Jake Bobo,SEA,NYJ,-,-,,2.64,1.44,17.69,0.14,0.07,0.29,0.00
102,Noah Brown,HOU,JAX,-,-,,2.61,1.27,17.51,0.14,0.07,0.21,0.00
103,Alec Pierce,IND,NE,-,-,,2.59,1.28,19.59,0.10,0.05,0.26,0.00
104,Jonathan Mingo,CAR,TB,-,-,,2.53,1.47,17.61,0.12,0.04,0.46,0.00
105,Cedric Tillman,CLE,DEN,-,-,,2.53,1.33,17.80,0.12,0.06,0.30,0.00
106,Trey Palmer,TB,CAR,-,-,,2.49,1.45,17.87,0.10,0.21,1.04,0.00
107,Malik Washington,MIA,GB,-,-,,2.48,1.36,17.32,0.10,0.21,1.46,0.00
108,Van Jefferson,PIT,CIN,-,-,,2.44,1.34,17.15,0.11,0.11,0.67,0.00
109,Kalif Raymond,DET,CHI,-,-,,2.43,1.28,16.03,0.10,0.36,2.25,0.00
110,Jauan Jennings,SF,BUF,-,-,,2.42,1.41,17.17,0.11,0.04,0.38,0.00
111,KJ Hamler,BUF,SF,-,-,,2.42,1.13,15.76,0.13,0.13,0.63,0.00
112,Cedrick Wilson,NO,LAR,-,-,,2.42,1.31,16.61,0.12,0.06,0.36,0.00
113,Andrei Iosivas,CIN,PIT,-,-,,2.34,1.32,16.45,0.11,0.04,0.38,0.00
114,Parker Washington,JAX,HOU,-,-,,2.30,1.43,15.34,0.12,0.12,0.48,0.00
115,Dyami Brown,WAS,TEN,-,-,,2.20,1.26,15.08,0.11,0.11,0.34,0.00
116,Brenden Rice,LAC,ATL,-,-,,2.15,1.16,14.50,0.11,0.11,0.42,0.00
117,Calvin Austin,PIT,CIN,-,-,,2.07,1.27,13.59,0.08,0.38,2.33,0.00
118,Chris Moore,ARI,MIN,-,-,,2.06,1.09,13.62,0.10,0.20,0.99,0.00
119,Allen Lazard,NYJ,SEA,-,-,,2.05,1.00,13.70,0.11,0.11,0.22,0.00
120,Mecole Hardman,KC,LV,-,-,,2.04,0.97,12.74,0.09,0.35,2.30,0.00
121,Tutu Atwell,LAR,NO,-,-,,1.93,1.15,14.68,0.06,0.18,1.03,0.00
122,Bo Melton,GB,MIA,-,-,,1.92,0.93,12.24,0.11,0.04,0.32,0.00
123,Justin Watson,KC,LV,-,-,,1.90,1.04,13.59,0.09,0.00,0.00,0.00
124,Robert Woods,HOU,JAX,-,-,,1.79,1.18,12.09,0.09,0.09,0.36,0.00
125,Braxton Berrios,MIA,GB,-,-,,1.76,1.23,12.19,0.08,0.08,0.65,0.00
126,Kadarius Toney,KC,LV,-,-,,1.75,0.88,10.79,0.06,0.50,3.07,0.00
127,Tim Patrick,DEN,CLE,-,-,,1.70,0.98,12.00,0.08,0.05,0.23,0.00
128,David Bell,CLE,DEN,-,-,,1.69,1.10,11.72,0.08,0.08,0.34,0.00
129,Russell Gage,BAL,PHI,-,-,,1.60,0.90,10.31,0.09,0.09,0.27,0.00
130,Brandon Johnson,DEN,CLE,-,-,,1.57,0.83,10.28,0.08,0.08,0.58,0.00
131,D.J. Montgomery,IND,NE,-,-,,1.55,0.96,11.57,0.06,0.06,0.36,0.00
132,Donovan Peoples-Jones,DET,CHI,-,-,,1.53,0.83,11.49,0.06,0.06,0.25,0.00
133,Xavier Hutchinson,HOU,JAX,-,-,,1.51,0.83,10.39,0.06,0.18,1.13,0.00
134,Nelson Agholor,BAL,PHI,-,-,,1.51,0.81,10.02,0.08,0.08,0.24,0.00
135,KaVontae Turpin,DAL,NYG,-,-,,1.49,0.69,7.81,0.06,0.57,3.53,0.00
136,Quez Watkins,PIT,CIN,-,-,,1.47,0.77,10.83,0.06,0.06,0.28,0.00
