,,,Week 16 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,TB,-,-,,12.82,7.12,90.05,0.50,0.74,4.58,0.06
2,Tyreek Hill,MIA,SF,-,-,,12.79,6.71,93.37,0.54,0.30,2.16,0.00
3,Ja'Marr Chase,CIN,CLE,-,-,,11.23,6.34,82.57,0.48,0.18,0.97,0.00
4,A.J. Brown,PHI,WAS,-,-,,11.15,5.43,81.77,0.49,0.06,0.37,0.00
5,Justin Jefferson,MIN,SEA,-,-,,10.93,6.18,83.94,0.41,0.12,0.71,0.00
6,Garrett Wilson,NYJ,LAR,-,-,,10.86,6.09,77.28,0.49,0.31,1.91,0.00
7,Amon-Ra St. Brown,DET,CHI,-,-,,10.48,6.69,77.45,0.42,0.36,2.17,0.00
8,Puka Nacua,LAR,NYJ,-,-,,10.14,5.51,73.74,0.42,0.48,2.46,0.00
9,Deebo Samuel,SF,MIA,-,-,,10.09,3.85,54.10,0.36,2.43,14.40,0.18
10,Brandon Aiyuk,SF,MIA,-,-,,9.43,4.66,68.18,0.43,0.06,0.31,0.00
11,Marvin Harrison,ARI,CAR,-,-,,9.40,4.85,68.34,0.42,0.06,0.42,0.00
12,Drake London,ATL,NYG,-,-,,9.30,5.21,67.70,0.41,0.12,0.65,0.00
13,DK Metcalf,SEA,MIN,-,-,,9.18,4.40,63.30,0.47,0.06,0.29,0.00
14,Nico Collins,HOU,KC,-,-,,9.07,4.48,66.14,0.40,0.11,0.57,0.00
15,Tee Higgins,CIN,CLE,-,-,,9.05,4.49,63.82,0.44,0.06,0.31,0.00
16,Mike Evans,TB,DAL,-,-,,9.00,4.15,62.70,0.45,0.06,0.28,0.00
17,Jaylen Waddle,MIA,SF,-,-,,8.89,4.90,66.82,0.35,0.18,1.12,0.00
18,Chris Olave,NO,GB,-,-,,8.78,4.95,67.07,0.34,0.06,0.28,0.00
19,Amari Cooper,CLE,CIN,-,-,,8.74,4.28,63.10,0.40,0.06,0.29,0.00
20,DJ Moore,CHI,DET,-,-,,8.73,4.53,61.30,0.41,0.23,1.39,0.00
21,Cooper Kupp,LAR,NYJ,-,-,,8.71,5.16,61.57,0.40,0.23,1.49,0.00
22,Davante Adams,LV,JAX,-,-,,8.52,5.35,63.90,0.35,0.06,0.29,0.00
23,DeVonta Smith,PHI,WAS,-,-,,8.49,5.14,62.98,0.36,0.06,0.36,0.00
24,Christian Kirk,JAX,LV,-,-,,8.26,4.78,60.94,0.35,0.12,0.65,0.00
25,Jordan Addison,MIN,SEA,-,-,,8.21,4.25,58.81,0.37,0.19,1.12,0.00
26,Jayden Reed,GB,NO,-,-,,8.13,4.36,54.39,0.31,0.80,4.67,0.06
27,Michael Pittman,IND,TEN,-,-,,8.09,5.54,61.96,0.31,0.06,0.31,0.00
