,,Week 5 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,ARI,-,-,,7.42,18.75,331.31,3.03,0.90,0.65,0.06,0.13,0.06,0.00,0.00
2,NYJ,MIN,-,-,,7.12,20.25,90.26,2.90,0.91,0.60,0.06,0.12,0.06,0.00,0.00
3,KC,NO,-,-,,7.06,18.25,308.45,2.81,0.87,0.62,0.06,0.12,0.06,0.00,0.00
4,DAL,PIT,-,-,,6.82,20.75,306.64,2.74,0.87,0.58,0.06,0.12,0.06,0.00,0.00
5,BAL,CIN,-,-,,6.73,24.00,354.07,2.75,0.82,0.59,0.06,0.12,0.06,0.00,0.00
6,CLE,WAS,-,-,,6.53,20.25,308.41,2.61,0.77,0.59,0.06,0.12,0.06,0.00,0.00
7,HOU,BUF,-,-,,6.27,23.25,374.63,2.62,0.79,0.61,0.06,0.06,0.06,0.00,0.00
8,MIA,NE,-,-,,6.27,20.25,297.84,2.62,0.79,0.61,0.06,0.06,0.06,0.00,0.00
9,PIT,DAL,-,-,,6.19,22.25,345.52,2.55,0.74,0.51,0.06,0.11,0.06,0.00,0.00
10,BUF,HOU,-,-,,6.05,24.75,387.54,2.49,0.83,0.53,0.06,0.06,0.06,0.00,0.00
11,SEA,NYG,-,-,,5.99,19.75,269.40,2.55,0.77,0.53,0.06,0.06,0.06,0.00,0.00
12,CHI,CAR,-,-,,5.99,18.25,291.17,2.51,0.78,0.54,0.06,0.06,0.06,0.00,0.00
13,JAX,IND,-,-,,5.97,22.25,337.40,2.56,0.73,0.55,0.06,0.06,0.06,0.00,0.00
14,LAR,GB,-,-,,5.93,23.50,360.58,2.51,0.73,0.55,0.06,0.06,0.06,0.00,0.00
15,GB,LAR,-,-,,5.90,25.00,387.67,2.44,0.77,0.54,0.06,0.06,0.06,0.00,0.00
16,CIN,BAL,-,-,,5.89,22.50,360.54,2.40,0.78,0.54,0.06,0.06,0.06,0.00,0.00
17,ATL,TB,-,-,,5.87,20.75,305.32,2.39,0.78,0.54,0.06,0.06,0.06,0.00,0.00
18,MIN,NYJ,-,-,,5.57,24.25,354.11,2.42,0.67,0.51,0.06,0.06,0.06,0.00,0.00
19,TB,ATL,-,-,,5.56,23.75,347.56,2.27,0.74,0.51,0.06,0.06,0.06,0.00,0.00
20,IND,JAX,-,-,,5.54,24.75,343.34,2.27,0.70,0.52,0.06,0.06,0.06,0.00,0.00
21,LV,DEN,-,-,,5.54,21.00,278.84,2.41,0.67,0.50,0.06,0.06,0.06,0.00,0.00
22,NE,MIA,-,-,,5.46,24.75,381.45,2.31,0.67,0.51,0.06,0.06,0.06,0.00,0.00
23,DEN,LV,-,-,,5.36,20.00,387.17,2.17,0.68,0.51,0.06,0.06,0.06,0.00,0.00
24,WAS,CLE,-,-,,5.34,23.25,333.32,2.19,0.67,0.51,0.06,0.06,0.06,0.00,0.00
25,NO,KC,-,-,,5.31,26.25,406.46,2.17,0.70,0.49,0.05,0.05,0.05,0.00,0.00
26,NYG,SEA,-,-,,5.29,23.25,332.69,2.28,0.61,0.50,0.06,0.06,0.06,0.00,0.00
27,CAR,CHI,-,-,,5.15,23.75,347.57,2.11,0.65,0.49,0.05,0.05,0.05,0.00,0.00
28,ARI,SF,-,-,,5.09,28.25,417.61,2.02,0.66,0.49,0.05,0.05,0.05,0.00,0.00
