,,,Week 15 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Justin Tucker,BAL,NYG,-,-,,8.65,1.90,2.15,88.4,2.95,3.01,98.0
2,Harrison Butker,KC,CLE,-,-,,8.60,1.83,2.07,88.4,3.11,3.23,96.3
3,Brandon Aubrey,DAL,CAR,-,-,,8.47,1.84,2.09,88.0,2.95,3.07,96.1
4,Evan McPherson,CIN,TEN,-,-,,8.29,1.78,2.03,87.7,2.95,3.07,96.1
5,Jake Moody,SF,LAR,-,-,,8.12,1.70,2.01,84.6,3.02,3.21,94.1
6,Ka'imi Fairbairn,HOU,MIA,-,-,,7.99,1.68,1.99,84.4,2.92,3.05,95.7
7,Younghoe Koo,ATL,LV,-,-,,7.65,1.78,2.02,88.1,2.31,2.37,97.5
8,Greg Zuerlein,NYJ,JAX,-,-,,7.60,1.73,2.03,85.2,2.38,2.50,95.2
9,Tyler Bass,BUF,DET,-,-,,7.52,1.63,1.93,84.5,2.66,2.78,95.7
10,Cameron Dicker,LAC,TB,-,-,,7.45,1.71,1.94,88.1,2.35,2.47,95.1
11,Jason Sanders,MIA,HOU,-,-,,7.42,1.55,1.85,83.8,2.74,2.86,95.8
12,Jake Elliott,PHI,PIT,-,-,,7.32,1.62,1.86,87.1,2.46,2.59,95.0
13,Jason Myers,SEA,GB,-,-,,7.20,1.60,1.89,84.7,2.25,2.36,95.3
14,Dustin Hopkins,CLE,KC,-,-,,7.20,1.62,1.91,84.8,2.37,2.48,95.6
15,Daniel Carlson,LV,ATL,-,-,,7.17,1.75,1.98,88.4,2.10,2.16,97.2
16,Blake Grupe,NO,WAS,-,-,,7.15,1.58,1.87,84.5,2.23,2.34,95.3
17,Matt Prater,ARI,NE,-,-,,7.14,1.68,1.98,84.8,2.10,2.21,95.0
18,Matt Gay,IND,DEN,-,-,,7.13,1.67,1.97,84.8,2.09,2.21,94.6
19,Cairo Santos,CHI,MIN,-,-,,7.07,1.61,1.85,87.0,2.21,2.32,95.3
20,Jake Bates,DET,BUF,-,-,,6.97,1.40,1.72,81.4,2.74,2.87,95.5
21,Chris Boswell,PIT,PHI,-,-,,6.80,1.60,1.82,87.9,2.00,2.11,94.8
22,Anders Carlson,GB,SEA,-,-,,6.70,1.44,1.78,80.9,2.41,2.53,95.3
23,Nick Folk,TEN,CIN,-,-,,6.64,1.59,1.87,85.0,1.87,1.99,94.0
24,Chase McLaughlin,TB,LAC,-,-,,6.63,1.56,1.84,84.8,1.95,2.06,94.7
25,Wil Lutz,DEN,IND,-,-,,6.52,1.48,1.77,83.6,2.05,2.17,94.5
26,Joshua Karty,LAR,SF,-,-,,6.51,1.40,1.72,81.4,2.31,2.42,95.5
27,Will Reichard,MIN,CHI,-,-,,6.44,1.40,1.68,83.3,2.24,2.35,95.3
28,Graham Gano,NYG,BAL,-,-,,6.36,1.53,1.80,85.0,1.80,1.91,94.2
29,Cam Little,JAX,NYJ,-,-,,6.29,1.34,1.68,79.8,2.24,2.35,95.3
30,Eddy Pineiro,CAR,DAL,-,-,,5.82,1.37,1.59,86.2,1.86,1.97,94.4
31,Joey Slye,NE,ARI,-,-,,1.53,0.38,0.48,79.2,0.48,0.53,90.6
32,Austin Seibert,NYJ,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Brayden Narveson,TEN,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Chad Ryland,NE,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Lucas Havrisik,CLE,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Spencer Shrader,IND,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Matthew Wright,PIT,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Charlie Smyth,NO,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Michael Badgley,DET,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Cade York,WAS,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
43,Alex Hale,GB,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
