,,,Week 6 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,DAL,-,-,,8.27,5.32,55.12,0.46,0.00,0.00,0.00
2,Mark Andrews,BAL,WAS,-,-,,8.15,4.31,54.47,0.45,0.00,0.00,0.00
3,George Kittle,SF,SEA,-,-,,7.76,4.03,55.05,0.37,0.06,0.31,0.00
4,Kyle Pitts,ATL,CAR,-,-,,6.66,3.95,49.19,0.29,0.00,0.00,0.00
5,Dalton Kincaid,BUF,NYJ,-,-,,6.59,4.61,47.85,0.30,0.00,0.00,0.00
6,Trey McBride,ARI,GB,-,-,,6.45,4.59,47.06,0.29,0.00,0.00,0.00
7,Taysom Hill,NO,TB,-,-,,6.12,1.39,14.26,0.13,5.05,21.70,0.25
8,Jake Ferguson,DAL,DET,-,-,,5.82,3.90,40.80,0.29,0.00,0.00,0.00
9,Dalton Schultz,HOU,NE,-,-,,5.51,3.53,37.12,0.30,0.00,0.00,0.00
10,David Njoku,CLE,PHI,-,-,,5.51,3.61,38.94,0.27,0.00,0.00,0.00
11,Evan Engram,JAX,CHI,-,-,,5.47,4.24,40.93,0.23,0.00,0.00,0.00
12,Dallas Goedert,PHI,CLE,-,-,,5.35,3.75,40.33,0.22,0.00,0.00,0.00
13,Brock Bowers,LV,PIT,-,-,,5.00,3.14,35.00,0.25,0.00,0.00,0.00
14,Cole Kmet,CHI,JAX,-,-,,4.86,3.28,33.60,0.25,0.00,0.00,0.00
15,Pat Freiermuth,PIT,LV,-,-,,4.80,3.26,34.17,0.23,0.00,0.00,0.00
16,Luke Musgrave,GB,ARI,-,-,,4.05,2.47,28.52,0.20,0.00,0.00,0.00
17,Cade Otton,TB,NO,-,-,,3.86,2.58,25.97,0.21,0.00,0.00,0.00
18,Chigoziem Okonkwo,TEN,IND,-,-,,3.64,2.49,25.31,0.18,0.06,0.24,0.00
