,,,Week 7 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,KC,-,-,,16.49,15.10,76.00,0.68,4.19,33.12,0.25
2,Breece Hall,NYJ,PIT,-,-,,13.28,15.70,70.23,0.52,3.26,24.16,0.12
3,Bijan Robinson,ATL,SEA,-,-,,12.96,14.90,70.43,0.51,2.95,22.00,0.11
4,Jonathan Taylor,IND,MIA,-,-,,12.76,15.60,73.36,0.60,1.91,14.60,0.06
5,Derrick Henry,BAL,TB,-,-,,12.25,14.40,70.49,0.66,1.21,8.77,0.06
6,Saquon Barkley,PHI,NYG,-,-,,12.16,15.40,69.77,0.42,2.62,19.42,0.12
7,Jahmyr Gibbs,DET,MIN,-,-,,11.74,11.70,58.12,0.45,3.29,24.46,0.13
8,Kyren Williams,LAR,LV,-,-,,11.67,13.70,63.26,0.53,2.34,17.42,0.07
9,Josh Jacobs,GB,HOU,-,-,,11.64,14.10,65.92,0.51,2.23,16.27,0.06
10,Isiah Pacheco,KC,SF,-,-,,11.06,12.90,59.16,0.45,2.41,17.84,0.11
11,Travis Etienne,JAX,NE,-,-,,10.87,14.20,60.66,0.41,2.64,19.82,0.06
12,James Cook,BUF,TEN,-,-,,10.43,11.90,57.44,0.32,2.57,19.88,0.13
13,De'Von Achane,MIA,IND,-,-,,10.18,9.90,53.17,0.40,2.40,18.60,0.10
14,David Montgomery,DET,MIN,-,-,,10.09,11.90,55.29,0.55,1.24,8.99,0.06
15,Rachaad White,TB,BAL,-,-,,10.03,13.20,52.07,0.35,2.79,20.63,0.11
16,Kenneth Walker,SEA,ATL,-,-,,9.65,13.60,56.61,0.41,1.69,12.32,0.05
17,Aaron Jones,MIN,DET,-,-,,9.57,11.90,51.65,0.35,2.14,15.84,0.12
18,James Conner,ARI,LAC,-,-,,9.48,12.00,52.11,0.41,1.94,14.46,0.06
19,Joe Mixon,HOU,GB,-,-,,9.25,12.70,52.88,0.34,2.15,15.65,0.06
20,Najee Harris,PIT,NYJ,-,-,,9.16,13.30,53.44,0.39,1.53,11.13,0.06
21,Nick Chubb,CLE,CIN,-,-,,9.13,11.80,53.23,0.46,0.88,6.88,0.06
22,Devin Singletary,NYG,PHI,-,-,,8.86,13.50,53.22,0.29,2.03,14.42,0.06
23,Zamir White,LV,LAR,-,-,,8.84,12.80,51.53,0.36,1.61,11.70,0.06
24,Alvin Kamara,NO,DEN,-,-,,8.62,10.10,41.72,0.23,3.26,24.08,0.11
25,Gus Edwards,LAC,ARI,-,-,,8.45,11.60,49.04,0.41,0.99,7.29,0.06
26,Raheem Mostert,MIA,IND,-,-,,8.40,9.80,46.01,0.39,1.53,10.94,0.06
27,Rhamondre Stevenson,NE,JAX,-,-,,8.38,12.60,48.72,0.32,1.75,12.87,0.05
28,Javonte Williams,DEN,NO,-,-,,8.20,12.30,49.36,0.28,1.78,12.82,0.05
29,Tony Pollard,TEN,BUF,-,-,,8.07,11.80,48.65,0.27,1.76,12.86,0.05
30,Zack Moss,CIN,CLE,-,-,,8.02,10.20,42.94,0.34,1.83,13.24,0.06
31,Jonathon Brooks,CAR,WAS,-,-,,7.87,10.60,43.27,0.29,1.93,14.42,0.06
32,Jaylen Warren,PIT,NYJ,-,-,,7.58,9.10,38.71,0.22,2.35,17.32,0.11
33,Austin Ekeler,WAS,CAR,-,-,,7.30,7.70,32.34,0.24,2.51,19.06,0.12
34,Brian Robinson,WAS,CAR,-,-,,7.26,10.40,41.57,0.31,1.28,9.44,0.05
35,Tyjae Spears,TEN,BUF,-,-,,7.23,8.30,34.22,0.20,2.58,18.89,0.12
36,Chase Brown,CIN,CLE,-,-,,7.22,8.90,37.75,0.24,2.16,16.48,0.06
37,Zach Charbonnet,SEA,ATL,-,-,,6.62,8.10,33.72,0.25,1.87,13.84,0.06
38,Jerome Ford,CLE,CIN,-,-,,6.06,6.80,28.61,0.23,2.02,14.62,0.06
39,Chuba Hubbard,CAR,WAS,-,-,,5.86,8.50,32.89,0.22,1.24,8.88,0.06
40,Trey Benson,ARI,LAC,-,-,,5.82,7.60,32.00,0.23,1.22,8.81,0.06
41,Blake Corum,LAR,LV,-,-,,5.67,6.50,29.86,0.24,1.20,8.88,0.06
42,Tyler Allgeier,ATL,SEA,-,-,,5.39,7.30,32.49,0.17,1.08,7.64,0.06
43,Ty Chandler,MIN,DET,-,-,,5.10,6.70,27.35,0.17,1.30,9.82,0.06
44,Jaleel McLaughlin,DEN,NO,-,-,,4.96,6.50,26.97,0.17,1.22,8.79,0.06
45,Kendre Miller,NO,DEN,-,-,,4.86,6.00,25.09,0.20,1.09,7.86,0.06
46,Ray Davis,BUF,TEN,-,-,,4.35,5.00,23.33,0.16,0.89,6.94,0.06
47,Kimani Vidal,LAC,ARI,-,-,,4.23,5.50,22.84,0.20,1.01,7.49,0.00
