,,,Week 14 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,CHI,-,-,,16.73,15.10,77.27,0.69,4.26,33.67,0.25
2,Breece Hall,NYJ,MIA,-,-,,13.41,15.70,71.17,0.52,3.30,24.48,0.12
3,Saquon Barkley,PHI,CAR,-,-,,12.69,15.40,72.47,0.44,2.72,20.18,0.13
4,Bijan Robinson,ATL,MIN,-,-,,12.30,14.90,67.19,0.48,2.81,20.99,0.10
5,Jahmyr Gibbs,DET,GB,-,-,,11.70,11.70,57.87,0.45,3.27,24.36,0.13
6,Isiah Pacheco,KC,LAC,-,-,,11.51,12.90,61.21,0.47,2.50,18.45,0.12
7,Kyren Williams,LAR,BUF,-,-,,11.40,13.70,61.66,0.52,2.29,16.98,0.07
8,Josh Jacobs,GB,DET,-,-,,11.08,14.10,62.88,0.48,2.13,15.52,0.06
9,Travis Etienne,JAX,TEN,-,-,,10.64,14.20,59.37,0.40,2.58,19.40,0.06
10,Rachaad White,TB,LV,-,-,,10.51,13.20,54.21,0.37,2.90,21.48,0.12
11,De'Von Achane,MIA,NYJ,-,-,,10.15,9.90,52.95,0.40,2.39,18.52,0.10
12,David Montgomery,DET,GB,-,-,,10.00,11.90,55.06,0.54,1.23,8.95,0.06
13,James Cook,BUF,LAR,-,-,,9.91,11.90,54.87,0.30,2.46,18.99,0.12
14,Kenneth Walker,SEA,ARI,-,-,,9.68,13.60,56.86,0.41,1.70,12.38,0.05
15,James Conner,ARI,SEA,-,-,,9.60,12.00,52.57,0.42,1.96,14.59,0.06
16,Aaron Jones,MIN,ATL,-,-,,9.51,11.90,51.20,0.35,2.12,15.70,0.12
17,Najee Harris,PIT,CLE,-,-,,9.36,13.30,54.65,0.39,1.56,11.38,0.07
18,Nick Chubb,CLE,PIT,-,-,,8.91,11.80,51.83,0.45,0.86,6.70,0.06
19,Zamir White,LV,TB,-,-,,8.87,12.80,51.77,0.36,1.62,11.75,0.06
20,Devin Singletary,NYG,NO,-,-,,8.86,13.50,53.22,0.29,2.03,14.42,0.06
21,Ezekiel Elliott,DAL,CIN,-,-,,8.50,10.60,44.66,0.39,1.76,12.75,0.07
22,D'Andre Swift,CHI,SF,-,-,,8.50,11.20,45.69,0.34,2.09,15.32,0.06
23,Raheem Mostert,MIA,NYJ,-,-,,8.37,9.80,45.82,0.39,1.52,10.90,0.06
24,Alvin Kamara,NO,NYG,-,-,,8.33,10.10,40.26,0.22,3.15,23.24,0.11
25,Tony Pollard,TEN,JAX,-,-,,8.30,11.80,49.99,0.28,1.81,13.21,0.05
26,Gus Edwards,LAC,KC,-,-,,8.03,11.60,46.42,0.39,0.94,6.90,0.06
27,Zack Moss,CIN,DAL,-,-,,8.02,10.20,42.94,0.34,1.83,13.24,0.06
28,Jonathon Brooks,CAR,PHI,-,-,,7.79,10.60,42.66,0.29,1.90,14.22,0.06
29,Jaylen Warren,PIT,CLE,-,-,,7.71,9.10,39.59,0.22,2.40,17.71,0.11
30,Tyjae Spears,TEN,JAX,-,-,,7.50,8.30,35.16,0.21,2.65,19.41,0.13
31,Chase Brown,CIN,DAL,-,-,,7.22,8.90,37.75,0.24,2.16,16.48,0.06
32,Zach Charbonnet,SEA,ARI,-,-,,6.64,8.10,33.87,0.25,1.88,13.90,0.06
33,Jerome Ford,CLE,PIT,-,-,,5.95,6.80,27.85,0.23,1.97,14.23,0.06
34,Trey Benson,ARI,SEA,-,-,,5.92,7.60,32.28,0.24,1.23,8.88,0.06
35,Chuba Hubbard,CAR,PHI,-,-,,5.80,8.50,32.43,0.22,1.23,8.76,0.06
36,Blake Corum,LAR,BUF,-,-,,5.58,6.50,29.11,0.24,1.17,8.65,0.06
37,Tyler Allgeier,ATL,MIN,-,-,,5.09,7.30,31.00,0.16,1.03,7.29,0.05
38,Ty Chandler,MIN,ATL,-,-,,5.06,6.70,27.11,0.17,1.29,9.73,0.06
39,Kendre Miller,NO,NYG,-,-,,4.68,6.00,24.21,0.19,1.05,7.59,0.06
40,Rico Dowdle,DAL,CIN,-,-,,4.62,5.90,25.06,0.16,1.18,8.57,0.05
41,Khalil Herbert,CHI,SF,-,-,,4.50,6.30,26.07,0.18,0.60,4.53,0.06
42,Elijah Mitchell,SF,CHI,-,-,,4.17,5.20,25.26,0.19,0.66,4.99,0.00
43,Ray Davis,BUF,LAR,-,-,,4.15,5.00,22.28,0.15,0.85,6.63,0.06
44,Kimani Vidal,LAC,KC,-,-,,4.01,5.50,21.61,0.19,0.96,7.09,0.00
45,MarShawn Lloyd,GB,DET,-,-,,3.96,4.80,20.61,0.13,0.92,6.99,0.07
46,Alexander Mattison,LV,TB,-,-,,3.78,5.20,20.44,0.13,0.88,5.98,0.06
47,Clyde Edwards-Helaire,KC,LAC,-,-,,3.73,3.90,17.13,0.13,1.20,8.81,0.06
48,Roschon Johnson,CHI,SF,-,-,,3.54,3.60,14.45,0.14,1.11,8.38,0.07
49,Will Shipley,PHI,CAR,-,-,,3.51,4.10,18.71,0.12,0.76,5.60,0.06
50,AJ Dillon,GB,DET,-,-,,3.42,4.60,18.93,0.18,0.61,4.47,0.00
51,Bucky Irving,TB,LV,-,-,,3.39,4.20,17.18,0.11,0.98,7.15,0.05
52,Deuce Vaughn,DAL,CIN,-,-,,3.21,3.20,13.97,0.09,0.98,7.28,0.09
53,Braelon Allen,NYJ,MIA,-,-,,3.20,4.10,17.25,0.15,0.45,3.38,0.04
54,Jaylen Wright,MIA,NYJ,-,-,,3.15,3.50,16.10,0.12,0.66,4.58,0.06
55,Jamaal Williams,NO,NYG,-,-,,3.05,4.70,18.49,0.14,0.51,3.56,0.00
56,Isaac Guerendo,SF,CHI,-,-,,2.77,3.40,15.56,0.12,0.66,4.92,0.00
57,Tyrone Tracy,NYG,NO,-,-,,2.74,3.10,12.25,0.08,0.90,6.73,0.06
58,J.K. Dobbins,LAC,KC,-,-,,2.71,3.40,13.16,0.11,0.65,4.89,0.04
59,Ty Johnson,BUF,LAR,-,-,,2.70,2.60,11.28,0.07,1.02,7.35,0.07
60,Emari Demercado,ARI,SEA,-,-,,2.61,2.40,10.27,0.07,1.10,7.99,0.06
61,Tank Bigsby,JAX,TEN,-,-,,2.58,3.60,15.27,0.11,0.54,3.91,0.00
62,Kenneth Gainwell,PHI,CAR,-,-,,2.51,2.60,11.53,0.06,0.86,6.39,0.06
63,D'Onta Foreman,CLE,PIT,-,-,,2.47,3.70,15.11,0.10,0.49,3.60,0.00
64,Eric Gray,NYG,NO,-,-,,2.33,3.30,13.06,0.09,0.65,4.79,0.00
65,Dylan Laube,LV,TB,-,-,,1.99,2.50,10.05,0.08,0.69,5.07,0.00
66,Jase McClellan,ATL,MIN,-,-,,1.88,1.70,6.95,0.06,0.62,4.64,0.06
67,Chase Edmonds,TB,LV,-,-,,1.80,1.80,7.26,0.06,0.96,7.14,0.00
68,Frank Gore,BUF,LAR,-,-,,1.75,2.40,10.55,0.07,0.39,2.77,0.00
69,Miles Sanders,CAR,PHI,-,-,,1.69,2.80,10.74,0.06,0.35,2.56,0.00
70,Cordarrelle Patterson,PIT,CLE,-,-,,1.55,1.90,7.93,0.06,0.52,3.93,0.00
71,DeWayne McBride,MIN,ATL,-,-,,1.52,2.10,8.63,0.07,0.32,2.37,0.00
72,Craig Reynolds,DET,GB,-,-,,1.48,1.90,8.29,0.06,0.39,2.94,0.00
73,Michael Carter,ARI,SEA,-,-,,1.46,1.60,6.66,0.06,0.62,4.30,0.00
74,Emani Bailey,KC,LAC,-,-,,1.36,2.20,9.85,0.00,0.42,3.77,0.00
75,Kyle Juszczyk,SF,CHI,-,-,,1.31,0.30,1.02,0.00,0.85,7.88,0.07
76,Jeff Wilson,MIA,NYJ,-,-,,1.20,1.50,6.58,0.06,0.25,1.80,0.00
77,Ronnie Rivers,LAR,BUF,-,-,,1.20,1.60,6.81,0.06,0.24,1.58,0.00
