,,Week 9 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,BAL,DEN,-,-,,7.24,16.25,254.81,2.96,0.88,0.63,0.06,0.13,0.06,0.00,0.00
2,KC,TB,-,-,,7.14,20.00,301.15,2.84,0.89,0.63,0.06,0.13,0.06,0.00,0.00
3,NYJ,HOU,-,-,,7.09,21.00,362.86,2.89,0.90,0.60,0.06,0.12,0.06,0.00,0.00
4,DAL,ATL,-,-,,7.09,23.50,346.06,2.85,0.91,0.61,0.06,0.12,0.06,0.00,0.00
5,CLE,LAC,-,-,,6.53,20.25,332.02,2.61,0.77,0.59,0.06,0.12,0.06,0.00,0.00
6,BUF,MIA,-,-,,6.45,24.00,376.59,2.66,0.89,0.57,0.06,0.06,0.06,0.00,0.00
7,PHI,JAX,-,-,,6.20,21.75,325.84,2.64,0.80,0.55,0.06,0.06,0.06,0.00,0.00
8,MIA,BUF,-,-,,6.19,27.00,399.11,2.59,0.78,0.60,0.06,0.06,0.06,0.00,0.00
9,DET,GB,-,-,,6.17,25.25,371.53,2.57,0.84,0.54,0.06,0.06,0.06,0.00,0.00
10,CIN,LV,-,-,,6.09,19.00,380.02,2.49,0.81,0.56,0.06,0.06,0.06,0.00,0.00
11,GB,DET,-,-,,6.08,23.75,379.37,2.52,0.80,0.55,0.06,0.06,0.06,0.00,0.00
12,CHI,ARI,-,-,,5.99,22.75,356.37,2.51,0.78,0.54,0.06,0.06,0.06,0.00,0.00
13,MIN,IND,-,-,,5.93,22.75,340.40,2.57,0.72,0.54,0.06,0.06,0.06,0.00,0.00
14,SEA,LAR,-,-,,5.92,24.00,381.11,2.52,0.76,0.53,0.06,0.06,0.06,0.00,0.00
15,HOU,NYJ,-,-,,5.87,24.00,352.60,2.45,0.74,0.57,0.06,0.06,0.06,0.00,0.00
16,ATL,DAL,-,-,,5.84,24.50,359.31,2.38,0.77,0.54,0.06,0.06,0.06,0.00,0.00
17,LAR,SEA,-,-,,5.83,22.50,328.34,2.46,0.72,0.54,0.06,0.06,0.06,0.00,0.00
18,JAX,PHI,-,-,,5.66,25.25,366.18,2.43,0.69,0.52,0.06,0.06,0.06,0.00,0.00
19,IND,MIN,-,-,,5.59,23.75,96.07,2.29,0.71,0.53,0.06,0.06,0.06,0.00,0.00
20,NO,CAR,-,-,,5.56,19.75,299.51,2.27,0.74,0.51,0.06,0.06,0.06,0.00,0.00
21,NYG,WAS,-,-,,5.49,20.25,308.41,2.37,0.64,0.52,0.06,0.06,0.06,0.00,0.00
22,TEN,NE,-,-,,5.49,19.25,292.36,2.25,0.69,0.52,0.06,0.06,0.06,0.00,0.00
23,TB,KC,-,-,,5.49,27.00,411.51,2.24,0.73,0.50,0.06,0.06,0.06,0.00,0.00
24,ARI,CHI,-,-,,5.47,23.75,347.57,2.18,0.71,0.53,0.06,0.06,0.06,0.00,0.00
25,LAC,CLE,-,-,,5.46,23.25,333.32,2.31,0.67,0.51,0.06,0.06,0.06,0.00,0.00
26,LV,CIN,-,-,,5.44,26.00,366.26,2.36,0.66,0.49,0.05,0.05,0.05,0.00,0.00
27,NE,TEN,-,-,,5.35,21.75,323.25,2.26,0.66,0.50,0.06,0.06,0.06,0.00,0.00
28,WAS,NYG,-,-,,5.34,21.75,279.40,2.19,0.67,0.51,0.06,0.06,0.06,0.00,0.00
29,CAR,NO,-,-,,5.29,20.75,323.17,2.17,0.67,0.50,0.06,0.06,0.06,0.00,0.00
30,DEN,BAL,-,-,,4.90,26.75,387.60,1.98,0.63,0.47,0.05,0.05,0.05,0.00,0.00
