,,,Week 9 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,TB,-,-,,8.93,5.63,59.58,0.49,0.07,0.28,0.00
2,Sam LaPorta,DET,GB,-,-,,8.25,5.30,54.88,0.46,0.00,0.00,0.00
3,Mark Andrews,BAL,DEN,-,-,,8.10,4.27,54.03,0.45,0.00,0.00,0.00
4,Dalton Kincaid,BUF,MIA,-,-,,7.04,4.93,51.20,0.32,0.00,0.00,0.00
5,Trey McBride,ARI,CHI,-,-,,6.68,4.76,48.78,0.30,0.00,0.00,0.00
6,Kyle Pitts,ATL,DAL,-,-,,6.64,3.94,48.98,0.29,0.00,0.00,0.00
7,Taysom Hill,NO,CAR,-,-,,5.96,1.35,13.88,0.12,4.91,21.12,0.25
8,Jake Ferguson,DAL,ATL,-,-,,5.82,3.90,40.80,0.29,0.00,0.00,0.00
9,David Njoku,CLE,LAC,-,-,,5.72,3.75,40.35,0.28,0.00,0.00,0.00
10,Dallas Goedert,PHI,JAX,-,-,,5.42,3.81,41.02,0.22,0.00,0.00,0.00
11,T.J. Hockenson,MIN,IND,-,-,,5.24,3.65,37.38,0.25,0.00,0.00,0.00
12,Evan Engram,JAX,PHI,-,-,,5.24,4.06,39.18,0.22,0.00,0.00,0.00
13,Dalton Schultz,HOU,NYJ,-,-,,5.19,3.34,35.05,0.28,0.00,0.00,0.00
14,Cole Kmet,CHI,ARI,-,-,,4.89,3.31,33.89,0.25,0.00,0.00,0.00
15,Brock Bowers,LV,CIN,-,-,,4.84,3.06,34.04,0.24,0.00,0.00,0.00
16,Luke Musgrave,GB,DET,-,-,,4.03,2.45,28.28,0.20,0.00,0.00,0.00
17,Cade Otton,TB,KC,-,-,,3.76,2.55,25.62,0.20,0.00,0.00,0.00
18,Chigoziem Okonkwo,TEN,NE,-,-,,3.65,2.50,25.43,0.18,0.06,0.24,0.00
19,Ben Sinnott,WAS,NYG,-,-,,3.59,2.34,24.50,0.19,0.00,0.00,0.00
20,Tucker Kraft,GB,DET,-,-,,3.38,2.14,22.39,0.19,0.00,0.00,0.00
21,Isaiah Likely,BAL,DEN,-,-,,3.25,2.02,22.30,0.17,0.00,0.00,0.00
22,Dawson Knox,BUF,MIA,-,-,,3.15,1.84,20.13,0.19,0.00,0.00,0.00
23,Juwan Johnson,NO,CAR,-,-,,3.08,1.84,20.64,0.17,0.00,0.00,0.00
24,Tyler Conklin,NYJ,HOU,-,-,,3.05,2.22,22.13,0.14,0.00,0.00,0.00
25,Ja'Tavion Sanders,CAR,NO,-,-,,3.01,1.79,19.90,0.17,0.00,0.00,0.00
26,Colby Parkinson,LAR,SEA,-,-,,2.91,1.81,19.45,0.16,0.00,0.00,0.00
27,Hunter Henry,NE,TEN,-,-,,2.84,1.98,19.97,0.14,0.00,0.00,0.00
28,Noah Fant,SEA,LAR,-,-,,2.83,2.08,21.05,0.12,0.00,0.00,0.00
29,Gerald Everett,CHI,ARI,-,-,,2.64,1.77,17.95,0.14,0.00,0.00,0.00
30,Theo Johnson,NYG,WAS,-,-,,2.63,1.70,17.93,0.14,0.00,0.00,0.00
31,Michael Mayer,LV,CIN,-,-,,2.59,1.70,18.10,0.13,0.00,0.00,0.00
32,Noah Gray,KC,TB,-,-,,2.43,1.55,16.51,0.13,0.00,0.00,0.00
33,Tanner Hudson,CIN,LV,-,-,,2.35,1.50,15.07,0.14,0.00,0.00,0.00
34,Will Mallory,IND,MIN,-,-,,2.29,1.60,16.90,0.10,0.00,0.00,0.00
35,Mike Gesicki,CIN,LV,-,-,,2.24,1.44,15.82,0.11,0.00,0.00,0.00
36,Jelani Woods,IND,MIN,-,-,,2.23,1.40,15.72,0.11,0.00,0.00,0.00
37,Durham Smythe,MIA,BUF,-,-,,2.20,1.34,13.58,0.14,0.00,0.00,0.00
38,Tyler Higbee,LAR,SEA,-,-,,2.14,1.35,14.18,0.12,0.00,0.00,0.00
39,Josh Whyle,TEN,NE,-,-,,2.10,1.34,13.77,0.12,0.00,0.00,0.00
40,Jaheim Bell,NE,TEN,-,-,,2.05,1.26,13.85,0.11,0.00,0.00,0.00
41,Cade Stover,HOU,NYJ,-,-,,1.95,1.33,14.07,0.09,0.00,0.00,0.00
42,Hayden Hurst,LAC,CLE,-,-,,1.85,1.27,13.08,0.09,0.00,0.00,0.00
43,Zach Ertz,WAS,NYG,-,-,,1.85,1.44,13.65,0.08,0.00,0.00,0.00
44,Greg Dulcich,DEN,BAL,-,-,,1.79,1.27,13.13,0.08,0.00,0.00,0.00
45,Brevin Jordan,HOU,NYJ,-,-,,1.79,1.19,12.49,0.09,0.00,0.00,0.00
46,Jonnu Smith,MIA,BUF,-,-,,1.66,1.10,11.16,0.09,0.00,0.00,0.00
47,Donald Parham,LAC,CLE,-,-,,1.56,0.85,9.04,0.11,0.00,0.00,0.00
48,Jeremy Ruckert,NYJ,HOU,-,-,,1.47,1.06,11.14,0.06,0.00,0.00,0.00
49,Tommy Tremble,CAR,NO,-,-,,1.41,0.99,10.50,0.06,0.00,0.00,0.00
50,Johnny Mundt,MIN,IND,-,-,,1.40,1.01,10.39,0.06,0.00,0.00,0.00
51,Kylen Granson,IND,MIN,-,-,,1.37,0.99,10.09,0.06,0.00,0.00,0.00
52,Jared Wiley,KC,TB,-,-,,1.26,0.79,8.41,0.07,0.00,0.00,0.00
53,Robert Tonyan,MIN,IND,-,-,,1.25,0.87,8.90,0.06,0.00,0.00,0.00
54,Elijah Higgins,ARI,CHI,-,-,,1.23,0.86,8.74,0.06,0.00,0.00,0.00
55,AJ Barner,SEA,LAR,-,-,,1.21,0.80,8.53,0.06,0.00,0.00,0.00
56,Peyton Hendershot,DAL,ATL,-,-,,1.19,0.82,8.25,0.06,0.00,0.00,0.00
57,Davis Allen,LAR,SEA,-,-,,1.18,0.81,8.24,0.06,0.00,0.00,0.00
58,Drew Sample,CIN,LV,-,-,,1.17,0.78,8.14,0.06,0.00,0.00,0.00
59,Tanner McLachlan,CIN,LV,-,-,,1.16,0.78,7.95,0.06,0.00,0.00,0.00
60,Brenton Strange,JAX,PHI,-,-,,1.15,0.78,7.86,0.06,0.00,0.00,0.00
61,Lucas Krull,DEN,BAL,-,-,,1.14,0.79,8.37,0.05,0.00,0.00,0.00
62,Payne Durham,TB,KC,-,-,,1.12,0.76,7.62,0.06,0.00,0.00,0.00
63,Dallin Holker,NO,CAR,-,-,,1.11,0.73,7.54,0.06,0.00,0.00,0.00
64,Devin Culp,TB,KC,-,-,,1.10,0.72,7.44,0.06,0.00,0.00,0.00
65,Tip Reiman,ARI,CHI,-,-,,1.10,0.73,7.39,0.06,0.00,0.00,0.00
66,Irv Smith,KC,TB,-,-,,1.06,0.66,7.01,0.06,0.00,0.00,0.00
67,Daniel Bellinger,NYG,WAS,-,-,,1.03,0.70,7.27,0.05,0.00,0.00,0.00
