,,,Week 15 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Josh Allen,BUF,DET,-,-,,24.39,21.83,32.90,66.4,243.31,1.63,0.84,6.50,33.06,0.54
2,Patrick Mahomes,KC,CLE,-,-,,24.36,24.77,35.40,70.0,276.63,2.07,0.75,4.10,22.17,0.13
3,Jalen Hurts,PHI,PIT,-,-,,23.59,19.42,29.00,67.0,217.26,1.38,0.66,8.90,39.09,0.66
4,Lamar Jackson,BAL,NYG,-,-,,23.44,18.73,27.30,68.6,215.96,1.54,0.61,8.90,51.68,0.32
5,C.J. Stroud,HOU,MIA,-,-,,22.97,23.29,34.10,68.3,271.89,2.05,0.75,2.70,12.10,0.12
6,Joe Burrow,CIN,TEN,-,-,,22.17,25.09,35.60,70.5,264.47,1.94,0.75,3.20,11.60,0.13
7,Anthony Richardson,IND,DEN,-,-,,21.87,17.57,28.10,62.5,199.47,1.13,0.71,10.00,47.90,0.55
8,Dak Prescott,DAL,CAR,-,-,,21.64,23.33,33.10,70.5,252.61,1.88,0.69,3.20,13.99,0.13
9,Brock Purdy,SF,LAR,-,-,,20.88,20.63,28.60,72.1,247.05,1.85,0.68,2.30,10.29,0.13
10,Kyler Murray,ARI,NE,-,-,,20.43,20.30,30.90,65.7,222.33,1.29,0.70,5.50,31.70,0.28
11,Jared Goff,DET,BUF,-,-,,20.38,23.38,33.60,69.6,262.33,1.81,0.69,1.50,3.49,0.06
12,Jordan Love,GB,SEA,-,-,,20.14,21.07,31.90,66.1,235.77,1.68,0.72,2.60,12.75,0.18
13,Justin Herbert,LAC,TB,-,-,,19.52,21.52,32.70,65.8,232.88,1.55,0.65,3.20,12.49,0.18
14,Trevor Lawrence,JAX,NYJ,-,-,,19.47,21.52,32.90,65.4,228.82,1.46,0.76,4.10,18.69,0.18
15,Caleb Williams,CHI,MIN,-,-,,19.46,20.71,32.10,64.5,230.47,1.49,0.84,4.00,17.40,0.18
16,Tua Tagovailoa,MIA,HOU,-,-,,19.22,21.08,30.80,68.4,244.41,1.73,0.71,1.90,4.26,0.06
17,Aaron Rodgers,NYJ,JAX,-,-,,18.47,21.01,32.10,65.5,232.56,1.61,0.54,1.90,5.78,0.06
18,Matthew Stafford,LAR,SF,-,-,,17.88,20.46,33.10,61.8,229.61,1.63,0.79,0.90,3.66,0.05
19,Jayden Daniels,WAS,NO,-,-,,17.86,16.72,29.10,57.5,186.78,1.10,0.77,5.80,29.15,0.33
20,Geno Smith,SEA,GB,-,-,,17.78,20.39,31.30,65.1,222.96,1.42,0.65,2.10,8.86,0.12
21,Kirk Cousins,ATL,LV,-,-,,17.74,21.71,31.90,68.1,232.19,1.51,0.70,1.70,4.29,0.06
22,Deshaun Watson,CLE,KC,-,-,,17.70,17.74,28.90,61.4,195.31,1.26,0.74,4.50,22.50,0.23
23,Will Levis,TEN,CIN,-,-,,17.11,19.21,32.40,59.3,217.18,1.36,0.80,2.80,9.51,0.11
24,Baker Mayfield,TB,LAC,-,-,,16.79,19.18,31.40,61.1,208.43,1.33,0.66,3.20,10.50,0.11
25,Gardner Minshew,LV,ATL,-,-,,15.99,20.80,32.50,64.0,216.82,1.17,0.78,1.80,7.05,0.09
26,Drake Maye,NE,ARI,-,-,,15.97,17.60,29.70,59.3,190.87,1.14,0.74,3.60,15.85,0.17
27,Derek Carr,NO,WAS,-,-,,15.95,20.71,31.20,66.4,213.52,1.29,0.64,1.80,3.93,0.06
28,Russell Wilson,PIT,PHI,-,-,,15.77,16.96,27.30,62.1,183.38,1.14,0.63,4.30,18.94,0.13
29,Bryce Young,CAR,DAL,-,-,,14.77,17.35,30.90,56.1,189.38,1.04,0.77,2.90,12.49,0.11
30,Daniel Jones,NYG,BAL,-,-,,14.23,14.99,24.90,60.2,159.96,0.88,0.49,4.90,22.45,0.16
31,Bo Nix,DEN,IND,-,-,,13.39,14.85,23.80,62.4,153.95,0.89,0.59,4.20,18.27,0.15
32,Aidan O'Connell,LV,ATL,-,-,,6.02,8.30,13.40,61.9,88.48,0.49,0.39,0.10,0.21,0.00
33,Jimmy Garoppolo,LAR,SF,-,-,,1.21,1.30,2.10,61.9,14.05,0.13,0.06,0.20,0.45,0.00
34,Logan Woodside,CIN,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Skylar Thompson,MIA,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Luis Perez,LAC,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Mitch Trubisky,BUF,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Nathan Peterman,LV,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Mike White,MIA,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,John Rhys Plumlee,PIT,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
59,Jameis Winston,CLE,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
60,Michael Pratt,GB,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
61,Sam Howell,SEA,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
62,Austin Reed,CHI,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
63,Hendon Hooker,DET,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
64,Josh Johnson,BAL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
65,Tyler Huntley,CLE,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
66,Brandon Allen,SF,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
67,Mac Jones,JAX,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
68,Kyle Allen,PIT,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
69,Case Keenum,HOU,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
70,Tyson Bagent,CHI,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
71,Devin Leary,BAL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
72,Jason Bean,IND,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
