,,,Week 16 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Josh Allen,BUF,NE,-,-,,25.31,22.67,32.90,68.9,252.69,1.69,0.88,6.50,34.33,0.56
2,Patrick Mahomes,KC,HOU,-,-,,24.77,25.19,35.40,71.2,281.33,2.11,0.77,4.10,22.55,0.13
3,Jalen Hurts,PHI,WAS,-,-,,23.59,19.42,29.00,67.0,217.26,1.38,0.66,8.90,39.09,0.66
4,Lamar Jackson,BAL,PIT,-,-,,23.06,18.42,27.30,67.5,212.32,1.51,0.60,8.90,50.81,0.32
5,Anthony Richardson,IND,TEN,-,-,,22.35,17.95,28.10,63.9,203.80,1.16,0.73,10.00,48.94,0.56
6,Joe Burrow,CIN,CLE,-,-,,21.86,24.77,35.60,69.6,261.13,1.92,0.74,3.20,11.45,0.12
7,Dak Prescott,DAL,TB,-,-,,21.74,23.43,33.10,70.8,253.67,1.89,0.69,3.20,14.05,0.13
8,C.J. Stroud,HOU,KC,-,-,,21.16,21.45,34.10,62.9,250.41,1.89,0.69,2.70,11.14,0.11
9,Jordan Love,GB,NO,-,-,,20.48,21.44,31.90,67.2,239.83,1.71,0.73,2.60,12.97,0.18
10,Brock Purdy,SF,MIA,-,-,,20.22,20.04,28.60,70.1,239.95,1.79,0.66,2.30,9.99,0.12
11,Kyler Murray,ARI,CAR,-,-,,20.20,20.12,30.90,65.1,220.41,1.28,0.70,5.50,31.42,0.27
12,Justin Herbert,LAC,DEN,-,-,,19.82,21.81,32.70,66.7,235.95,1.57,0.66,3.20,12.66,0.19
13,Trevor Lawrence,JAX,LV,-,-,,19.72,21.81,32.90,66.3,231.85,1.48,0.77,4.10,18.94,0.18
14,Jared Goff,DET,CHI,-,-,,19.62,22.51,33.60,67.0,252.56,1.74,0.66,1.50,3.36,0.06
15,Tua Tagovailoa,MIA,SF,-,-,,19.36,21.26,30.80,69.0,246.53,1.74,0.72,1.90,4.30,0.06
16,Caleb Williams,CHI,DET,-,-,,19.32,20.53,32.10,64.0,228.47,1.48,0.83,4.00,17.25,0.18
17,Aaron Rodgers,NYJ,LAR,-,-,,19.03,21.64,32.10,67.4,239.62,1.66,0.55,1.90,5.95,0.06
18,Matthew Stafford,LAR,NYJ,-,-,,18.58,21.21,33.10,64.1,238.05,1.69,0.82,0.90,3.79,0.06
19,Jayden Daniels,WAS,PHI,-,-,,18.37,17.18,29.10,59.0,192.01,1.13,0.79,5.80,29.96,0.34
20,Kirk Cousins,ATL,NYG,-,-,,18.15,22.18,31.90,69.5,237.25,1.55,0.71,1.70,4.38,0.06
21,Geno Smith,SEA,MIN,-,-,,18.01,20.65,31.30,66.0,225.89,1.44,0.66,2.10,8.98,0.12
22,Deshaun Watson,CLE,CIN,-,-,,17.40,17.51,28.90,60.6,192.69,1.24,0.73,4.50,22.20,0.22
23,Baker Mayfield,TB,DAL,-,-,,17.16,19.63,31.40,62.5,213.26,1.36,0.68,3.20,10.74,0.11
24,Will Levis,TEN,IND,-,-,,17.11,19.21,32.40,59.3,217.18,1.36,0.80,2.80,9.51,0.11
25,Gardner Minshew,LV,JAX,-,-,,15.99,20.80,32.50,64.0,216.82,1.17,0.78,1.80,7.05,0.09
26,Bryce Young,CAR,ARI,-,-,,15.77,18.49,30.90,59.8,201.91,1.11,0.82,2.90,13.32,0.12
27,Drake Maye,NE,BUF,-,-,,15.28,16.88,29.70,56.8,182.97,1.09,0.71,3.60,15.20,0.16
28,Derek Carr,NO,GB,-,-,,15.24,19.79,31.20,63.4,204.09,1.23,0.62,1.80,3.76,0.06
29,Russell Wilson,PIT,BAL,-,-,,14.95,16.12,27.30,59.0,174.24,1.08,0.60,4.30,18.00,0.12
30,Daniel Jones,NYG,ATL,-,-,,14.61,15.35,24.90,61.6,163.74,0.90,0.50,4.90,22.98,0.17
31,Bo Nix,DEN,LAC,-,-,,13.01,14.45,23.80,60.7,149.76,0.87,0.58,4.20,17.77,0.14
32,Aidan O'Connell,LV,JAX,-,-,,6.02,8.30,13.40,61.9,88.48,0.49,0.39,0.10,0.21,0.00
33,Jimmy Garoppolo,LAR,NYJ,-,-,,1.22,1.34,2.10,63.8,14.57,0.13,0.07,0.20,0.46,0.00
34,Logan Woodside,CIN,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
