,,,Week 7 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,IND,-,-,,13.02,6.83,94.98,0.55,0.30,2.19,0.00
2,A.J. Brown,PHI,NYG,-,-,,11.15,5.43,81.77,0.49,0.06,0.37,0.00
3,Ja'Marr Chase,CIN,CLE,-,-,,11.13,6.26,81.51,0.48,0.18,0.95,0.00
4,Justin Jefferson,MIN,DET,-,-,,11.10,6.26,85.07,0.42,0.12,0.72,0.00
5,Amon-Ra St. Brown,DET,MIN,-,-,,10.75,6.86,79.45,0.43,0.37,2.23,0.00
6,Puka Nacua,LAR,LV,-,-,,10.63,5.78,77.33,0.44,0.50,2.58,0.00
7,Garrett Wilson,NYJ,PIT,-,-,,10.31,5.76,73.05,0.47,0.29,1.80,0.00
8,Deebo Samuel,SF,KC,-,-,,10.15,3.88,54.56,0.36,2.45,14.52,0.18
9,Drake London,ATL,SEA,-,-,,9.50,5.32,69.14,0.42,0.12,0.67,0.00
10,Brandon Aiyuk,SF,KC,-,-,,9.49,4.70,68.76,0.43,0.06,0.31,0.00
11,Marvin Harrison,ARI,LAC,-,-,,9.37,4.83,68.04,0.42,0.06,0.42,0.00
12,Nico Collins,HOU,GB,-,-,,9.34,4.62,68.23,0.41,0.12,0.59,0.00
13,Chris Olave,NO,DEN,-,-,,9.27,5.23,70.79,0.36,0.06,0.30,0.00
14,Cooper Kupp,LAR,LV,-,-,,9.13,5.42,64.58,0.42,0.24,1.56,0.00
15,Jaylen Waddle,MIA,IND,-,-,,9.07,4.99,67.97,0.36,0.18,1.14,0.00
16,Amari Cooper,CLE,CIN,-,-,,9.06,4.42,65.11,0.42,0.06,0.30,0.00
17,DK Metcalf,SEA,ATL,-,-,,8.96,4.28,61.66,0.46,0.06,0.29,0.00
18,Tee Higgins,CIN,CLE,-,-,,8.91,4.43,63.01,0.43,0.06,0.31,0.00
19,Mike Evans,TB,BAL,-,-,,8.88,4.11,62.13,0.44,0.06,0.28,0.00
20,DeVonta Smith,PHI,NYG,-,-,,8.49,5.14,62.98,0.36,0.06,0.36,0.00
21,Christian Kirk,JAX,NE,-,-,,8.45,4.89,62.27,0.36,0.12,0.66,0.00
22,Jordan Addison,MIN,DET,-,-,,8.35,4.30,59.60,0.38,0.19,1.14,0.00
23,Davante Adams,LV,LAR,-,-,,8.32,5.23,62.49,0.34,0.06,0.29,0.00
24,Zay Flowers,BAL,TB,-,-,,8.26,4.98,57.28,0.37,0.49,3.13,0.00
25,Stefon Diggs,HOU,GB,-,-,,8.26,4.82,58.31,0.40,0.06,0.29,0.00
26,George Pickens,PIT,NYJ,-,-,,8.19,4.03,60.91,0.34,0.11,0.57,0.00
27,Jayden Reed,GB,HOU,-,-,,8.18,4.40,54.85,0.31,0.80,4.70,0.06
28,Tank Dell,HOU,GB,-,-,,8.18,4.53,57.51,0.34,0.68,3.85,0.00
29,Michael Pittman,IND,MIA,-,-,,8.01,5.47,61.17,0.31,0.06,0.31,0.00
30,Malik Nabers,NYG,PHI,-,-,,7.93,4.28,58.08,0.34,0.11,0.85,0.00
31,Terry McLaurin,WAS,CAR,-,-,,7.66,4.45,58.85,0.29,0.06,0.35,0.00
32,Calvin Ridley,TEN,BUF,-,-,,7.56,3.99,53.98,0.33,0.33,1.86,0.00
33,Chris Godwin,TB,BAL,-,-,,7.37,4.92,55.45,0.28,0.23,1.47,0.00
34,Christian Watson,GB,HOU,-,-,,7.20,3.51,48.12,0.37,0.31,1.66,0.00
35,Rashee Rice,KC,SF,-,-,,7.03,4.63,49.97,0.33,0.11,0.49,0.00
36,Xavier Worthy,KC,SF,-,-,,7.02,3.62,48.58,0.34,0.17,1.25,0.00
37,Marquise Brown,KC,SF,-,-,,6.73,3.48,48.51,0.30,0.18,0.83,0.00
38,DeAndre Hopkins,TEN,BUF,-,-,,6.63,3.94,47.19,0.31,0.12,0.49,0.00
39,Romeo Doubs,GB,HOU,-,-,,6.55,3.73,46.54,0.31,0.06,0.31,0.00
40,Brian Thomas,JAX,NE,-,-,,6.53,3.61,46.41,0.30,0.12,0.89,0.00
41,Dontayvion Wicks,GB,HOU,-,-,,6.40,3.21,42.00,0.35,0.21,0.98,0.00
42,Keon Coleman,BUF,TEN,-,-,,6.37,3.45,45.42,0.30,0.06,0.30,0.00
43,Khalil Shakir,BUF,TEN,-,-,,6.36,3.75,44.46,0.31,0.06,0.49,0.00
44,Ladd McConkey,LAC,ARI,-,-,,6.34,3.53,43.01,0.33,0.06,0.61,0.00
45,Tyler Lockett,SEA,ATL,-,-,,6.26,3.74,44.87,0.29,0.06,0.29,0.00
46,Jameson Williams,DET,MIN,-,-,,6.24,3.12,44.25,0.27,0.33,1.91,0.00
47,Jaxon Smith-Njigba,SEA,ATL,-,-,,6.17,4.00,43.14,0.30,0.12,0.60,0.00
48,Gabe Davis,JAX,NE,-,-,,6.16,3.22,44.54,0.28,0.06,0.28,0.00
49,Mike Williams,NYJ,PIT,-,-,,6.11,3.16,43.42,0.29,0.06,0.29,0.00
50,Curtis Samuel,BUF,TEN,-,-,,6.05,3.54,39.48,0.22,0.71,4.80,0.05
51,Jerry Jeudy,CLE,CIN,-,-,,5.85,3.26,41.61,0.27,0.11,0.71,0.00
52,Courtland Sutton,DEN,NO,-,-,,5.83,3.21,43.07,0.25,0.05,0.25,0.00
53,Ricky Pearsall,SF,KC,-,-,,5.72,3.12,37.55,0.31,0.18,1.04,0.00
54,Rashid Shaheed,NO,DEN,-,-,,5.71,2.99,40.30,0.23,0.46,2.99,0.00
55,Joshua Palmer,LAC,ARI,-,-,,5.66,3.01,37.59,0.31,0.05,0.36,0.00
56,Xavier Legette,CAR,WAS,-,-,,5.57,3.07,39.42,0.25,0.18,1.23,0.00
57,Josh Downs,IND,MIA,-,-,,5.56,3.58,39.95,0.24,0.18,1.25,0.00
58,Jahan Dotson,PHI,NYG,-,-,,5.51,3.04,39.40,0.25,0.08,0.66,0.00
59,Jakobi Meyers,LV,LAR,-,-,,5.44,3.45,39.00,0.23,0.23,1.21,0.00
