,,,Week 10 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,DEN,-,-,,9.04,5.67,60.07,0.50,0.07,0.28,0.00
2,Sam LaPorta,DET,HOU,-,-,,8.25,5.30,54.88,0.46,0.00,0.00,0.00
3,Mark Andrews,BAL,CIN,-,-,,7.78,4.12,52.03,0.43,0.00,0.00,0.00
4,George Kittle,SF,TB,-,-,,7.71,4.00,54.59,0.37,0.06,0.31,0.00
5,Dalton Kincaid,BUF,IND,-,-,,6.75,4.71,48.89,0.31,0.00,0.00,0.00
6,Kyle Pitts,ATL,NO,-,-,,6.60,3.90,48.56,0.29,0.00,0.00,0.00
7,Trey McBride,ARI,NYJ,-,-,,6.53,4.67,47.92,0.29,0.00,0.00,0.00
8,Taysom Hill,NO,ATL,-,-,,6.01,1.37,14.07,0.12,4.98,21.41,0.25
9,Jake Ferguson,DAL,PHI,-,-,,5.86,3.94,41.15,0.29,0.00,0.00,0.00
10,Dalton Schultz,HOU,DET,-,-,,5.54,3.56,37.44,0.30,0.00,0.00,0.00
11,Evan Engram,JAX,MIN,-,-,,5.44,4.20,40.58,0.23,0.00,0.00,0.00
12,Dallas Goedert,PHI,DAL,-,-,,5.27,3.67,39.47,0.22,0.00,0.00,0.00
13,Pat Freiermuth,PIT,WAS,-,-,,4.92,3.32,34.79,0.24,0.00,0.00,0.00
14,Cole Kmet,CHI,NE,-,-,,4.92,3.34,34.18,0.25,0.00,0.00,0.00
15,T.J. Hockenson,MIN,JAX,-,-,,4.92,3.46,35.44,0.23,0.00,0.00,0.00
16,Cade Otton,TB,SF,-,-,,3.88,2.61,26.21,0.21,0.00,0.00,0.00
17,Ben Sinnott,WAS,PIT,-,-,,3.62,2.37,24.83,0.19,0.00,0.00,0.00
18,Chigoziem Okonkwo,TEN,LAC,-,-,,3.56,2.41,24.52,0.18,0.06,0.24,0.00
19,Isaiah Likely,BAL,CIN,-,-,,3.17,1.94,21.48,0.17,0.00,0.00,0.00
20,Juwan Johnson,NO,ATL,-,-,,3.11,1.86,20.92,0.17,0.00,0.00,0.00
21,Tyler Conklin,NYJ,ARI,-,-,,3.08,2.25,22.42,0.14,0.00,0.00,0.00
22,Ja'Tavion Sanders,CAR,NYG,-,-,,3.05,1.83,20.27,0.17,0.00,0.00,0.00
23,Dawson Knox,BUF,IND,-,-,,3.00,1.76,19.23,0.18,0.00,0.00,0.00
24,Colby Parkinson,LAR,MIA,-,-,,2.91,1.81,19.53,0.16,0.00,0.00,0.00
25,Hunter Henry,NE,CHI,-,-,,2.82,1.96,19.78,0.14,0.00,0.00,0.00
26,Gerald Everett,CHI,NE,-,-,,2.65,1.78,18.10,0.14,0.00,0.00,0.00
27,Theo Johnson,NYG,CAR,-,-,,2.63,1.70,17.93,0.14,0.00,0.00,0.00
28,Noah Gray,KC,DEN,-,-,,2.44,1.56,16.64,0.13,0.00,0.00,0.00
29,Will Mallory,IND,BUF,-,-,,2.28,1.59,16.75,0.10,0.00,0.00,0.00
30,Jelani Woods,IND,BUF,-,-,,2.22,1.39,15.58,0.11,0.00,0.00,0.00
31,Durham Smythe,MIA,LAR,-,-,,2.18,1.33,13.41,0.14,0.00,0.00,0.00
32,Tanner Hudson,CIN,BAL,-,-,,2.17,1.39,13.94,0.13,0.00,0.00,0.00
33,Tyler Higbee,LAR,MIA,-,-,,2.14,1.36,14.24,0.12,0.00,0.00,0.00
34,Mike Gesicki,CIN,BAL,-,-,,2.06,1.34,14.63,0.10,0.00,0.00,0.00
35,Cade Stover,HOU,DET,-,-,,2.04,1.42,15.03,0.09,0.00,0.00,0.00
36,Jaheim Bell,NE,CHI,-,-,,2.03,1.25,13.72,0.11,0.00,0.00,0.00
37,Hayden Hurst,LAC,TEN,-,-,,1.99,1.35,13.92,0.10,0.00,0.00,0.00
38,Josh Whyle,TEN,LAC,-,-,,1.99,1.29,13.27,0.11,0.00,0.00,0.00
39,Brevin Jordan,HOU,DET,-,-,,1.93,1.27,13.34,0.10,0.00,0.00,0.00
40,Zach Ertz,WAS,PIT,-,-,,1.86,1.46,13.84,0.08,0.00,0.00,0.00
41,Greg Dulcich,DEN,KC,-,-,,1.85,1.33,13.72,0.08,0.00,0.00,0.00
42,Donald Parham,LAC,TEN,-,-,,1.68,0.90,9.62,0.12,0.00,0.00,0.00
43,Jonnu Smith,MIA,LAR,-,-,,1.64,1.09,11.02,0.09,0.00,0.00,0.00
44,Jeremy Ruckert,NYJ,ARI,-,-,,1.49,1.07,11.29,0.06,0.00,0.00,0.00
45,Tommy Tremble,CAR,NYG,-,-,,1.43,1.01,10.70,0.06,0.00,0.00,0.00
46,Kylen Granson,IND,BUF,-,-,,1.36,0.98,10.00,0.06,0.00,0.00,0.00
47,Johnny Mundt,MIN,JAX,-,-,,1.35,0.96,9.85,0.06,0.00,0.00,0.00
48,Jared Wiley,KC,DEN,-,-,,1.27,0.79,8.48,0.07,0.00,0.00,0.00
49,Darnell Washington,PIT,WAS,-,-,,1.23,0.85,8.70,0.06,0.00,0.00,0.00
50,Elijah Higgins,ARI,NYJ,-,-,,1.22,0.84,8.59,0.06,0.00,0.00,0.00
51,Robert Tonyan,MIN,JAX,-,-,,1.20,0.83,8.44,0.06,0.00,0.00,0.00
52,Peyton Hendershot,DAL,PHI,-,-,,1.19,0.83,8.32,0.06,0.00,0.00,0.00
53,Davis Allen,LAR,MIA,-,-,,1.19,0.82,8.28,0.06,0.00,0.00,0.00
54,Lucas Krull,DEN,KC,-,-,,1.18,0.82,8.75,0.05,0.00,0.00,0.00
55,Brenton Strange,JAX,MIN,-,-,,1.18,0.81,8.15,0.06,0.00,0.00,0.00
56,Payne Durham,TB,SF,-,-,,1.14,0.77,7.79,0.06,0.00,0.00,0.00
57,Dallin Holker,NO,ATL,-,-,,1.12,0.74,7.64,0.06,0.00,0.00,0.00
58,Devin Culp,TB,SF,-,-,,1.12,0.73,7.61,0.06,0.00,0.00,0.00
59,Drew Sample,CIN,BAL,-,-,,1.11,0.72,7.53,0.06,0.00,0.00,0.00
60,Tanner McLachlan,CIN,BAL,-,-,,1.10,0.72,7.35,0.06,0.00,0.00,0.00
61,Adam Trautman,DEN,KC,-,-,,1.10,0.74,7.41,0.06,0.00,0.00,0.00
62,Tip Reiman,ARI,NYJ,-,-,,1.09,0.72,7.26,0.06,0.00,0.00,0.00
63,Irv Smith,KC,DEN,-,-,,1.07,0.67,7.07,0.06,0.00,0.00,0.00
64,Daniel Bellinger,NYG,CAR,-,-,,1.03,0.70,7.27,0.05,0.00,0.00,0.00
65,Foster Moreau,NO,ATL,-,-,,1.00,0.61,6.38,0.06,0.00,0.00,0.00
66,Brock Wright,DET,HOU,-,-,,0.98,0.63,6.24,0.06,0.00,0.00,0.00
