,,,Week 8 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,LV,-,-,,8.77,5.54,58.61,0.48,0.07,0.28,0.00
2,Sam LaPorta,DET,TEN,-,-,,8.65,5.57,57.73,0.48,0.00,0.00,0.00
3,George Kittle,SF,DAL,-,-,,7.89,4.08,55.74,0.38,0.06,0.31,0.00
4,Mark Andrews,BAL,CLE,-,-,,7.61,4.03,50.92,0.42,0.00,0.00,0.00
5,Dalton Kincaid,BUF,SEA,-,-,,6.79,4.75,49.31,0.31,0.00,0.00,0.00
6,Trey McBride,ARI,MIA,-,-,,6.43,4.57,46.85,0.29,0.00,0.00,0.00
7,Kyle Pitts,ATL,TB,-,-,,6.43,3.82,47.49,0.28,0.00,0.00,0.00
8,Taysom Hill,NO,LAC,-,-,,5.88,1.34,13.81,0.12,4.89,21.02,0.24
9,Dalton Schultz,HOU,IND,-,-,,5.68,3.64,38.23,0.31,0.00,0.00,0.00
10,David Njoku,CLE,BAL,-,-,,5.64,3.68,39.64,0.28,0.00,0.00,0.00
11,Jake Ferguson,DAL,SF,-,-,,5.46,3.67,38.36,0.27,0.00,0.00,0.00
12,Evan Engram,JAX,GB,-,-,,5.35,4.11,39.70,0.23,0.00,0.00,0.00
13,Dallas Goedert,PHI,CIN,-,-,,5.16,3.62,38.95,0.21,0.00,0.00,0.00
14,Brock Bowers,LV,KC,-,-,,5.03,3.17,35.32,0.25,0.00,0.00,0.00
15,T.J. Hockenson,MIN,LAR,-,-,,5.00,3.47,35.60,0.24,0.00,0.00,0.00
16,Pat Freiermuth,PIT,NYG,-,-,,4.97,3.36,35.25,0.24,0.00,0.00,0.00
17,Cole Kmet,CHI,WAS,-,-,,4.86,3.28,33.60,0.25,0.00,0.00,0.00
18,Cade Otton,TB,ATL,-,-,,3.95,2.68,26.92,0.21,0.00,0.00,0.00
19,Luke Musgrave,GB,JAX,-,-,,3.89,2.38,27.45,0.19,0.00,0.00,0.00
20,Ben Sinnott,WAS,CHI,-,-,,3.64,2.38,24.95,0.19,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,DET,-,-,,3.56,2.41,24.52,0.18,0.06,0.24,0.00
22,Tucker Kraft,GB,JAX,-,-,,3.25,2.08,21.73,0.18,0.00,0.00,0.00
23,Juwan Johnson,NO,LAC,-,-,,3.07,1.83,20.54,0.17,0.00,0.00,0.00
24,Isaiah Likely,BAL,CLE,-,-,,3.06,1.90,21.02,0.16,0.00,0.00,0.00
25,Dawson Knox,BUF,SEA,-,-,,3.02,1.77,19.39,0.18,0.00,0.00,0.00
26,Ja'Tavion Sanders,CAR,DEN,-,-,,3.01,1.79,19.90,0.17,0.00,0.00,0.00
27,Tyler Conklin,NYJ,NE,-,-,,2.96,2.18,21.75,0.13,0.00,0.00,0.00
28,Colby Parkinson,LAR,MIN,-,-,,2.92,1.82,19.62,0.16,0.00,0.00,0.00
29,Hunter Henry,NE,NYJ,-,-,,2.81,1.95,19.69,0.14,0.00,0.00,0.00
30,Noah Fant,SEA,BUF,-,-,,2.80,2.05,20.77,0.12,0.00,0.00,0.00
31,Michael Mayer,LV,KC,-,-,,2.66,1.77,18.78,0.13,0.00,0.00,0.00
32,Gerald Everett,CHI,WAS,-,-,,2.62,1.75,17.79,0.14,0.00,0.00,0.00
33,Theo Johnson,NYG,PIT,-,-,,2.55,1.63,17.13,0.14,0.00,0.00,0.00
34,Noah Gray,KC,LV,-,-,,2.40,1.52,16.24,0.13,0.00,0.00,0.00
35,Durham Smythe,MIA,ARI,-,-,,2.32,1.40,14.17,0.15,0.00,0.00,0.00
36,Will Mallory,IND,HOU,-,-,,2.27,1.58,16.68,0.10,0.00,0.00,0.00
37,Tanner Hudson,CIN,PHI,-,-,,2.27,1.48,14.88,0.13,0.00,0.00,0.00
38,Mike Gesicki,CIN,PHI,-,-,,2.22,1.43,15.62,0.11,0.00,0.00,0.00
39,Jelani Woods,IND,HOU,-,-,,2.21,1.38,15.52,0.11,0.00,0.00,0.00
40,Tyler Higbee,LAR,MIN,-,-,,2.15,1.36,14.30,0.12,0.00,0.00,0.00
41,Cade Stover,HOU,IND,-,-,,2.14,1.45,15.35,0.10,0.00,0.00,0.00
42,Jaheim Bell,NE,NYJ,-,-,,2.03,1.24,13.66,0.11,0.00,0.00,0.00
43,Greg Dulcich,DEN,CAR,-,-,,2.01,1.42,14.70,0.09,0.00,0.00,0.00
44,Hayden Hurst,LAC,NO,-,-,,1.99,1.35,13.86,0.10,0.00,0.00,0.00
45,Josh Whyle,TEN,DET,-,-,,1.99,1.29,13.27,0.11,0.00,0.00,0.00
46,Brevin Jordan,HOU,IND,-,-,,1.96,1.30,13.62,0.10,0.00,0.00,0.00
47,Zach Ertz,WAS,CHI,-,-,,1.87,1.47,13.90,0.08,0.00,0.00,0.00
48,Jonnu Smith,MIA,ARI,-,-,,1.76,1.15,11.64,0.10,0.00,0.00,0.00
49,Donald Parham,LAC,NO,-,-,,1.68,0.90,9.58,0.12,0.00,0.00,0.00
50,Jeremy Ruckert,NYJ,NE,-,-,,1.46,1.04,10.95,0.06,0.00,0.00,0.00
51,Tommy Tremble,CAR,DEN,-,-,,1.41,0.99,10.50,0.06,0.00,0.00,0.00
52,Kylen Granson,IND,HOU,-,-,,1.36,0.98,9.96,0.06,0.00,0.00,0.00
53,Johnny Mundt,MIN,LAR,-,-,,1.35,0.96,9.89,0.06,0.00,0.00,0.00
