,,,Week 5 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,ARI,-,-,,17.23,15.10,79.50,0.71,4.39,34.64,0.26
2,Breece Hall,NYJ,MIN,-,-,,13.78,15.70,73.05,0.54,3.39,25.13,0.12
3,Bijan Robinson,ATL,TB,-,-,,12.48,14.90,68.08,0.49,2.85,21.27,0.10
4,Jonathan Taylor,IND,JAX,-,-,,12.37,15.60,71.15,0.58,1.86,14.16,0.06
5,Isiah Pacheco,KC,NO,-,-,,11.67,12.90,61.98,0.48,2.53,18.69,0.12
6,Kyren Williams,LAR,GB,-,-,,11.67,13.70,63.26,0.53,2.34,17.42,0.07
7,Derrick Henry,BAL,CIN,-,-,,11.67,14.40,66.94,0.63,1.15,8.33,0.06
8,Josh Jacobs,GB,LAR,-,-,,11.24,14.10,63.70,0.49,2.16,15.73,0.06
9,Travis Etienne,JAX,IND,-,-,,10.90,14.20,60.92,0.41,2.65,19.91,0.06
10,De'Von Achane,MIA,NE,-,-,,10.15,9.90,52.95,0.40,2.39,18.52,0.10
11,Rachaad White,TB,ATL,-,-,,10.12,13.20,52.31,0.36,2.80,20.73,0.11
12,Kenneth Walker,SEA,NYG,-,-,,9.90,13.60,57.61,0.42,1.72,12.54,0.06
13,James Cook,BUF,HOU,-,-,,9.75,11.90,53.70,0.30,2.41,18.58,0.12
14,Joe Mixon,HOU,BUF,-,-,,9.52,12.70,54.50,0.35,2.21,16.13,0.06
15,Aaron Jones,MIN,NYJ,-,-,,9.18,11.90,49.60,0.34,2.05,15.21,0.11
16,Nick Chubb,CLE,WAS,-,-,,9.18,11.80,53.70,0.46,0.89,6.94,0.06
17,Najee Harris,PIT,DAL,-,-,,9.07,13.30,53.19,0.38,1.52,11.08,0.06
18,D'Andre Swift,CHI,CAR,-,-,,8.93,11.20,47.97,0.36,2.20,16.09,0.06
19,Rhamondre Stevenson,NE,MIA,-,-,,8.83,12.60,50.82,0.34,1.82,13.43,0.06
20,Devin Singletary,NYG,SEA,-,-,,8.83,13.50,52.97,0.29,2.02,14.36,0.06
21,James Conner,ARI,SF,-,-,,8.74,12.00,48.23,0.38,1.80,13.39,0.05
22,Zamir White,LV,DEN,-,-,,8.67,12.80,50.60,0.35,1.58,11.49,0.06
23,Javonte Williams,DEN,LV,-,-,,8.49,12.30,50.74,0.29,1.83,13.18,0.06
24,Raheem Mostert,MIA,NE,-,-,,8.37,9.80,45.82,0.39,1.52,10.90,0.06
25,Ezekiel Elliott,DAL,PIT,-,-,,8.08,10.60,42.76,0.37,1.68,12.21,0.06
26,Zack Moss,CIN,BAL,-,-,,8.04,10.20,43.12,0.34,1.83,13.30,0.06
27,Alvin Kamara,NO,KC,-,-,,7.89,10.10,38.25,0.21,2.99,22.08,0.10
28,Jonathon Brooks,CAR,CHI,-,-,,7.73,10.60,42.26,0.29,1.88,14.08,0.06
29,Jaylen Warren,PIT,DAL,-,-,,7.56,9.10,38.53,0.22,2.34,17.24,0.11
30,Chase Brown,CIN,BAL,-,-,,7.25,8.90,37.92,0.24,2.17,16.56,0.06
31,Brian Robinson,WAS,CLE,-,-,,7.00,10.40,39.92,0.30,1.23,9.06,0.05
32,Austin Ekeler,WAS,CLE,-,-,,6.98,7.70,31.06,0.23,2.41,18.30,0.11
33,Zach Charbonnet,SEA,NYG,-,-,,6.70,8.10,34.32,0.25,1.91,14.09,0.06
34,Jerome Ford,CLE,WAS,-,-,,6.16,6.80,28.86,0.24,2.04,14.75,0.06
35,Chuba Hubbard,CAR,CHI,-,-,,5.76,8.50,32.12,0.22,1.22,8.67,0.06
36,Blake Corum,LAR,GB,-,-,,5.67,6.50,29.86,0.24,1.20,8.88,0.06
37,Trey Benson,ARI,SF,-,-,,5.40,7.60,29.62,0.22,1.13,8.15,0.05
38,Tyler Allgeier,ATL,TB,-,-,,5.20,7.30,31.41,0.16,1.05,7.39,0.06
39,Jaleel McLaughlin,DEN,LV,-,-,,5.06,6.50,27.72,0.17,1.25,9.03,0.06
40,Ty Chandler,MIN,NYJ,-,-,,4.83,6.70,26.26,0.16,1.25,9.43,0.05
41,Khalil Herbert,CHI,CAR,-,-,,4.71,6.30,27.37,0.19,0.63,4.76,0.06
42,Kendre Miller,NO,KC,-,-,,4.46,6.00,23.00,0.18,1.00,7.21,0.06
43,Rico Dowdle,DAL,PIT,-,-,,4.42,5.90,24.00,0.15,1.13,8.20,0.05
44,Antonio Gibson,NE,MIA,-,-,,4.38,4.90,19.02,0.11,1.96,14.59,0.06
45,Elijah Mitchell,SF,ARI,-,-,,4.25,5.20,25.99,0.19,0.67,5.13,0.00
46,Dameon Pierce,HOU,BUF,-,-,,4.15,6.20,26.40,0.18,0.57,4.27,0.00
