,,,Week 13 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,LV,-,-,,8.85,5.56,58.85,0.49,0.07,0.28,0.00
2,Sam LaPorta,DET,CHI,-,-,,8.68,5.60,57.97,0.48,0.00,0.00,0.00
3,Mark Andrews,BAL,PHI,-,-,,7.91,4.17,52.70,0.44,0.00,0.00,0.00
4,George Kittle,SF,BUF,-,-,,7.58,3.95,53.90,0.36,0.06,0.30,0.00
5,Kyle Pitts,ATL,LAC,-,-,,6.83,4.04,50.26,0.30,0.00,0.00,0.00
6,Trey McBride,ARI,MIN,-,-,,6.55,4.70,48.13,0.29,0.00,0.00,0.00
7,Dalton Kincaid,BUF,SF,-,-,,6.54,4.57,47.43,0.30,0.00,0.00,0.00
8,Taysom Hill,NO,LAR,-,-,,6.14,1.39,14.32,0.13,5.07,21.79,0.25
9,Jake Ferguson,DAL,NYG,-,-,,6.04,4.05,42.37,0.30,0.00,0.00,0.00
10,David Njoku,CLE,DEN,-,-,,5.72,3.75,40.35,0.28,0.00,0.00,0.00
11,Evan Engram,JAX,HOU,-,-,,5.46,4.22,40.76,0.23,0.00,0.00,0.00
12,Dalton Schultz,HOU,JAX,-,-,,5.37,3.46,36.33,0.29,0.00,0.00,0.00
13,T.J. Hockenson,MIN,ARI,-,-,,5.22,3.63,37.22,0.25,0.00,0.00,0.00
14,Dallas Goedert,PHI,BAL,-,-,,5.09,3.55,38.26,0.21,0.00,0.00,0.00
15,Brock Bowers,LV,KC,-,-,,4.86,3.07,34.20,0.24,0.00,0.00,0.00
16,Cole Kmet,CHI,DET,-,-,,4.85,3.26,33.45,0.25,0.00,0.00,0.00
17,Pat Freiermuth,PIT,CIN,-,-,,4.69,3.16,33.10,0.23,0.00,0.00,0.00
18,Luke Musgrave,GB,MIA,-,-,,4.05,2.47,28.52,0.20,0.00,0.00,0.00
19,Cade Otton,TB,CAR,-,-,,3.94,2.66,26.80,0.21,0.00,0.00,0.00
20,Ben Sinnott,WAS,TEN,-,-,,3.82,2.50,26.19,0.20,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,WAS,-,-,,3.74,2.53,25.77,0.19,0.06,0.25,0.00
22,Tucker Kraft,GB,MIA,-,-,,3.40,2.16,22.58,0.19,0.00,0.00,0.00
23,Juwan Johnson,NO,LAR,-,-,,3.21,1.90,21.29,0.18,0.00,0.00,0.00
24,Isaiah Likely,BAL,PHI,-,-,,3.20,1.97,21.75,0.17,0.00,0.00,0.00
25,Tyler Conklin,NYJ,SEA,-,-,,3.11,2.27,22.70,0.14,0.00,0.00,0.00
