,,,Week 2 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,CIN,KC,-3.5,47.5,24.67,25.08,35.40,70.8,280.15,2.10,0.76,4.10,22.45,0.13
2,Josh Allen,BUF,MIA,MIA,2,50.5,24.39,21.83,32.90,66.4,243.31,1.63,0.84,6.50,33.06,0.54
3,Jalen Hurts,PHI,ATL,PHI,-4.0,47.5,24.30,20.00,29.00,69.0,223.80,1.42,0.68,8.90,40.27,0.68
4,Lamar Jackson,BAL,LV,BAL,-8.0,43.5,23.66,18.89,27.30,69.2,217.78,1.55,0.62,8.90,52.12,0.33
5,C.J. Stroud,HOU,CHI,HOU,-3.5,46.5,22.63,22.90,34.10,67.2,267.37,2.02,0.73,2.70,11.90,0.12
6,Dak Prescott,DAL,NO,DAL,-6.5,44.5,21.74,23.43,33.10,70.8,253.67,1.89,0.69,3.20,14.05,0.13
7,Anthony Richardson,IND,GB,GB,5,47.0,20.94,16.81,28.10,59.8,190.82,1.08,0.68,10.00,45.82,0.53
8,Joe Burrow,CIN,KC,KC,3.5,47.5,20.93,23.72,35.60,66.6,249.99,1.83,0.71,3.20,10.96,0.12
9,Jared Goff,DET,TB,DET,-6.5,48.5,20.80,23.87,33.60,71.0,267.76,1.85,0.70,1.50,3.56,0.06
10,Jordan Love,GB,IND,GB,-5.0,47.0,20.80,21.80,31.90,68.3,243.89,1.74,0.75,2.60,13.19,0.18
11,Brock Purdy,SF,MIN,SF,-7.0,45.5,20.70,20.46,28.60,71.5,245.02,1.83,0.67,2.30,10.20,0.13
12,Kyler Murray,ARI,LAR,LAR,2,48.0,20.11,20.03,30.90,64.8,219.45,1.27,0.69,5.50,31.29,0.27
13,Tua Tagovailoa,MIA,BUF,MIA,-2.0,50.5,20.10,22.09,30.80,71.7,256.07,1.81,0.75,1.90,4.46,0.06
