,,,Week 2 Game,,,,Fantasy,Passing,,,,,,Rushing,,
14,Trevor Lawrence,JAX,CLE,JAX,-2.0,44.5,19.72,21.81,32.90,66.3,231.85,1.48,0.77,4.10,18.94,0.18
15,Justin Herbert,LAC,CAR,LAC,-3.5,42.0,19.52,21.52,32.70,65.8,232.88,1.55,0.65,3.20,12.49,0.18
16,Matthew Stafford,LAR,ARI,LAR,-2.0,48.0,19.46,22.25,33.10,67.2,249.67,1.77,0.86,0.90,3.98,0.06
17,Caleb Williams,CHI,HOU,HOU,3.5,46.5,18.77,19.99,32.10,62.3,222.47,1.44,0.81,4.00,16.80,0.17
18,Jayden Daniels,WAS,NYG,WAS,-2.5,41.5,18.66,17.49,29.10,60.1,195.49,1.15,0.81,5.80,30.51,0.34
19,Aaron Rodgers,NYJ,TEN,NYJ,-4.0,43.5,18.56,21.10,32.10,65.7,233.57,1.62,0.54,1.90,5.80,0.06
20,Deshaun Watson,CLE,JAX,JAX,2,44.5,17.49,17.59,28.90,60.9,193.56,1.25,0.74,4.50,22.30,0.22
21,Geno Smith,SEA,NE,SEA,-3.0,41.0,17.46,20.03,31.30,64.0,219.06,1.39,0.64,2.10,8.70,0.12
22,Kirk Cousins,ATL,PHI,PHI,4,47.5,17.28,21.14,31.90,66.3,226.12,1.47,0.68,1.70,4.18,0.06
23,Baker Mayfield,TB,DET,DET,6.5,48.5,17.16,19.63,31.40,62.5,213.26,1.36,0.68,3.20,10.74,0.11
24,Will Levis,TEN,NYJ,NYJ,4,43.5,16.84,18.86,32.40,58.2,213.22,1.34,0.78,2.80,9.34,0.11
25,Russell Wilson,PIT,DEN,PIT,-2.5,40.5,15.90,17.12,27.30,62.7,185.05,1.15,0.64,4.30,19.12,0.13
26,Drake Maye,NE,SEA,SEA,3,41.0,15.61,17.20,29.70,57.9,186.48,1.11,0.72,3.60,15.49,0.17
27,Derek Carr,NO,DAL,DAL,6.5,44.5,14.93,19.43,31.20,62.3,200.32,1.21,0.60,1.80,3.69,0.05
28,Bryce Young,CAR,LAC,LAC,3.5,42.0,14.91,17.51,30.90,56.7,191.17,1.05,0.77,2.90,12.61,0.11
29,Gardner Minshew,LV,BAL,BAL,8,43.5,14.70,19.14,32.50,58.9,199.51,1.08,0.72,1.80,6.48,0.08
30,Sam Darnold,MIN,SF,SF,7,45.5,14.57,17.24,29.40,58.6,191.00,1.13,0.79,1.60,5.10,0.13
31,Daniel Jones,NYG,WAS,WAS,2.5,41.5,14.41,15.21,24.90,61.1,162.23,0.89,0.50,4.90,22.77,0.16
32,Bo Nix,DEN,PIT,PIT,2.5,40.5,12.89,14.31,23.80,60.1,148.36,0.86,0.57,4.20,17.61,0.14
33,Aidan O'Connell,LV,BAL,BAL,8,43.5,5.53,7.64,13.40,57.0,81.42,0.45,0.36,0.10,0.19,0.00
34,Logan Woodside,CIN,KC,KC,3.5,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,PHI,PHI,4,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,NE,SEA,-3.0,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,PIT,PIT,2.5,40.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,TB,DET,-6.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,DET,DET,6.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,CHI,HOU,-3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,HOU,HOU,3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,TEN,NYJ,-4.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,ATL,PHI,-4.0,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,LAC,LAC,3.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,WAS,WAS,2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,NO,DAL,-6.5,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,LV,BAL,-8.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,MIN,SF,-7.0,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,NYJ,NYJ,4,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,CIN,KC,-3.5,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,CAR,LAC,-3.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,TEN,NYJ,-4.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Skylar Thompson,MIA,BUF,MIA,-2.0,50.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Luis Perez,LAC,CAR,LAC,-3.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Mitch Trubisky,BUF,MIA,MIA,2,50.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Nathan Peterman,LV,BAL,BAL,8,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Mike White,MIA,BUF,MIA,-2.0,50.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,John Rhys Plumlee,PIT,DEN,PIT,-2.5,40.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
59,Jameis Winston,CLE,JAX,JAX,2,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
60,Michael Pratt,GB,IND,GB,-5.0,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
61,Sam Howell,SEA,NE,SEA,-3.0,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
62,Austin Reed,CHI,HOU,HOU,3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
63,Hendon Hooker,DET,TB,DET,-6.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
64,Josh Johnson,BAL,LV,BAL,-8.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
65,Tyler Huntley,CLE,JAX,JAX,2,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
66,Kyle Allen,PIT,DEN,PIT,-2.5,40.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
67,Mac Jones,JAX,CLE,JAX,-2.0,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
68,Brandon Allen,SF,MIN,SF,-7.0,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
69,Case Keenum,HOU,CHI,HOU,-3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
70,Tyson Bagent,CHI,HOU,HOU,3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
71,Devin Leary,BAL,LV,BAL,-8.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
72,Jason Bean,IND,GB,GB,5,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
73,Rocky Lombardi,CIN,KC,KC,3.5,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
74,C.J. Beathard,JAX,CLE,JAX,-2.0,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
75,Marcus Mariota,WAS,NYG,WAS,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
76,Stetson Bennett,LAR,ARI,LAR,-2.0,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
77,J.J. McCarthy,MIN,SF,SF,7,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
78,Ian Book,KC,CIN,KC,-3.5,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
79,Trace McSorley,WAS,NYG,WAS,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
80,Tim Boyle,HOU,CHI,HOU,-3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
81,Joe Milton,NE,SEA,SEA,3,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
82,Carter Bradley,LV,BAL,BAL,8,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
83,Nick Mullens,MIN,SF,SF,7,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
84,Jacoby Brissett,NE,SEA,SEA,3,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
85,John Paddock,ATL,PHI,PHI,4,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
86,Anthony Brown,BUF,MIA,MIA,2,50.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
87,Michael Penix,ATL,PHI,PHI,4,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
88,Jake Browning,CIN,KC,KC,3.5,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
89,E.J. Perry,JAX,CLE,JAX,-2.0,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
90,Shane Buechele,BUF,MIA,MIA,2,50.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
91,Kenny Pickett,PHI,ATL,PHI,-4.0,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
92,Sean Clifford,GB,IND,GB,-5.0,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
93,Jack Plummer,CAR,LAC,LAC,3.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
94,Matt Corral,MIN,SF,SF,7,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
95,Spencer Rattler,NO,DAL,DAL,6.5,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
96,Andy Dalton,CAR,LAC,LAC,3.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
97,Desmond Ridder,ARI,LAR,LAR,2,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
98,Tommy DeVito,NYG,WAS,WAS,2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
99,Cooper Rush,DAL,NO,DAL,-6.5,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
100,Ben DiNucci,BUF,MIA,MIA,2,50.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
101,Kedon Slovis,IND,GB,GB,5,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
102,Joshua Dobbs,SF,MIN,SF,-7.0,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
103,Jarrett Stidham,DEN,PIT,PIT,2.5,40.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
104,Jeff Driskel,WAS,NYG,WAS,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
105,Tyrod Taylor,NYJ,TEN,NYJ,-4.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
106,Sam Ehlinger,IND,GB,GB,5,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
107,Dorian Thompson-Robinson,CLE,JAX,JAX,2,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
108,Justin Fields,PIT,DEN,PIT,-2.5,40.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
109,Jordan Travis,NYJ,TEN,NYJ,-4.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
110,Joe Flacco,IND,GB,GB,5,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
111,Clayton Tune,ARI,LAR,LAR,2,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
112,Jake Fromm,DET,TB,DET,-6.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
113,Carson Wentz,KC,CIN,KC,-3.5,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
114,Jimmy Garoppolo,LAR,ARI,LAR,-2.0,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
115,Malik Willis,TEN,NYJ,NYJ,4,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
116,Will Grier,PHI,ATL,PHI,-4.0,47.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
117,Dresser Winn,LAR,ARI,LAR,-2.0,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
118,Jake Haener,NO,DAL,DAL,6.5,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
119,John Wolford,TB,DET,DET,6.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
120,Jaren Hall,MIN,SF,SF,7,45.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
121,Bailey Zappe,NE,SEA,SEA,3,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
122,Sam Hartman,WAS,NYG,WAS,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
