,,,Week 6 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,SEA,-,-,,16.54,15.10,76.32,0.68,4.21,33.25,0.25
2,Breece Hall,NYJ,BUF,-,-,,13.82,15.70,73.36,0.54,3.40,25.23,0.12
3,Derrick Henry,BAL,WAS,-,-,,12.60,14.40,72.56,0.68,1.25,9.03,0.06
4,Jonathan Taylor,IND,TEN,-,-,,12.55,15.60,72.10,0.59,1.88,14.35,0.06
5,Bijan Robinson,ATL,CAR,-,-,,12.48,14.90,68.08,0.49,2.85,21.27,0.10
6,Saquon Barkley,PHI,CLE,-,-,,12.26,15.40,70.07,0.42,2.63,19.51,0.13
7,Josh Jacobs,GB,ARI,-,-,,11.67,14.10,66.19,0.51,2.24,16.34,0.06
8,Jahmyr Gibbs,DET,DAL,-,-,,11.41,11.70,56.66,0.44,3.20,23.85,0.12
9,Travis Etienne,JAX,CHI,-,-,,10.84,14.20,60.41,0.41,2.63,19.74,0.06
10,Rachaad White,TB,NO,-,-,,10.12,13.20,52.31,0.36,2.80,20.73,0.11
11,David Montgomery,DET,DAL,-,-,,9.75,11.90,53.90,0.53,1.20,8.76,0.05
12,James Cook,BUF,NYJ,-,-,,9.66,11.90,53.46,0.29,2.40,18.50,0.12
13,Kenneth Walker,SEA,SF,-,-,,9.41,13.60,55.10,0.40,1.65,11.99,0.05
14,Joe Mixon,HOU,NE,-,-,,9.40,12.70,54.03,0.34,2.19,15.99,0.06
15,Najee Harris,PIT,LV,-,-,,9.22,13.30,53.92,0.39,1.54,11.23,0.06
16,James Conner,ARI,GB,-,-,,9.16,12.00,50.06,0.40,1.86,13.89,0.06
17,Devin Singletary,NYG,CIN,-,-,,8.96,13.50,53.46,0.30,2.04,14.49,0.06
18,Nick Chubb,CLE,PHI,-,-,,8.91,11.80,51.83,0.45,0.86,6.70,0.06
19,D'Andre Swift,CHI,JAX,-,-,,8.81,11.20,47.56,0.35,2.18,15.95,0.06
20,Zamir White,LV,PIT,-,-,,8.73,12.80,51.07,0.35,1.60,11.59,0.06
21,Rhamondre Stevenson,NE,HOU,-,-,,8.71,12.60,50.35,0.33,1.80,13.31,0.06
22,Alvin Kamara,NO,TB,-,-,,8.53,10.10,41.18,0.23,3.22,23.76,0.11
23,Gus Edwards,LAC,DEN,-,-,,8.50,11.60,49.48,0.41,1.00,7.35,0.06
24,Javonte Williams,DEN,LAC,-,-,,8.37,12.30,50.28,0.29,1.81,13.06,0.05
25,Ezekiel Elliott,DAL,DET,-,-,,8.36,10.60,44.47,0.38,1.75,12.70,0.06
26,Tony Pollard,TEN,IND,-,-,,8.27,11.80,49.77,0.28,1.80,13.16,0.05
27,Zack Moss,CIN,NYG,-,-,,8.18,10.20,43.68,0.35,1.86,13.47,0.06
28,Jonathon Brooks,CAR,ATL,-,-,,8.01,10.60,43.87,0.30,1.95,14.62,0.06
29,Jaylen Warren,PIT,LV,-,-,,7.63,9.10,39.06,0.22,2.37,17.47,0.11
30,Tyjae Spears,TEN,IND,-,-,,7.47,8.30,35.00,0.21,2.64,19.32,0.13
31,Chase Brown,CIN,NYG,-,-,,7.32,8.90,38.41,0.24,2.20,16.77,0.06
32,Austin Ekeler,WAS,BAL,-,-,,6.89,7.70,30.49,0.23,2.36,17.96,0.11
33,Brian Robinson,WAS,BAL,-,-,,6.85,10.40,39.19,0.29,1.21,8.90,0.05
34,Zach Charbonnet,SEA,SF,-,-,,6.43,8.10,32.82,0.24,1.82,13.47,0.06
35,Jerome Ford,CLE,PHI,-,-,,5.95,6.80,27.85,0.23,1.97,14.23,0.06
36,Chuba Hubbard,CAR,ATL,-,-,,5.92,8.50,33.35,0.22,1.26,9.01,0.06
