,,,Week 12 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,NE,-,-,,13.24,6.94,96.59,0.56,0.31,2.23,0.00
2,CeeDee Lamb,DAL,WAS,-,-,,12.60,7.00,88.54,0.49,0.73,4.50,0.06
3,A.J. Brown,PHI,LAR,-,-,,11.05,5.36,80.71,0.49,0.06,0.37,0.00
4,Justin Jefferson,MIN,CHI,-,-,,10.81,6.09,82.81,0.41,0.12,0.70,0.00
5,Amon-Ra St. Brown,DET,IND,-,-,,10.68,6.81,78.78,0.43,0.37,2.21,0.00
6,Puka Nacua,LAR,PHI,-,-,,10.40,5.66,75.70,0.43,0.49,2.52,0.00
7,Deebo Samuel,SF,GB,-,-,,10.00,3.84,53.87,0.35,2.42,14.34,0.18
8,Nico Collins,HOU,TEN,-,-,,9.91,4.89,72.11,0.44,0.13,0.63,0.00
9,Brandon Aiyuk,SF,GB,-,-,,9.40,4.64,67.89,0.43,0.06,0.31,0.00
10,DK Metcalf,SEA,ARI,-,-,,9.26,4.45,64.12,0.47,0.06,0.30,0.00
11,Jaylen Waddle,MIA,NE,-,-,,9.25,5.07,69.12,0.37,0.18,1.16,0.00
12,Mike Evans,TB,NYG,-,-,,9.23,4.26,64.41,0.46,0.06,0.29,0.00
13,Marvin Harrison,ARI,SEA,-,-,,9.13,4.70,66.26,0.41,0.06,0.41,0.00
14,Amari Cooper,CLE,PIT,-,-,,9.12,4.45,65.68,0.42,0.06,0.30,0.00
15,Cooper Kupp,LAR,PHI,-,-,,8.93,5.30,63.21,0.41,0.24,1.53,0.00
16,DJ Moore,CHI,MIN,-,-,,8.84,4.61,62.37,0.41,0.24,1.42,0.00
17,Stefon Diggs,HOU,TEN,-,-,,8.71,5.10,61.63,0.42,0.06,0.30,0.00
18,Tank Dell,HOU,TEN,-,-,,8.65,4.79,60.78,0.36,0.72,4.07,0.00
19,Davante Adams,LV,DEN,-,-,,8.55,5.37,64.19,0.35,0.06,0.30,0.00
20,DeVonta Smith,PHI,LAR,-,-,,8.41,5.08,62.17,0.36,0.06,0.36,0.00
21,Malik Nabers,NYG,TB,-,-,,8.16,4.40,59.69,0.35,0.12,0.87,0.00
22,Jordan Addison,MIN,CHI,-,-,,8.13,4.19,58.02,0.37,0.18,1.11,0.00
23,Zay Flowers,BAL,LAC,-,-,,8.13,4.92,56.56,0.36,0.49,3.09,0.00
24,George Pickens,PIT,CLE,-,-,,8.10,3.98,60.08,0.34,0.11,0.56,0.00
25,Rome Odunze,CHI,MIN,-,-,,8.01,4.29,58.07,0.36,0.06,0.42,0.00
26,Keenan Allen,CHI,MIN,-,-,,7.82,5.04,55.95,0.36,0.12,0.66,0.00
27,Michael Pittman,IND,DET,-,-,,7.79,5.32,59.59,0.30,0.06,0.30,0.00
28,Jayden Reed,GB,SF,-,-,,7.73,4.16,51.86,0.29,0.76,4.45,0.06
29,Chris Godwin,TB,NYG,-,-,,7.64,5.10,57.48,0.29,0.23,1.53,0.00
30,Calvin Ridley,TEN,HOU,-,-,,7.56,3.99,53.98,0.33,0.33,1.86,0.00
31,Terry McLaurin,WAS,DAL,-,-,,7.50,4.37,57.81,0.28,0.06,0.34,0.00
32,Xavier Worthy,KC,CAR,-,-,,7.38,3.80,50.90,0.36,0.18,1.31,0.00
33,Rashee Rice,KC,CAR,-,-,,7.33,4.85,52.35,0.34,0.11,0.51,0.00
34,Marquise Brown,KC,CAR,-,-,,7.03,3.65,50.82,0.31,0.19,0.87,0.00
35,Christian Watson,GB,SF,-,-,,6.81,3.32,45.50,0.35,0.29,1.57,0.00
36,DeAndre Hopkins,TEN,HOU,-,-,,6.63,3.94,47.19,0.31,0.12,0.49,0.00
37,Tyler Lockett,SEA,ARI,-,-,,6.50,3.89,46.66,0.30,0.06,0.30,0.00
38,Jaxon Smith-Njigba,SEA,ARI,-,-,,6.41,4.16,44.87,0.31,0.12,0.62,0.00
39,Ladd McConkey,LAC,BAL,-,-,,6.36,3.55,43.21,0.33,0.06,0.61,0.00
40,Jameson Williams,DET,IND,-,-,,6.20,3.09,43.88,0.27,0.33,1.90,0.00
41,Romeo Doubs,GB,SF,-,-,,6.17,3.53,44.00,0.29,0.06,0.29,0.00
42,Dontayvion Wicks,GB,SF,-,-,,6.04,3.04,39.71,0.33,0.20,0.93,0.00
43,Brandin Cooks,DAL,WAS,-,-,,5.98,3.27,40.75,0.30,0.18,1.03,0.00
44,Jerry Jeudy,CLE,PIT,-,-,,5.89,3.28,41.98,0.27,0.11,0.71,0.00
45,Courtland Sutton,DEN,LV,-,-,,5.83,3.21,43.07,0.25,0.05,0.25,0.00
46,Joshua Palmer,LAC,BAL,-,-,,5.67,3.02,37.76,0.31,0.05,0.36,0.00
47,Jakobi Meyers,LV,DEN,-,-,,5.61,3.54,40.06,0.24,0.24,1.24,0.00
48,Ricky Pearsall,SF,GB,-,-,,5.61,3.08,37.08,0.30,0.18,1.03,0.00
49,Xavier Legette,CAR,KC,-,-,,5.49,3.06,39.23,0.24,0.18,1.22,0.00
50,Jahan Dotson,PHI,LAR,-,-,,5.40,3.00,38.90,0.24,0.08,0.65,0.00
51,Josh Downs,IND,DET,-,-,,5.39,3.49,38.92,0.23,0.17,1.22,0.00
52,Troy Franklin,DEN,LV,-,-,,5.26,2.94,36.06,0.27,0.09,0.36,0.00
53,Adonai Mitchell,IND,DET,-,-,,5.25,2.93,38.24,0.23,0.06,0.47,0.00
54,Roman Wilson,PIT,CLE,-,-,,5.24,2.80,37.61,0.22,0.22,1.62,0.00
55,Diontae Johnson,CAR,KC,-,-,,5.10,3.72,39.00,0.19,0.10,0.62,0.00
56,Michael Wilson,ARI,SEA,-,-,,5.10,2.76,36.89,0.23,0.06,0.29,0.00
57,Wan'Dale Robinson,NYG,TB,-,-,,5.08,3.31,33.83,0.23,0.57,3.14,0.00
58,Quentin Johnston,LAC,BAL,-,-,,4.98,2.84,35.63,0.23,0.06,0.35,0.00
59,Ja'Lynn Polk,NE,MIA,-,-,,4.94,2.99,35.45,0.22,0.06,0.78,0.00
60,Marvin Mims,DEN,LV,-,-,,4.88,2.50,34.57,0.21,0.21,1.60,0.00
61,DeMario Douglas,NE,MIA,-,-,,4.87,3.17,34.86,0.20,0.30,1.86,0.00
62,Rashod Bateman,BAL,LAC,-,-,,4.78,2.64,33.67,0.23,0.06,0.29,0.00
63,Devontez Walker,BAL,LAC,-,-,,4.67,2.58,31.72,0.24,0.08,0.56,0.00
64,Adam Thielen,CAR,KC,-,-,,4.46,3.29,32.87,0.19,0.05,0.34,0.00
65,Jalen McMillan,TB,NYG,-,-,,4.45,2.90,30.77,0.21,0.16,1.16,0.00
66,Darius Slayton,NYG,TB,-,-,,4.24,2.21,31.94,0.17,0.06,0.29,0.00
67,Greg Dortch,ARI,SEA,-,-,,4.14,3.03,29.79,0.17,0.28,1.38,0.00
68,Tyler Boyd,TEN,HOU,-,-,,3.95,2.69,28.20,0.18,0.12,0.47,0.00
69,Odell Beckham,MIA,NE,-,-,,3.80,2.10,26.16,0.19,0.06,0.43,0.00
70,Kendrick Bourne,NE,MIA,-,-,,3.70,2.12,26.74,0.16,0.11,0.65,0.00
71,Elijah Moore,CLE,PIT,-,-,,3.63,2.25,24.41,0.18,0.24,1.07,0.00
72,Zay Jones,ARI,SEA,-,-,,3.62,2.16,25.55,0.17,0.11,0.40,0.00
73,Demarcus Robinson,LAR,PHI,-,-,,3.61,1.90,23.61,0.20,0.04,0.44,0.00
74,K.J. Osborn,NE,MIA,-,-,,3.31,1.79,23.21,0.16,0.05,0.33,0.00
75,Javon Baker,NE,MIA,-,-,,3.28,1.92,23.34,0.14,0.14,1.06,0.00
76,DJ Chark,LAC,BAL,-,-,,3.20,1.76,23.23,0.14,0.05,0.32,0.00
77,Jalin Hyatt,NYG,TB,-,-,,3.06,1.52,22.62,0.13,0.07,0.20,0.00
78,Jalen Tolbert,DAL,WAS,-,-,,3.05,1.87,21.72,0.14,0.05,0.33,0.00
79,Tyler Scott,CHI,MIN,-,-,,2.99,1.65,18.71,0.15,0.45,2.18,0.00
80,Tre Tucker,LV,DEN,-,-,,2.88,1.73,18.41,0.14,0.34,2.01,0.00
81,Jake Bobo,SEA,ARI,-,-,,2.81,1.53,18.81,0.15,0.08,0.31,0.00
82,Josh Reynolds,DEN,LV,-,-,,2.78,1.65,20.95,0.11,0.05,0.27,0.00
83,Noah Brown,HOU,TEN,-,-,,2.77,1.34,18.50,0.15,0.07,0.22,0.00
84,Treylon Burks,TEN,HOU,-,-,,2.71,1.48,19.26,0.11,0.26,1.26,0.00
85,Malik Washington,MIA,NE,-,-,,2.65,1.43,18.31,0.11,0.22,1.54,0.00
86,Alec Pierce,IND,DET,-,-,,2.57,1.27,19.42,0.10,0.05,0.25,0.00
87,Cedric Tillman,CLE,PIT,-,-,,2.53,1.33,17.80,0.12,0.06,0.30,0.00
88,Trey Palmer,TB,NYG,-,-,,2.49,1.45,17.87,0.10,0.21,1.04,0.00
89,Van Jefferson,PIT,CLE,-,-,,2.46,1.35,17.31,0.11,0.11,0.68,0.00
90,Jonathan Mingo,CAR,KC,-,-,,2.43,1.44,17.21,0.11,0.04,0.45,0.00
91,Jauan Jennings,SF,GB,-,-,,2.42,1.41,17.24,0.11,0.04,0.38,0.00
92,Kalif Raymond,DET,IND,-,-,,2.37,1.23,15.51,0.10,0.35,2.17,0.00
93,Calvin Austin,PIT,CLE,-,-,,2.15,1.28,13.71,0.09,0.38,2.35,0.00
94,Dyami Brown,WAS,DAL,-,-,,2.14,1.20,14.43,0.11,0.11,0.33,0.00
95,Brenden Rice,LAC,BAL,-,-,,2.09,1.15,14.44,0.10,0.10,0.42,0.00
96,Chris Moore,ARI,SEA,-,-,,2.05,1.08,13.50,0.10,0.20,0.98,0.00
97,Mecole Hardman,KC,CAR,-,-,,2.04,0.97,12.74,0.09,0.35,2.30,0.00
98,Tutu Atwell,LAR,PHI,-,-,,1.93,1.15,14.62,0.06,0.18,1.03,0.00
99,Robert Woods,HOU,TEN,-,-,,1.92,1.25,12.77,0.10,0.10,0.38,0.00
100,Justin Watson,KC,CAR,-,-,,1.90,1.04,13.59,0.09,0.00,0.00,0.00
101,Braxton Berrios,MIA,NE,-,-,,1.90,1.30,12.89,0.09,0.09,0.69,0.00
102,Bo Melton,GB,SF,-,-,,1.78,0.88,11.52,0.10,0.03,0.30,0.00
103,Kadarius Toney,KC,CAR,-,-,,1.75,0.88,10.79,0.06,0.50,3.07,0.00
104,Tim Patrick,DEN,LV,-,-,,1.70,0.97,11.94,0.08,0.05,0.23,0.00
105,David Bell,CLE,PIT,-,-,,1.69,1.10,11.72,0.08,0.08,0.34,0.00
106,Russell Gage,BAL,LAC,-,-,,1.59,0.90,10.23,0.09,0.09,0.27,0.00
107,Xavier Hutchinson,HOU,TEN,-,-,,1.58,0.88,10.98,0.06,0.19,1.19,0.00
108,Brandon Johnson,DEN,LV,-,-,,1.56,0.82,10.23,0.08,0.08,0.58,0.00
109,D.J. Montgomery,IND,DET,-,-,,1.54,0.96,11.47,0.06,0.06,0.36,0.00
110,Donovan Peoples-Jones,DET,IND,-,-,,1.50,0.80,11.12,0.06,0.06,0.25,0.00
111,Nelson Agholor,BAL,LAC,-,-,,1.50,0.80,9.94,0.08,0.08,0.24,0.00
112,Quez Watkins,PIT,CLE,-,-,,1.48,0.78,10.93,0.06,0.06,0.28,0.00
113,Isaiah Hodgins,NYG,TB,-,-,,1.47,0.83,10.89,0.06,0.06,0.24,0.00
114,Rakim Jarrett,TB,NYG,-,-,,1.45,0.82,10.30,0.06,0.12,0.59,0.00
115,KaVontae Turpin,DAL,WAS,-,-,,1.45,0.67,7.52,0.06,0.55,3.40,0.00
116,John Metchie,HOU,TEN,-,-,,1.43,0.88,10.16,0.06,0.06,0.50,0.00
117,Johnny Wilson,PHI,LAR,-,-,,1.42,0.86,10.25,0.06,0.06,0.31,0.00
118,Nick Westbrook-Ikhine,TEN,HOU,-,-,,1.40,0.73,10.17,0.06,0.06,0.23,0.00
