,,,Week 15 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,BUF,-,-,,8.61,5.53,57.25,0.48,0.00,0.00,0.00
2,Travis Kelce,KC,CLE,-,-,,8.59,5.42,57.39,0.47,0.07,0.27,0.00
3,Mark Andrews,BAL,NYG,-,-,,7.91,4.17,52.70,0.44,0.00,0.00,0.00
4,George Kittle,SF,LAR,-,-,,7.91,4.10,55.97,0.38,0.06,0.32,0.00
5,Trey McBride,ARI,NE,-,-,,6.76,4.84,49.63,0.30,0.00,0.00,0.00
6,Dalton Kincaid,BUF,DET,-,-,,6.75,4.71,48.89,0.31,0.00,0.00,0.00
7,Kyle Pitts,ATL,LV,-,-,,6.62,3.92,48.77,0.29,0.00,0.00,0.00
8,Taysom Hill,NO,WAS,-,-,,6.14,1.39,14.32,0.13,5.07,21.79,0.25
9,Jake Ferguson,DAL,CAR,-,-,,5.87,3.95,41.32,0.29,0.00,0.00,0.00
10,Dalton Schultz,HOU,MIA,-,-,,5.68,3.64,38.23,0.31,0.00,0.00,0.00
11,David Njoku,CLE,KC,-,-,,5.61,3.65,39.29,0.28,0.00,0.00,0.00
12,Evan Engram,JAX,NYJ,-,-,,5.35,4.11,39.70,0.23,0.00,0.00,0.00
13,Dallas Goedert,PHI,PIT,-,-,,5.34,3.73,40.16,0.22,0.00,0.00,0.00
14,Brock Bowers,LV,ATL,-,-,,5.11,3.24,36.12,0.25,0.00,0.00,0.00
15,T.J. Hockenson,MIN,CHI,-,-,,5.10,3.57,36.57,0.24,0.00,0.00,0.00
16,Cole Kmet,CHI,MIN,-,-,,4.87,3.29,33.74,0.25,0.00,0.00,0.00
17,Pat Freiermuth,PIT,PHI,-,-,,4.77,3.23,33.87,0.23,0.00,0.00,0.00
18,Luke Musgrave,GB,SEA,-,-,,3.97,2.40,27.68,0.20,0.00,0.00,0.00
19,Cade Otton,TB,LAC,-,-,,3.75,2.53,25.50,0.20,0.00,0.00,0.00
20,Chigoziem Okonkwo,TEN,CIN,-,-,,3.60,2.46,24.97,0.18,0.06,0.24,0.00
21,Ben Sinnott,WAS,NO,-,-,,3.56,2.30,24.16,0.19,0.00,0.00,0.00
22,Tucker Kraft,GB,SEA,-,-,,3.33,2.10,21.92,0.19,0.00,0.00,0.00
23,Juwan Johnson,NO,WAS,-,-,,3.21,1.90,21.29,0.18,0.00,0.00,0.00
24,Isaiah Likely,BAL,NYG,-,-,,3.20,1.97,21.75,0.17,0.00,0.00,0.00
25,Dawson Knox,BUF,DET,-,-,,3.00,1.76,19.23,0.18,0.00,0.00,0.00
26,Ja'Tavion Sanders,CAR,DAL,-,-,,2.97,1.76,19.53,0.17,0.00,0.00,0.00
27,Tyler Conklin,NYJ,JAX,-,-,,2.97,2.20,21.94,0.13,0.00,0.00,0.00
28,Noah Fant,SEA,GB,-,-,,2.90,2.10,21.24,0.13,0.00,0.00,0.00
29,Hunter Henry,NE,ARI,-,-,,2.87,2.02,20.34,0.14,0.00,0.00,0.00
30,Colby Parkinson,LAR,SF,-,-,,2.72,1.69,18.20,0.15,0.00,0.00,0.00
31,Michael Mayer,LV,ATL,-,-,,2.70,1.81,19.20,0.13,0.00,0.00,0.00
32,Gerald Everett,CHI,MIN,-,-,,2.63,1.76,17.87,0.14,0.00,0.00,0.00
33,Theo Johnson,NYG,BAL,-,-,,2.48,1.61,16.96,0.13,0.00,0.00,0.00
34,Will Mallory,IND,DEN,-,-,,2.31,1.62,17.12,0.10,0.00,0.00,0.00
35,Noah Gray,KC,CLE,-,-,,2.31,1.49,15.90,0.12,0.00,0.00,0.00
36,Tanner Hudson,CIN,TEN,-,-,,2.27,1.48,14.88,0.13,0.00,0.00,0.00
37,Jelani Woods,IND,DEN,-,-,,2.25,1.42,15.93,0.11,0.00,0.00,0.00
38,Mike Gesicki,CIN,TEN,-,-,,2.22,1.43,15.62,0.11,0.00,0.00,0.00
39,Durham Smythe,MIA,HOU,-,-,,2.19,1.33,13.47,0.14,0.00,0.00,0.00
40,Cade Stover,HOU,MIA,-,-,,2.14,1.45,15.35,0.10,0.00,0.00,0.00
41,Jaheim Bell,NE,ARI,-,-,,2.07,1.28,14.11,0.11,0.00,0.00,0.00
42,Josh Whyle,TEN,CIN,-,-,,2.01,1.32,13.52,0.11,0.00,0.00,0.00
43,Tyler Higbee,LAR,SF,-,-,,1.99,1.27,13.27,0.11,0.00,0.00,0.00
44,Hayden Hurst,LAC,TB,-,-,,1.97,1.33,13.68,0.10,0.00,0.00,0.00
45,Brevin Jordan,HOU,MIA,-,-,,1.96,1.30,13.62,0.10,0.00,0.00,0.00
46,Greg Dulcich,DEN,IND,-,-,,1.92,1.39,14.37,0.08,0.00,0.00,0.00
47,Zach Ertz,WAS,NO,-,-,,1.83,1.42,13.46,0.08,0.00,0.00,0.00
48,Donald Parham,LAC,TB,-,-,,1.67,0.89,9.45,0.12,0.00,0.00,0.00
49,Jonnu Smith,MIA,HOU,-,-,,1.65,1.09,11.06,0.09,0.00,0.00,0.00
50,Jeremy Ruckert,NYJ,JAX,-,-,,1.47,1.05,11.05,0.06,0.00,0.00,0.00
51,Tommy Tremble,CAR,DAL,-,-,,1.39,0.97,10.31,0.06,0.00,0.00,0.00
52,Johnny Mundt,MIN,CHI,-,-,,1.38,0.99,10.16,0.06,0.00,0.00,0.00
