,,,Week 13 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,LV,-,-,,8.79,1.87,2.12,88.2,3.18,3.31,96.1
2,Brandon Aubrey,DAL,NYG,-,-,,8.69,1.89,2.14,88.3,3.02,3.15,95.9
3,Justin Tucker,BAL,PHI,-,-,,8.65,1.90,2.15,88.4,2.95,3.01,98.0
4,Evan McPherson,CIN,PIT,-,-,,8.23,1.77,2.01,88.1,2.92,3.04,96.1
5,Younghoe Koo,ATL,LAC,-,-,,7.90,1.83,2.08,88.0,2.38,2.45,97.1
6,Greg Zuerlein,NYJ,SEA,-,-,,7.84,1.79,2.10,85.2,2.47,2.59,95.4
7,Jake Moody,SF,BUF,-,-,,7.80,1.64,1.94,84.5,2.91,3.09,94.2
8,Ka'imi Fairbairn,HOU,JAX,-,-,,7.55,1.60,1.89,84.7,2.78,2.90,95.9
9,Cameron Dicker,LAC,ATL,-,-,,7.44,1.70,1.93,88.1,2.34,2.46,95.1
10,Dustin Hopkins,CLE,DEN,-,-,,7.41,1.66,1.96,84.7,2.43,2.55,95.3
11,Tyler Bass,BUF,SF,-,-,,7.32,1.58,1.87,84.5,2.58,2.69,95.9
12,Jason Sanders,MIA,GB,-,-,,7.30,1.53,1.82,84.1,2.71,2.82,96.1
13,Blake Grupe,NO,LAR,-,-,,7.15,1.58,1.87,84.5,2.23,2.34,95.3
14,Matt Gay,IND,NE,-,-,,7.02,1.65,1.95,84.6,2.07,2.19,94.5
15,Jake Elliott,PHI,BAL,-,-,,7.00,1.55,1.78,87.1,2.35,2.46,95.5
16,Jake Bates,DET,CHI,-,-,,7.00,1.42,1.74,81.6,2.77,2.90,95.5
17,Jason Myers,SEA,NYJ,-,-,,6.97,1.54,1.82,84.6,2.17,2.28,95.2
18,Chase McLaughlin,TB,CAR,-,-,,6.97,1.64,1.93,85.0,2.05,2.17,94.5
19,Cairo Santos,CHI,DET,-,-,,6.96,1.60,1.83,87.4,2.19,2.30,95.2
20,Joshua Karty,LAR,NO,-,-,,6.94,1.49,1.84,81.0,2.47,2.59,95.4
21,Matt Prater,ARI,MIN,-,-,,6.92,1.63,1.92,84.9,2.03,2.15,94.4
22,Anders Carlson,GB,MIA,-,-,,6.90,1.48,1.84,80.4,2.49,2.61,95.4
23,Nick Folk,TEN,WAS,-,-,,6.85,1.64,1.93,85.0,1.93,2.05,94.1
24,Daniel Carlson,LV,KC,-,-,,6.82,1.66,1.88,88.3,1.99,2.04,97.5
25,Chris Boswell,PIT,CIN,-,-,,6.63,1.56,1.78,87.6,1.95,2.06,94.7
26,Will Reichard,MIN,ARI,-,-,,6.54,1.42,1.71,83.0,2.28,2.39,95.4
27,Cam Little,JAX,HOU,-,-,,6.41,1.38,1.72,80.2,2.30,2.41,95.4
28,Wil Lutz,DEN,CLE,-,-,,6.36,1.45,1.73,83.8,2.01,2.12,94.8
29,Graham Gano,NYG,DAL,-,-,,6.36,1.53,1.80,85.0,1.80,1.91,94.2
30,Eddy Pineiro,CAR,TB,-,-,,6.00,1.41,1.64,86.0,1.92,2.03,94.6
31,Joey Slye,NE,IND,-,-,,1.53,0.39,0.48,81.3,0.48,0.53,90.6
32,Spencer Shrader,IND,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Charlie Smyth,NO,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Chad Ryland,NE,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Austin Seibert,NYJ,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Brayden Narveson,TEN,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Jude McAtamney,NYG,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Greg Joseph,GB,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Alex Hale,GB,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Matthew Wright,PIT,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Cade York,WAS,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Michael Badgley,DET,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
