,,Week 11 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,SEA,-,-,,7.36,18.75,306.60,3.01,0.90,0.64,0.06,0.13,0.06,0.00,0.00
2,DAL,HOU,-,-,,7.28,23.00,376.02,2.92,0.93,0.62,0.06,0.12,0.06,0.00,0.00
3,NYJ,IND,-,-,,7.22,21.00,329.92,2.94,0.92,0.61,0.06,0.12,0.06,0.00,0.00
4,BAL,PIT,-,-,,6.79,20.00,302.45,2.78,0.83,0.59,0.06,0.12,0.06,0.00,0.00
5,KC,BUF,-,-,,6.76,24.75,384.42,2.69,0.84,0.60,0.06,0.12,0.06,0.00,0.00
6,DET,JAX,-,-,,6.51,23.00,333.13,2.72,0.89,0.57,0.06,0.06,0.06,0.00,0.00
7,MIA,LV,-,-,,6.46,20.50,390.75,2.70,0.82,0.63,0.06,0.06,0.06,0.00,0.00
8,CLE,NO,-,-,,6.39,20.00,318.75,2.55,0.75,0.58,0.06,0.12,0.06,0.00,0.00
9,PHI,WAS,-,-,,6.28,19.50,304.16,2.67,0.81,0.56,0.06,0.06,0.06,0.00,0.00
10,BUF,KC,-,-,,6.21,23.75,389.63,2.56,0.85,0.55,0.06,0.06,0.06,0.00,0.00
11,PIT,BAL,-,-,,6.10,23.00,363.72,2.52,0.73,0.50,0.06,0.11,0.06,0.00,0.00
12,HOU,DAL,-,-,,6.09,26.00,368.51,2.54,0.77,0.59,0.06,0.06,0.06,0.00,0.00
13,CHI,GB,-,-,,5.88,21.75,349.63,2.47,0.76,0.53,0.06,0.06,0.06,0.00,0.00
14,ATL,DEN,-,-,,5.87,20.75,277.57,2.39,0.78,0.54,0.06,0.06,0.06,0.00,0.00
15,LAR,NE,-,-,,5.86,20.25,297.84,2.48,0.72,0.54,0.06,0.06,0.06,0.00,0.00
16,CIN,LAC,-,-,,5.84,21.50,339.66,2.38,0.77,0.54,0.06,0.06,0.06,0.00,0.00
17,JAX,DET,-,-,,5.79,27.00,400.67,2.48,0.71,0.53,0.06,0.06,0.06,0.00,0.00
18,MIN,TEN,-,-,,5.77,21.25,320.36,2.51,0.70,0.52,0.06,0.06,0.06,0.00,0.00
19,GB,CHI,-,-,,5.72,22.75,341.56,2.37,0.75,0.52,0.06,0.06,0.06,0.00,0.00
20,LV,MIA,-,-,,5.59,26.50,392.79,2.43,0.68,0.51,0.06,0.06,0.06,0.00,0.00
21,LAC,CIN,-,-,,5.58,23.50,351.03,2.36,0.69,0.52,0.06,0.06,0.06,0.00,0.00
22,SEA,SF,-,-,,5.52,27.75,414.26,2.35,0.71,0.49,0.05,0.05,0.05,0.00,0.00
23,NO,CLE,-,-,,5.49,22.00,326.05,2.24,0.73,0.50,0.06,0.06,0.06,0.00,0.00
24,NE,LAR,-,-,,5.46,24.25,382.75,2.31,0.67,0.51,0.06,0.06,0.06,0.00,0.00
25,TEN,MIN,-,-,,5.44,22.25,93.58,2.23,0.69,0.52,0.06,0.06,0.06,0.00,0.00
26,IND,NYJ,-,-,,5.42,25.00,358.66,2.22,0.68,0.51,0.06,0.06,0.06,0.00,0.00
27,DEN,ATL,-,-,,5.33,23.75,347.56,2.16,0.68,0.51,0.06,0.06,0.06,0.00,0.00
28,WAS,PHI,-,-,,5.27,26.00,370.80,2.16,0.67,0.50,0.06,0.06,0.06,0.00,0.00
