,,,Week 2 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Justin Tucker,BAL,LV,BAL,-8.0,43.5,8.76,1.92,2.17,88.5,2.97,3.03,98.0
2,Harrison Butker,KC,CIN,KC,-3.5,47.5,8.70,1.85,2.10,88.1,3.15,3.27,96.3
3,Brandon Aubrey,DAL,NO,DAL,-6.5,44.5,8.54,1.85,2.10,88.1,2.96,3.08,96.1
4,Jake Moody,SF,MIN,SF,-7.0,45.5,8.07,1.69,2.00,84.5,3.00,3.18,94.3
5,Evan McPherson,CIN,KC,KC,3.5,47.5,7.83,1.68,1.92,87.5,2.79,2.90,96.2
6,Ka'imi Fairbairn,HOU,CHI,HOU,-3.5,46.5,7.82,1.65,1.96,84.2,2.87,3.00,95.7
7,Jason Sanders,MIA,BUF,MIA,-2.0,50.5,7.76,1.62,1.94,83.5,2.87,3.00,95.7
8,Greg Zuerlein,NYJ,TEN,NYJ,-4.0,43.5,7.61,1.74,2.04,85.3,2.39,2.51,95.2
9,Jake Elliott,PHI,ATL,PHI,-4.0,47.5,7.58,1.67,1.92,87.0,2.54,2.66,95.5
10,Tyler Bass,BUF,MIA,MIA,2,50.5,7.52,1.63,1.93,84.5,2.66,2.78,95.7
11,Cameron Dicker,LAC,CAR,LAC,-3.5,42.0,7.45,1.71,1.94,88.1,2.35,2.47,95.1
12,Younghoe Koo,ATL,PHI,PHI,4,47.5,7.44,1.73,1.96,88.3,2.25,2.31,97.4
13,Dustin Hopkins,CLE,JAX,JAX,2,44.5,7.18,1.60,1.89,84.7,2.35,2.46,95.5
14,Jake Bates,DET,TB,DET,-6.5,48.5,7.15,1.43,1.76,81.3,2.80,2.93,95.6
15,Jason Myers,SEA,NE,SEA,-3.0,41.0,7.10,1.57,1.86,84.4,2.21,2.32,95.3
16,Joshua Karty,LAR,ARI,LAR,-2.0,48.0,7.10,1.52,1.87,81.3,2.51,2.63,95.4
17,Matt Prater,ARI,LAR,LAR,2,48.0,7.02,1.65,1.95,84.6,2.07,2.19,94.5
18,Anders Carlson,GB,IND,GB,-5.0,47.0,7.00,1.49,1.84,81.0,2.50,2.62,95.4
19,Chris Boswell,PIT,DEN,PIT,-2.5,40.5,6.84,1.61,1.84,87.5,2.01,2.13,94.4
20,Matt Gay,IND,GB,GB,5,47.0,6.80,1.60,1.88,85.1,2.00,2.11,94.8
21,Chase McLaughlin,TB,DET,DET,6.5,48.5,6.80,1.60,1.88,85.1,2.00,2.11,94.8
22,Cairo Santos,CHI,HOU,HOU,3.5,46.5,6.78,1.55,1.78,87.1,2.13,2.24,95.1
23,Blake Grupe,NO,DAL,DAL,6.5,44.5,6.65,1.48,1.76,84.1,2.09,2.20,95.0
24,Daniel Carlson,LV,BAL,BAL,8,43.5,6.61,1.61,1.82,88.5,1.93,1.99,97.0
25,Nick Folk,TEN,NYJ,NYJ,4,43.5,6.52,1.56,1.84,84.8,1.84,1.95,94.4
26,Graham Gano,NYG,WAS,WAS,2.5,41.5,6.51,1.55,1.83,84.7,1.83,1.94,94.3
27,Cam Little,JAX,CLE,JAX,-2.0,44.5,6.35,1.36,1.70,80.0,2.27,2.38,95.4
28,Wil Lutz,DEN,PIT,PIT,2.5,40.5,6.24,1.43,1.70,84.1,1.98,2.09,94.7
29,Will Reichard,MIN,SF,SF,7,45.5,6.10,1.32,1.58,83.5,2.11,2.22,95.0
30,Eddy Pineiro,CAR,LAC,LAC,3.5,42.0,5.84,1.38,1.60,86.3,1.88,1.99,94.5
31,Joey Slye,NE,SEA,SEA,3,41.0,1.43,0.37,0.47,78.7,0.47,0.51,92.2
32,Spencer Shrader,IND,GB,GB,5,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Charlie Smyth,NO,DAL,DAL,6.5,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Chad Ryland,NE,SEA,SEA,3,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Austin Seibert,NYJ,TEN,NYJ,-4.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Brayden Narveson,TEN,NYJ,NYJ,4,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Jude McAtamney,NYG,WAS,WAS,2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Greg Joseph,GB,IND,GB,-5.0,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Alex Hale,GB,IND,GB,-5.0,47.0,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Matthew Wright,PIT,DEN,PIT,-2.5,40.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Cade York,WAS,NYG,WAS,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Michael Badgley,DET,TB,DET,-6.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
