,,,Week 14 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,LAC,-,-,,8.72,5.49,58.12,0.48,0.07,0.27,0.00
2,Sam LaPorta,DET,GB,-,-,,8.45,5.44,56.31,0.47,0.00,0.00,0.00
3,George Kittle,SF,CHI,-,-,,7.89,4.08,55.74,0.38,0.06,0.31,0.00
4,Dalton Kincaid,BUF,LAR,-,-,,6.77,4.73,49.10,0.31,0.00,0.00,0.00
5,Trey McBride,ARI,SEA,-,-,,6.74,4.82,49.42,0.30,0.00,0.00,0.00
6,Kyle Pitts,ATL,MIN,-,-,,6.60,3.90,48.56,0.29,0.00,0.00,0.00
7,Taysom Hill,NO,NYG,-,-,,5.97,1.36,13.94,0.12,4.93,21.22,0.25
8,Jake Ferguson,DAL,CIN,-,-,,5.84,3.92,40.97,0.29,0.00,0.00,0.00
9,Dallas Goedert,PHI,CAR,-,-,,5.55,3.88,41.72,0.23,0.00,0.00,0.00
10,David Njoku,CLE,PIT,-,-,,5.51,3.61,38.94,0.27,0.00,0.00,0.00
11,Evan Engram,JAX,TEN,-,-,,5.40,4.17,40.23,0.23,0.00,0.00,0.00
12,T.J. Hockenson,MIN,ATL,-,-,,5.07,3.53,36.25,0.24,0.00,0.00,0.00
13,Brock Bowers,LV,TB,-,-,,5.05,3.18,35.48,0.25,0.00,0.00,0.00
14,Pat Freiermuth,PIT,CLE,-,-,,4.90,3.30,34.63,0.24,0.00,0.00,0.00
15,Cole Kmet,CHI,SF,-,-,,4.67,3.15,32.28,0.24,0.00,0.00,0.00
16,Cade Otton,TB,LV,-,-,,3.95,2.68,26.92,0.21,0.00,0.00,0.00
17,Luke Musgrave,GB,DET,-,-,,3.85,2.35,27.09,0.19,0.00,0.00,0.00
18,Chigoziem Okonkwo,TEN,JAX,-,-,,3.65,2.50,25.43,0.18,0.06,0.24,0.00
19,Tucker Kraft,GB,DET,-,-,,3.23,2.05,21.45,0.18,0.00,0.00,0.00
20,Juwan Johnson,NO,NYG,-,-,,3.09,1.85,20.73,0.17,0.00,0.00,0.00
21,Dawson Knox,BUF,LAR,-,-,,3.01,1.77,19.31,0.18,0.00,0.00,0.00
