,,,Week 4 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Justin Tucker,BAL,BUF,-,-,,8.65,1.90,2.15,88.4,2.95,3.01,98.0
2,Harrison Butker,KC,LAC,-,-,,8.47,1.80,2.04,88.2,3.07,3.19,96.2
3,Evan McPherson,CIN,CAR,-,-,,8.33,1.79,2.04,87.7,2.96,3.08,96.1
4,Jake Moody,SF,NE,-,-,,8.32,1.74,2.06,84.5,3.10,3.29,94.2
5,Brandon Aubrey,DAL,NYG,-,-,,8.30,1.81,2.05,88.3,2.90,3.02,96.0
6,Ka'imi Fairbairn,HOU,JAX,-,-,,7.91,1.67,1.97,84.8,2.90,3.02,96.0
7,Jason Sanders,MIA,TEN,-,-,,7.76,1.62,1.94,83.5,2.87,3.00,95.7
8,Younghoe Koo,ATL,NO,-,-,,7.75,1.81,2.05,88.3,2.35,2.41,97.5
9,Greg Zuerlein,NYJ,DEN,-,-,,7.63,1.75,2.05,85.4,2.41,2.54,94.9
10,Jake Elliott,PHI,TB,-,-,,7.41,1.64,1.88,87.2,2.49,2.61,95.4
11,Dustin Hopkins,CLE,LV,-,-,,7.37,1.65,1.95,84.6,2.42,2.54,95.3
12,Tyler Bass,BUF,BAL,-,-,,7.28,1.57,1.87,84.0,2.57,2.68,95.9
13,Cameron Dicker,LAC,KC,-,-,,7.26,1.65,1.88,87.8,2.28,2.39,95.4
14,Jake Bates,DET,SEA,-,-,,7.15,1.43,1.76,81.3,2.80,2.93,95.6
15,Matt Prater,ARI,WAS,-,-,,7.14,1.68,1.98,84.8,2.10,2.21,95.0
16,Cairo Santos,CHI,LAR,-,-,,7.09,1.63,1.87,87.2,2.23,2.35,94.9
17,Jason Myers,SEA,DET,-,-,,7.02,1.55,1.84,84.2,2.19,2.30,95.2
18,Chase McLaughlin,TB,PHI,-,-,,6.97,1.64,1.93,85.0,2.05,2.17,94.5
19,Matt Gay,IND,PIT,-,-,,6.97,1.64,1.93,85.0,2.05,2.17,94.5
20,Daniel Carlson,LV,CLE,-,-,,6.95,1.69,1.92,88.0,2.03,2.09,97.1
21,Chris Boswell,PIT,IND,-,-,,6.92,1.63,1.86,87.6,2.03,2.15,94.4
22,Blake Grupe,NO,ATL,-,-,,6.85,1.52,1.80,84.4,2.14,2.25,95.1
23,Anders Carlson,GB,MIN,-,-,,6.84,1.46,1.81,80.7,2.46,2.57,95.7
24,Joshua Karty,LAR,CHI,-,-,,6.80,1.46,1.80,81.1,2.42,2.53,95.7
25,Graham Gano,NYG,DAL,-,-,,6.57,1.57,1.86,84.4,1.86,1.97,94.4
26,Nick Folk,TEN,MIA,-,-,,6.52,1.56,1.84,84.8,1.84,1.95,94.4
27,Cam Little,JAX,HOU,-,-,,6.21,1.33,1.67,79.6,2.22,2.33,95.3
28,Wil Lutz,DEN,NYJ,-,-,,6.18,1.41,1.68,83.9,1.95,2.06,94.7
29,Will Reichard,MIN,GB,-,-,,6.13,1.34,1.61,83.2,2.14,2.25,95.1
30,Eddy Pineiro,CAR,CIN,-,-,,6.00,1.41,1.64,86.0,1.92,2.03,94.6
31,Joey Slye,NE,SF,-,-,,1.38,0.36,0.45,80.0,0.45,0.49,91.8
32,Austin Seibert,NYJ,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Chad Ryland,NE,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Brayden Narveson,TEN,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Matthew Wright,PIT,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Spencer Shrader,IND,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Charlie Smyth,NO,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Michael Badgley,DET,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Cade York,WAS,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Alex Hale,GB,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
