,,Week 17 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,DET,-,-,,7.27,22.50,371.17,2.97,0.89,0.63,0.06,0.13,0.06,0.00,0.00
2,BAL,HOU,-,-,,6.91,22.50,372.73,2.83,0.84,0.60,0.06,0.12,0.06,0.00,0.00
3,DAL,PHI,-,-,,6.85,24.50,361.55,2.75,0.88,0.59,0.06,0.12,0.06,0.00,0.00
4,NYJ,BUF,-,-,,6.79,24.00,379.53,2.76,0.86,0.58,0.06,0.12,0.06,0.00,0.00
5,KC,PIT,-,-,,6.71,19.25,298.26,2.67,0.83,0.59,0.06,0.12,0.06,0.00,0.00
6,CLE,MIA,-,-,,6.53,21.25,358.77,2.61,0.77,0.59,0.06,0.12,0.06,0.00,0.00
7,CIN,DEN,-,-,,6.17,18.75,267.46,2.52,0.82,0.57,0.06,0.06,0.06,0.00,0.00
8,BUF,NYJ,-,-,,6.13,21.50,337.43,2.52,0.84,0.54,0.06,0.06,0.06,0.00,0.00
9,LAR,ARI,-,-,,6.13,21.00,345.40,2.59,0.76,0.57,0.06,0.06,0.06,0.00,0.00
10,PHI,DAL,-,-,,6.12,22.50,347.05,2.61,0.79,0.55,0.06,0.06,0.06,0.00,0.00
11,CHI,SEA,-,-,,6.06,21.00,319.64,2.55,0.79,0.55,0.06,0.06,0.06,0.00,0.00
12,HOU,BAL,-,-,,6.03,24.00,370.09,2.52,0.76,0.59,0.06,0.06,0.06,0.00,0.00
13,DET,SF,-,-,,6.03,27.00,409.24,2.52,0.82,0.53,0.06,0.06,0.06,0.00,0.00
14,PIT,KC,-,-,,6.02,23.25,386.26,2.48,0.72,0.50,0.06,0.11,0.06,0.00,0.00
15,JAX,TEN,-,-,,5.99,21.00,318.91,2.57,0.73,0.55,0.06,0.06,0.06,0.00,0.00
16,GB,MIN,-,-,,5.93,21.75,92.75,2.45,0.78,0.54,0.06,0.06,0.06,0.00,0.00
17,MIA,CLE,-,-,,5.90,23.25,333.32,2.46,0.74,0.57,0.06,0.06,0.06,0.00,0.00
18,TB,CAR,-,-,,5.89,19.00,295.34,2.40,0.78,0.54,0.06,0.06,0.06,0.00,0.00
19,ATL,WAS,-,-,,5.89,22.00,318.34,2.40,0.78,0.54,0.06,0.06,0.06,0.00,0.00
20,SEA,CHI,-,-,,5.76,24.50,352.07,2.45,0.74,0.51,0.06,0.06,0.06,0.00,0.00
21,NO,LV,-,-,,5.76,20.25,388.96,2.35,0.76,0.53,0.06,0.06,0.06,0.00,0.00
22,MIN,GB,-,-,,5.72,23.75,362.15,2.48,0.69,0.52,0.06,0.06,0.06,0.00,0.00
23,LAC,NE,-,-,,5.61,19.25,292.36,2.37,0.69,0.52,0.06,0.06,0.06,0.00,0.00
24,IND,NYG,-,-,,5.59,20.75,274.40,2.29,0.71,0.53,0.06,0.06,0.06,0.00,0.00
25,LV,NO,-,-,,5.57,22.75,334.95,2.42,0.67,0.51,0.06,0.06,0.06,0.00,0.00
26,WAS,ATL,-,-,,5.51,24.00,349.06,2.26,0.70,0.52,0.06,0.06,0.06,0.00,0.00
27,TEN,JAX,-,-,,5.42,25.00,344.79,2.22,0.68,0.51,0.06,0.06,0.06,0.00,0.00
28,NYG,IND,-,-,,5.39,22.75,340.40,2.33,0.62,0.51,0.06,0.06,0.06,0.00,0.00
29,NE,LAC,-,-,,5.35,21.75,341.18,2.26,0.66,0.50,0.06,0.06,0.06,0.00,0.00
30,ARI,LAR,-,-,,5.30,27.00,400.78,2.11,0.68,0.51,0.06,0.06,0.06,0.00,0.00
31,CAR,TB,-,-,,5.22,24.00,323.41,2.14,0.66,0.49,0.05,0.05,0.05,0.00,0.00
32,DEN,CIN,-,-,,5.14,26.75,370.83,2.08,0.66,0.49,0.05,0.05,0.05,0.00,0.00
