,,,Week 7 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,MIN,-,-,,8.47,5.46,56.54,0.47,0.00,0.00,0.00
2,Travis Kelce,KC,SF,-,-,,8.40,5.31,56.17,0.46,0.07,0.27,0.00
3,Mark Andrews,BAL,TB,-,-,,7.93,4.19,52.92,0.44,0.00,0.00,0.00
4,George Kittle,SF,KC,-,-,,7.73,4.01,54.82,0.37,0.06,0.31,0.00
5,Dalton Kincaid,BUF,TEN,-,-,,7.12,4.95,51.41,0.33,0.00,0.00,0.00
6,Kyle Pitts,ATL,SEA,-,-,,6.89,4.09,50.89,0.30,0.00,0.00,0.00
7,Trey McBride,ARI,LAC,-,-,,6.70,4.78,48.99,0.30,0.00,0.00,0.00
8,Taysom Hill,NO,DEN,-,-,,6.23,1.41,14.45,0.13,5.11,21.99,0.26
9,David Njoku,CLE,CIN,-,-,,5.68,3.71,39.99,0.28,0.00,0.00,0.00
10,Evan Engram,JAX,NE,-,-,,5.49,4.26,41.11,0.23,0.00,0.00,0.00
11,Dalton Schultz,HOU,GB,-,-,,5.37,3.46,36.33,0.29,0.00,0.00,0.00
12,Dallas Goedert,PHI,NYG,-,-,,5.34,3.73,40.16,0.22,0.00,0.00,0.00
13,T.J. Hockenson,MIN,DET,-,-,,5.10,3.57,36.57,0.24,0.00,0.00,0.00
14,Brock Bowers,LV,LAR,-,-,,5.03,3.17,35.32,0.25,0.00,0.00,0.00
15,Pat Freiermuth,PIT,NYJ,-,-,,4.77,3.23,33.87,0.23,0.00,0.00,0.00
16,Luke Musgrave,GB,HOU,-,-,,4.04,2.46,28.40,0.20,0.00,0.00,0.00
17,Cade Otton,TB,BAL,-,-,,3.85,2.57,25.86,0.21,0.00,0.00,0.00
18,Ben Sinnott,WAS,CAR,-,-,,3.75,2.43,25.51,0.20,0.00,0.00,0.00
19,Chigoziem Okonkwo,TEN,BUF,-,-,,3.58,2.43,24.75,0.18,0.06,0.24,0.00
20,Tucker Kraft,GB,HOU,-,-,,3.39,2.15,22.48,0.19,0.00,0.00,0.00
21,Juwan Johnson,NO,DEN,-,-,,3.23,1.91,21.48,0.18,0.00,0.00,0.00
22,Isaiah Likely,BAL,TB,-,-,,3.21,1.98,21.85,0.17,0.00,0.00,0.00
23,Dawson Knox,BUF,TEN,-,-,,3.16,1.85,20.21,0.19,0.00,0.00,0.00
24,Ja'Tavion Sanders,CAR,WAS,-,-,,3.00,1.79,19.81,0.17,0.00,0.00,0.00
25,Colby Parkinson,LAR,LV,-,-,,2.94,1.84,19.78,0.16,0.00,0.00,0.00
26,Tyler Conklin,NYJ,PIT,-,-,,2.92,2.14,21.37,0.13,0.00,0.00,0.00
27,Noah Fant,SEA,ATL,-,-,,2.82,2.07,20.96,0.12,0.00,0.00,0.00
28,Hunter Henry,NE,JAX,-,-,,2.79,1.93,19.50,0.14,0.00,0.00,0.00
29,Michael Mayer,LV,LAR,-,-,,2.66,1.77,18.78,0.13,0.00,0.00,0.00
30,Theo Johnson,NYG,PHI,-,-,,2.58,1.65,17.37,0.14,0.00,0.00,0.00
31,Will Mallory,IND,MIA,-,-,,2.33,1.64,17.27,0.10,0.00,0.00,0.00
32,Noah Gray,KC,SF,-,-,,2.28,1.46,15.56,0.12,0.00,0.00,0.00
