,,,Week 14 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,NYJ,-,-,,12.98,6.80,94.58,0.55,0.30,2.19,0.00
2,CeeDee Lamb,DAL,CIN,-,-,,12.64,7.03,88.92,0.49,0.73,4.52,0.06
3,A.J. Brown,PHI,CAR,-,-,,11.59,5.65,84.94,0.51,0.06,0.38,0.00
4,Ja'Marr Chase,CIN,DAL,-,-,,11.13,6.26,81.51,0.48,0.18,0.95,0.00
5,Justin Jefferson,MIN,ATL,-,-,,10.96,6.20,84.32,0.41,0.12,0.71,0.00
6,Amon-Ra St. Brown,DET,GB,-,-,,10.71,6.83,79.11,0.43,0.37,2.22,0.00
7,Garrett Wilson,NYJ,MIA,-,-,,10.41,5.84,74.03,0.47,0.29,1.83,0.00
8,Puka Nacua,LAR,BUF,-,-,,10.37,5.63,75.37,0.43,0.49,2.51,0.00
9,Deebo Samuel,SF,CHI,-,-,,10.26,3.95,55.47,0.36,2.49,14.76,0.18
10,Brandon Aiyuk,SF,CHI,-,-,,9.66,4.77,69.91,0.44,0.06,0.31,0.00
11,Marvin Harrison,ARI,SEA,-,-,,9.43,4.87,68.64,0.42,0.06,0.42,0.00
12,Mike Evans,TB,LV,-,-,,9.26,4.28,64.69,0.46,0.06,0.29,0.00
13,Drake London,ATL,MIN,-,-,,9.06,5.08,65.97,0.40,0.12,0.63,0.00
14,Jaylen Waddle,MIA,NYJ,-,-,,9.04,4.97,67.69,0.36,0.18,1.14,0.00
15,DK Metcalf,SEA,ARI,-,-,,8.98,4.30,61.93,0.46,0.06,0.29,0.00
16,Cooper Kupp,LAR,BUF,-,-,,8.91,5.28,62.94,0.41,0.23,1.53,0.00
17,Tee Higgins,CIN,DAL,-,-,,8.91,4.43,63.01,0.43,0.06,0.31,0.00
18,Chris Olave,NO,NYG,-,-,,8.90,5.04,68.31,0.34,0.06,0.29,0.00
19,DeVonta Smith,PHI,CAR,-,-,,8.86,5.34,65.42,0.38,0.06,0.38,0.00
20,Amari Cooper,CLE,PIT,-,-,,8.83,4.30,63.39,0.41,0.06,0.29,0.00
21,Davante Adams,LV,TB,-,-,,8.41,5.25,62.77,0.35,0.06,0.29,0.00
22,George Pickens,PIT,CLE,-,-,,8.39,4.13,62.29,0.35,0.12,0.58,0.00
23,DJ Moore,CHI,SF,-,-,,8.39,4.37,59.16,0.39,0.22,1.35,0.00
24,Jordan Addison,MIN,ATL,-,-,,8.30,4.26,59.08,0.38,0.19,1.13,0.00
25,Christian Kirk,JAX,TEN,-,-,,8.26,4.78,60.94,0.35,0.12,0.65,0.00
26,Malik Nabers,NYG,NO,-,-,,7.93,4.28,58.08,0.34,0.11,0.85,0.00
27,Jayden Reed,GB,DET,-,-,,7.84,4.19,52.32,0.30,0.77,4.49,0.06
28,Calvin Ridley,TEN,JAX,-,-,,7.78,4.10,55.46,0.34,0.34,1.91,0.00
29,Chris Godwin,TB,LV,-,-,,7.67,5.13,57.74,0.29,0.24,1.53,0.00
30,Rome Odunze,CHI,SF,-,-,,7.59,4.07,55.08,0.34,0.06,0.40,0.00
31,Keenan Allen,CHI,SF,-,-,,7.41,4.78,53.06,0.34,0.11,0.63,0.00
32,Rashee Rice,KC,LAC,-,-,,7.26,4.79,51.70,0.34,0.11,0.51,0.00
33,Xavier Worthy,KC,LAC,-,-,,7.26,3.75,50.27,0.35,0.18,1.29,0.00
34,Marquise Brown,KC,LAC,-,-,,6.96,3.60,50.19,0.31,0.18,0.85,0.00
35,Christian Watson,GB,DET,-,-,,6.85,3.35,45.90,0.35,0.29,1.58,0.00
36,DeAndre Hopkins,TEN,JAX,-,-,,6.82,4.05,48.49,0.32,0.13,0.51,0.00
37,Brian Thomas,JAX,TEN,-,-,,6.37,3.53,45.42,0.29,0.12,0.87,0.00
38,Tyler Lockett,SEA,ARI,-,-,,6.28,3.76,45.07,0.29,0.06,0.29,0.00
39,Mike Williams,NYJ,MIA,-,-,,6.23,3.20,44.00,0.30,0.06,0.30,0.00
40,Jameson Williams,DET,GB,-,-,,6.22,3.10,44.06,0.27,0.33,1.91,0.00
41,Romeo Doubs,GB,DET,-,-,,6.21,3.56,44.39,0.29,0.06,0.29,0.00
42,Jaxon Smith-Njigba,SEA,ARI,-,-,,6.19,4.02,43.34,0.30,0.12,0.60,0.00
43,Keon Coleman,BUF,LAR,-,-,,6.11,3.29,43.38,0.29,0.06,0.29,0.00
44,Dontayvion Wicks,GB,DET,-,-,,6.08,3.07,40.07,0.33,0.20,0.93,0.00
45,Gabe Davis,JAX,TEN,-,-,,6.07,3.15,43.59,0.28,0.06,0.28,0.00
46,Khalil Shakir,BUF,LAR,-,-,,6.03,3.58,42.47,0.29,0.06,0.47,0.00
47,Brandin Cooks,DAL,CIN,-,-,,6.00,3.29,40.92,0.30,0.18,1.04,0.00
48,Ladd McConkey,LAC,KC,-,-,,5.99,3.34,40.71,0.31,0.05,0.57,0.00
49,Curtis Samuel,BUF,LAR,-,-,,5.79,3.39,37.71,0.21,0.68,4.58,0.05
50,Ricky Pearsall,SF,CHI,-,-,,5.78,3.17,38.18,0.31,0.19,1.06,0.00
51,Jerry Jeudy,CLE,PIT,-,-,,5.68,3.17,40.52,0.26,0.11,0.69,0.00
52,Rashid Shaheed,NO,NYG,-,-,,5.50,2.89,38.89,0.22,0.44,2.89,0.00
53,Jakobi Meyers,LV,TB,-,-,,5.45,3.47,39.17,0.23,0.23,1.21,0.00
54,Roman Wilson,PIT,CLE,-,-,,5.45,2.90,38.99,0.23,0.23,1.68,0.00
55,Xavier Legette,CAR,PHI,-,-,,5.45,3.03,38.86,0.24,0.18,1.21,0.00
56,Malachi Corley,NYJ,MIA,-,-,,5.40,3.36,35.37,0.27,0.40,2.42,0.00
57,Joshua Palmer,LAC,KC,-,-,,5.33,2.84,35.58,0.29,0.05,0.34,0.00
58,Michael Wilson,ARI,SEA,-,-,,5.29,2.86,38.21,0.24,0.06,0.30,0.00
59,Diontae Johnson,CAR,PHI,-,-,,5.06,3.69,38.63,0.19,0.09,0.61,0.00
60,Darnell Mooney,ATL,MIN,-,-,,5.03,2.69,36.32,0.22,0.11,0.81,0.00
61,Wan'Dale Robinson,NYG,NO,-,-,,4.92,3.22,32.92,0.22,0.56,3.05,0.00
62,Jermaine Burton,CIN,DAL,-,-,,4.83,2.64,33.33,0.24,0.06,0.60,0.00
63,Quentin Johnston,LAC,KC,-,-,,4.71,2.68,33.57,0.22,0.05,0.33,0.00
64,Jalen McMillan,TB,LV,-,-,,4.47,2.92,30.91,0.21,0.16,1.17,0.00
65,Adam Thielen,CAR,PHI,-,-,,4.43,3.26,32.57,0.19,0.05,0.34,0.00
66,Greg Dortch,ARI,SEA,-,-,,4.25,3.14,30.86,0.17,0.29,1.43,0.00
67,Darius Slayton,NYG,NO,-,-,,4.16,2.15,31.08,0.17,0.06,0.28,0.00
68,Tyler Boyd,TEN,JAX,-,-,,4.03,2.77,28.98,0.18,0.12,0.48,0.00
69,Zay Jones,ARI,SEA,-,-,,3.77,2.24,26.47,0.18,0.12,0.41,0.00
70,Odell Beckham,MIA,NYJ,-,-,,3.68,2.06,25.61,0.18,0.06,0.42,0.00
71,Demarcus Robinson,LAR,BUF,-,-,,3.60,1.89,23.51,0.20,0.04,0.44,0.00
72,Elijah Moore,CLE,PIT,-,-,,3.48,2.17,23.56,0.17,0.23,1.03,0.00
73,Marquez Valdes-Scantling,BUF,LAR,-,-,,3.10,1.33,19.97,0.18,0.09,0.27,0.00
74,Jalen Tolbert,DAL,CIN,-,-,,3.05,1.88,21.81,0.14,0.05,0.33,0.00
75,DJ Chark,LAC,KC,-,-,,3.00,1.66,21.89,0.13,0.04,0.30,0.00
76,Jalin Hyatt,NYG,NO,-,-,,3.00,1.48,22.01,0.13,0.06,0.19,0.00
77,A.T. Perry,NO,NYG,-,-,,2.90,1.48,20.94,0.13,0.07,0.27,0.00
78,Tre Tucker,LV,TB,-,-,,2.84,1.69,18.00,0.14,0.33,1.97,0.00
79,Tyler Scott,CHI,SF,-,-,,2.82,1.57,17.75,0.14,0.43,2.07,0.00
80,Treylon Burks,TEN,JAX,-,-,,2.77,1.52,19.79,0.11,0.27,1.30,0.00
81,Jake Bobo,SEA,ARI,-,-,,2.75,1.48,18.17,0.15,0.07,0.30,0.00
82,Malik Washington,MIA,NYJ,-,-,,2.60,1.40,17.93,0.11,0.22,1.51,0.00
83,Van Jefferson,PIT,CLE,-,-,,2.59,1.40,17.95,0.12,0.12,0.70,0.00
84,Jauan Jennings,SF,CHI,-,-,,2.53,1.45,17.75,0.12,0.04,0.39,0.00
85,Trey Palmer,TB,LV,-,-,,2.50,1.46,17.95,0.10,0.21,1.04,0.00
86,KJ Hamler,BUF,LAR,-,-,,2.48,1.18,16.32,0.13,0.13,0.65,0.00
87,Cedric Tillman,CLE,PIT,-,-,,2.47,1.29,17.17,0.12,0.06,0.29,0.00
88,Jonathan Mingo,CAR,PHI,-,-,,2.41,1.42,17.05,0.11,0.04,0.45,0.00
