,,,Week 2 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,BUF,MIA,-2.0,50.5,13.28,6.97,96.99,0.56,0.31,2.24,0.00
2,CeeDee Lamb,DAL,NO,DAL,-6.5,44.5,12.82,7.12,90.05,0.50,0.74,4.58,0.06
3,A.J. Brown,PHI,ATL,PHI,-4.0,47.5,11.52,5.60,84.23,0.51,0.06,0.38,0.00
4,Amon-Ra St. Brown,DET,TB,DET,-6.5,48.5,11.14,7.09,82.11,0.45,0.38,2.30,0.00
5,Ja'Marr Chase,CIN,KC,KC,3.5,47.5,10.76,6.07,79.05,0.46,0.17,0.93,0.00
6,Puka Nacua,LAR,ARI,LAR,-2.0,48.0,10.63,5.78,77.33,0.44,0.50,2.58,0.00
7,Garrett Wilson,NYJ,TEN,NYJ,-4.0,43.5,10.60,5.94,75.33,0.48,0.30,1.86,0.00
8,Justin Jefferson,MIN,SF,SF,7,45.5,10.43,5.90,80.19,0.39,0.11,0.67,0.00
9,Deebo Samuel,SF,MIN,SF,-7.0,45.5,10.23,3.93,55.24,0.36,2.48,14.70,0.18
10,Nico Collins,HOU,CHI,HOU,-3.5,46.5,9.70,4.79,70.62,0.43,0.12,0.61,0.00
11,Brandon Aiyuk,SF,MIN,SF,-7.0,45.5,9.63,4.75,69.62,0.44,0.06,0.31,0.00
12,Marvin Harrison,ARI,LAR,LAR,2,48.0,9.37,4.83,68.04,0.42,0.06,0.42,0.00
13,Jaylen Waddle,MIA,BUF,MIA,-2.0,50.5,9.28,5.09,69.41,0.37,0.18,1.17,0.00
14,Cooper Kupp,LAR,ARI,LAR,-2.0,48.0,9.13,5.42,64.58,0.42,0.24,1.56,0.00
15,Mike Evans,TB,DET,DET,6.5,48.5,9.00,4.15,62.70,0.45,0.06,0.28,0.00
16,Drake London,ATL,PHI,PHI,4,47.5,8.92,4.97,64.53,0.40,0.11,0.62,0.00
17,DK Metcalf,SEA,NE,SEA,-3.0,41.0,8.87,4.26,61.39,0.45,0.06,0.28,0.00
18,Amari Cooper,CLE,JAX,JAX,2,44.5,8.83,4.30,63.39,0.41,0.06,0.29,0.00
19,DeVonta Smith,PHI,ATL,PHI,-4.0,47.5,8.75,5.30,64.88,0.37,0.06,0.37,0.00
20,Tee Higgins,CIN,KC,KC,3.5,47.5,8.66,4.30,61.10,0.42,0.06,0.30,0.00
21,Stefon Diggs,HOU,CHI,HOU,-3.5,46.5,8.59,4.99,60.35,0.42,0.06,0.30,0.00
22,Chris Olave,NO,DAL,DAL,6.5,44.5,8.59,4.86,65.83,0.33,0.06,0.28,0.00
23,DJ Moore,CHI,HOU,HOU,3.5,46.5,8.51,4.41,59.69,0.40,0.23,1.36,0.00
24,Tank Dell,HOU,CHI,HOU,-3.5,46.5,8.45,4.69,59.52,0.35,0.70,3.99,0.00
25,Zay Flowers,BAL,LV,BAL,-8.0,43.5,8.29,5.00,57.52,0.37,0.49,3.15,0.00
26,Christian Kirk,JAX,CLE,JAX,-2.0,44.5,8.26,4.78,60.94,0.35,0.12,0.65,0.00
27,George Pickens,PIT,DEN,PIT,-2.5,40.5,8.24,4.07,61.46,0.34,0.11,0.57,0.00
28,Jayden Reed,GB,IND,GB,-5.0,47.0,8.23,4.43,55.31,0.31,0.81,4.74,0.06
29,Jordan Addison,MIN,SF,SF,7,45.5,7.89,4.06,56.18,0.36,0.18,1.07,0.00
30,Davante Adams,LV,BAL,BAL,8,43.5,7.83,4.92,58.80,0.32,0.05,0.27,0.00
31,Malik Nabers,NYG,WAS,WAS,2.5,41.5,7.82,4.24,57.55,0.33,0.11,0.84,0.00
32,Rome Odunze,CHI,HOU,HOU,3.5,46.5,7.70,4.11,55.58,0.35,0.06,0.40,0.00
33,Terry McLaurin,WAS,NYG,WAS,-2.5,41.5,7.61,4.41,58.33,0.29,0.06,0.34,0.00
34,Michael Pittman,IND,GB,GB,5,47.0,7.57,5.18,58.02,0.29,0.06,0.29,0.00
35,Chris Godwin,TB,DET,DET,6.5,48.5,7.48,4.97,55.96,0.29,0.23,1.48,0.00
36,Keenan Allen,CHI,HOU,HOU,3.5,46.5,7.46,4.82,53.54,0.34,0.11,0.63,0.00
37,Calvin Ridley,TEN,NYJ,NYJ,4,43.5,7.45,3.95,53.48,0.32,0.32,1.84,0.00
38,Rashee Rice,KC,CIN,KC,-3.5,47.5,7.26,4.79,51.70,0.34,0.11,0.51,0.00
39,Xavier Worthy,KC,CIN,KC,-3.5,47.5,7.26,3.75,50.27,0.35,0.18,1.29,0.00
40,Christian Watson,GB,IND,GB,-5.0,47.0,7.24,3.54,48.52,0.37,0.31,1.68,0.00
41,Marquise Brown,KC,CIN,KC,-3.5,47.5,6.96,3.60,50.19,0.31,0.18,0.85,0.00
42,Romeo Doubs,GB,IND,GB,-5.0,47.0,6.58,3.76,46.93,0.31,0.06,0.31,0.00
43,DeAndre Hopkins,TEN,NYJ,NYJ,4,43.5,6.53,3.90,46.76,0.30,0.12,0.49,0.00
44,Ladd McConkey,LAC,CAR,LAC,-3.5,42.0,6.46,3.58,43.59,0.34,0.06,0.61,0.00
45,Jameson Williams,DET,TB,DET,-6.5,48.5,6.45,3.22,45.73,0.28,0.34,1.98,0.00
46,Dontayvion Wicks,GB,IND,GB,-5.0,47.0,6.44,3.24,42.36,0.35,0.21,0.99,0.00
47,Brian Thomas,JAX,CLE,JAX,-2.0,44.5,6.37,3.53,45.42,0.29,0.12,0.87,0.00
48,Mike Williams,NYJ,TEN,NYJ,-4.0,43.5,6.31,3.26,44.78,0.30,0.06,0.30,0.00
49,Tyler Lockett,SEA,NE,SEA,-3.0,41.0,6.24,3.72,44.67,0.29,0.06,0.29,0.00
50,Jaxon Smith-Njigba,SEA,NE,SEA,-3.0,41.0,6.15,3.98,42.95,0.30,0.12,0.59,0.00
51,Brandin Cooks,DAL,NO,DAL,-6.5,44.5,6.11,3.33,41.44,0.31,0.19,1.05,0.00
52,Keon Coleman,BUF,MIA,MIA,2,50.5,6.09,3.28,43.20,0.29,0.06,0.29,0.00
53,Gabe Davis,JAX,CLE,JAX,-2.0,44.5,6.07,3.15,43.59,0.28,0.06,0.28,0.00
54,Khalil Shakir,BUF,MIA,MIA,2,50.5,6.02,3.57,42.29,0.29,0.06,0.47,0.00
55,Courtland Sutton,DEN,PIT,PIT,2.5,40.5,5.79,3.18,42.67,0.25,0.05,0.25,0.00
56,Curtis Samuel,BUF,MIA,MIA,2,50.5,5.77,3.37,37.55,0.21,0.67,4.56,0.05
57,Ricky Pearsall,SF,MIN,SF,-7.0,45.5,5.77,3.16,38.02,0.31,0.19,1.05,0.00
58,Joshua Palmer,LAC,CAR,LAC,-3.5,42.0,5.71,3.05,38.09,0.31,0.05,0.36,0.00
59,Jerry Jeudy,CLE,JAX,JAX,2,44.5,5.68,3.17,40.52,0.26,0.11,0.69,0.00
60,Jahan Dotson,PHI,ATL,PHI,-4.0,47.5,5.63,3.13,40.59,0.25,0.08,0.68,0.00
61,Xavier Legette,CAR,LAC,LAC,3.5,42.0,5.49,3.06,39.23,0.24,0.18,1.22,0.00
62,Malachi Corley,NYJ,TEN,NYJ,-4.0,43.5,5.47,3.42,36.00,0.27,0.41,2.46,0.00
63,Roman Wilson,PIT,DEN,PIT,-2.5,40.5,5.39,2.86,38.47,0.23,0.23,1.66,0.00
64,Josh Downs,IND,GB,GB,5,47.0,5.29,3.40,37.88,0.23,0.17,1.19,0.00
65,Rashid Shaheed,NO,DAL,DAL,6.5,44.5,5.29,2.78,37.48,0.21,0.43,2.78,0.00
66,Michael Wilson,ARI,LAR,LAR,2,48.0,5.26,2.83,37.88,0.24,0.06,0.30,0.00
67,Troy Franklin,DEN,PIT,PIT,2.5,40.5,5.17,2.91,35.73,0.26,0.09,0.35,0.00
68,Adonai Mitchell,IND,GB,GB,5,47.0,5.15,2.85,37.23,0.23,0.06,0.46,0.00
69,Jakobi Meyers,LV,BAL,BAL,8,43.5,5.14,3.25,36.70,0.22,0.22,1.14,0.00
70,Diontae Johnson,CAR,LAC,LAC,3.5,42.0,5.10,3.72,39.00,0.19,0.10,0.62,0.00
71,Quentin Johnston,LAC,CAR,LAC,-3.5,42.0,5.01,2.87,35.94,0.23,0.06,0.35,0.00
72,Ja'Lynn Polk,NE,SEA,SEA,3,41.0,4.94,2.99,35.45,0.22,0.06,0.78,0.00
73,Darnell Mooney,ATL,PHI,PHI,4,47.5,4.89,2.63,35.52,0.21,0.11,0.79,0.00
74,Wan'Dale Robinson,NYG,WAS,WAS,2.5,41.5,4.88,3.19,32.62,0.22,0.55,3.02,0.00
75,DeMario Douglas,NE,SEA,SEA,3,41.0,4.87,3.17,34.86,0.20,0.30,1.86,0.00
76,Marvin Mims,DEN,PIT,PIT,2.5,40.5,4.84,2.48,34.25,0.21,0.21,1.58,0.00
77,Rashod Bateman,BAL,LV,BAL,-8.0,43.5,4.83,2.68,34.24,0.23,0.06,0.29,0.00
78,Devontez Walker,BAL,LV,BAL,-8.0,43.5,4.78,2.62,32.26,0.25,0.08,0.57,0.00
79,Jermaine Burton,CIN,KC,KC,3.5,47.5,4.67,2.56,32.32,0.23,0.06,0.58,0.00
80,Adam Thielen,CAR,LAC,LAC,3.5,42.0,4.46,3.29,32.87,0.19,0.05,0.34,0.00
81,Jalen McMillan,TB,DET,DET,6.5,48.5,4.37,2.83,29.96,0.21,0.15,1.13,0.00
82,Greg Dortch,ARI,LAR,LAR,2,48.0,4.22,3.12,30.60,0.17,0.28,1.42,0.00
83,Darius Slayton,NYG,WAS,WAS,2.5,41.5,4.13,2.13,30.79,0.17,0.06,0.28,0.00
84,Tyler Boyd,TEN,NYJ,NYJ,4,43.5,3.86,2.67,27.94,0.17,0.12,0.46,0.00
85,Odell Beckham,MIA,BUF,MIA,-2.0,50.5,3.81,2.11,26.26,0.19,0.06,0.43,0.00
86,Demarcus Robinson,LAR,ARI,LAR,-2.0,48.0,3.72,1.94,24.12,0.21,0.04,0.45,0.00
87,Kendrick Bourne,NE,SEA,SEA,3,41.0,3.70,2.12,26.74,0.16,0.11,0.65,0.00
88,Zay Jones,ARI,LAR,LAR,2,48.0,3.69,2.22,26.24,0.17,0.12,0.41,0.00
89,Elijah Moore,CLE,JAX,JAX,2,44.5,3.48,2.17,23.56,0.17,0.23,1.03,0.00
90,K.J. Osborn,NE,SEA,SEA,3,41.0,3.31,1.79,23.21,0.16,0.05,0.33,0.00
91,Javon Baker,NE,SEA,SEA,3,41.0,3.28,1.92,23.34,0.14,0.14,1.06,0.00
