,,,Week 11 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,JAX,-,-,,8.68,5.60,57.97,0.48,0.00,0.00,0.00
2,Travis Kelce,KC,BUF,-,-,,8.49,5.33,56.41,0.47,0.07,0.27,0.00
3,George Kittle,SF,SEA,-,-,,8.00,4.16,56.89,0.38,0.06,0.32,0.00
4,Mark Andrews,BAL,PIT,-,-,,7.59,4.01,50.70,0.42,0.00,0.00,0.00
5,Dalton Kincaid,BUF,KC,-,-,,6.79,4.75,49.31,0.31,0.00,0.00,0.00
6,Kyle Pitts,ATL,DEN,-,-,,6.66,3.95,49.19,0.29,0.00,0.00,0.00
7,Jake Ferguson,DAL,HOU,-,-,,5.92,4.00,41.84,0.29,0.00,0.00,0.00
8,Taysom Hill,NO,CLE,-,-,,5.85,1.33,13.69,0.12,4.84,20.83,0.24
9,David Njoku,CLE,NO,-,-,,5.63,3.66,39.47,0.28,0.00,0.00,0.00
10,Dallas Goedert,PHI,WAS,-,-,,5.53,3.86,41.54,0.23,0.00,0.00,0.00
11,Evan Engram,JAX,DET,-,-,,5.39,4.15,40.05,0.23,0.00,0.00,0.00
12,Dalton Schultz,HOU,DAL,-,-,,5.37,3.46,36.33,0.29,0.00,0.00,0.00
13,T.J. Hockenson,MIN,TEN,-,-,,5.08,3.55,36.41,0.24,0.00,0.00,0.00
14,Brock Bowers,LV,MIA,-,-,,5.00,3.14,35.00,0.25,0.00,0.00,0.00
15,Cole Kmet,CHI,GB,-,-,,4.83,3.25,33.30,0.25,0.00,0.00,0.00
16,Pat Freiermuth,PIT,BAL,-,-,,4.71,3.17,33.25,0.23,0.00,0.00,0.00
17,Luke Musgrave,GB,CHI,-,-,,3.80,2.31,26.61,0.19,0.00,0.00,0.00
18,Chigoziem Okonkwo,TEN,MIN,-,-,,3.62,2.48,25.20,0.18,0.06,0.24,0.00
19,Ben Sinnott,WAS,PHI,-,-,,3.56,2.30,24.16,0.19,0.00,0.00,0.00
20,Tucker Kraft,GB,CHI,-,-,,3.19,2.02,21.07,0.18,0.00,0.00,0.00
21,Tyler Conklin,NYJ,IND,-,-,,3.09,2.26,22.51,0.14,0.00,0.00,0.00
22,Juwan Johnson,NO,CLE,-,-,,3.06,1.81,20.35,0.17,0.00,0.00,0.00
23,Isaiah Likely,BAL,PIT,-,-,,3.05,1.89,20.93,0.16,0.00,0.00,0.00
24,Dawson Knox,BUF,KC,-,-,,3.02,1.77,19.39,0.18,0.00,0.00,0.00
25,Colby Parkinson,LAR,NE,-,-,,2.91,1.81,19.53,0.16,0.00,0.00,0.00
