,,,Week 17 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,DET,-,-,,16.89,15.10,77.91,0.70,4.30,33.95,0.25
2,Breece Hall,NYJ,BUF,-,-,,13.14,15.70,69.61,0.51,3.23,23.94,0.12
3,Bijan Robinson,ATL,WAS,-,-,,12.51,14.90,68.37,0.49,2.86,21.36,0.10
4,Jonathan Taylor,IND,NYG,-,-,,12.51,15.60,71.78,0.59,1.87,14.28,0.06
5,Saquon Barkley,PHI,DAL,-,-,,12.36,15.40,70.37,0.43,2.65,19.59,0.13
6,Kyren Williams,LAR,ARI,-,-,,12.06,13.70,65.41,0.55,2.42,18.01,0.07
7,Derrick Henry,BAL,HOU,-,-,,11.93,14.40,68.72,0.64,1.18,8.55,0.06
8,Josh Jacobs,GB,MIN,-,-,,11.28,14.10,63.98,0.49,2.17,15.79,0.06
9,Jahmyr Gibbs,DET,SF,-,-,,11.14,11.70,55.19,0.43,3.12,23.23,0.12
10,Isiah Pacheco,KC,PIT,-,-,,11.03,12.90,58.90,0.45,2.40,17.76,0.11
11,Travis Etienne,JAX,TEN,-,-,,10.94,14.20,61.18,0.41,2.66,19.99,0.06
12,Rachaad White,TB,CAR,-,-,,10.74,13.20,55.40,0.38,2.97,21.96,0.12
13,James Cook,BUF,NYJ,-,-,,9.84,11.90,54.40,0.30,2.44,18.83,0.12
14,De'Von Achane,MIA,CLE,-,-,,9.54,9.90,49.80,0.37,2.25,17.42,0.10
15,David Montgomery,DET,SF,-,-,,9.52,11.90,52.51,0.52,1.17,8.53,0.05
16,Aaron Jones,MIN,GB,-,-,,9.48,11.90,50.97,0.35,2.11,15.63,0.12
17,Kenneth Walker,SEA,CHI,-,-,,9.44,13.60,55.35,0.40,1.65,12.05,0.05
18,James Conner,ARI,LAR,-,-,,9.19,12.00,50.29,0.40,1.87,13.96,0.06
19,Nick Chubb,CLE,MIA,-,-,,9.18,11.80,53.70,0.46,0.89,6.94,0.06
20,Joe Mixon,HOU,BAL,-,-,,9.13,12.70,52.41,0.33,2.13,15.51,0.06
21,Devin Singletary,NYG,IND,-,-,,9.02,13.50,53.95,0.30,2.06,14.62,0.06
22,D'Andre Swift,CHI,SEA,-,-,,9.01,11.20,48.60,0.36,2.22,16.29,0.06
23,Najee Harris,PIT,KC,-,-,,8.83,13.30,51.74,0.37,1.48,10.78,0.06
24,Zamir White,LV,NO,-,-,,8.70,12.80,50.83,0.35,1.59,11.54,0.06
25,Rhamondre Stevenson,NE,LAC,-,-,,8.65,12.60,49.88,0.33,1.79,13.18,0.06
26,Alvin Kamara,NO,LV,-,-,,8.59,10.10,41.54,0.23,3.25,23.97,0.11
27,Zack Moss,CIN,DEN,-,-,,8.43,10.20,45.16,0.36,1.92,13.93,0.06
28,Gus Edwards,LAC,NE,-,-,,8.37,11.60,48.82,0.40,0.99,7.26,0.06
29,Tony Pollard,TEN,JAX,-,-,,8.16,11.80,49.32,0.27,1.79,13.04,0.05
30,Javonte Williams,DEN,CIN,-,-,,8.11,12.30,48.67,0.28,1.75,12.64,0.05
31,Ezekiel Elliott,DAL,PHI,-,-,,8.10,10.60,42.95,0.37,1.69,12.27,0.06
32,Raheem Mostert,MIA,CLE,-,-,,7.85,9.80,43.09,0.37,1.43,10.25,0.05
33,Jonathon Brooks,CAR,TB,-,-,,7.82,10.60,42.87,0.29,1.91,14.28,0.06
34,Chase Brown,CIN,DEN,-,-,,7.57,8.90,39.71,0.25,2.28,17.34,0.06
35,Jaylen Warren,PIT,KC,-,-,,7.35,9.10,37.48,0.21,2.27,16.77,0.11
36,Tyjae Spears,TEN,JAX,-,-,,7.30,8.30,34.69,0.20,2.61,19.15,0.12
37,Austin Ekeler,WAS,ATL,-,-,,7.26,7.70,32.06,0.24,2.49,18.89,0.12
38,Brian Robinson,WAS,ATL,-,-,,7.22,10.40,41.20,0.31,1.27,9.35,0.05
39,Zach Charbonnet,SEA,CHI,-,-,,6.45,8.10,32.97,0.24,1.83,13.53,0.06
40,Jerome Ford,CLE,MIA,-,-,,6.16,6.80,28.86,0.24,2.04,14.75,0.06
41,Blake Corum,LAR,ARI,-,-,,5.87,6.50,30.87,0.25,1.24,9.18,0.06
42,Chuba Hubbard,CAR,TB,-,-,,5.82,8.50,32.58,0.22,1.23,8.80,0.06
43,Trey Benson,ARI,LAR,-,-,,5.68,7.60,30.88,0.23,1.17,8.50,0.06
44,Tyler Allgeier,ATL,WAS,-,-,,5.22,7.30,31.54,0.16,1.05,7.42,0.06
45,Ty Chandler,MIN,GB,-,-,,4.99,6.70,26.99,0.16,1.28,9.69,0.06
46,Kendre Miller,NO,LV,-,-,,4.84,6.00,24.98,0.20,1.08,7.83,0.06
47,Jaleel McLaughlin,DEN,CIN,-,-,,4.79,6.50,26.59,0.16,1.20,8.67,0.05
48,Khalil Herbert,CHI,SEA,-,-,,4.76,6.30,27.73,0.19,0.63,4.82,0.06
49,Rico Dowdle,DAL,PHI,-,-,,4.43,5.90,24.10,0.15,1.13,8.24,0.05
50,Antonio Gibson,NE,LAC,-,-,,4.32,4.90,18.67,0.11,1.93,14.32,0.06
51,Kimani Vidal,LAC,NE,-,-,,4.22,5.50,22.73,0.20,1.01,7.46,0.00
52,Elijah Mitchell,SF,DET,-,-,,4.19,5.20,25.47,0.19,0.66,5.03,0.00
53,Ray Davis,BUF,NYJ,-,-,,4.13,5.00,22.09,0.15,0.84,6.58,0.06
54,MarShawn Lloyd,GB,MIN,-,-,,4.01,4.80,20.97,0.13,0.93,7.11,0.07
55,Dameon Pierce,HOU,BAL,-,-,,3.97,6.20,25.39,0.17,0.55,4.10,0.00
56,Roschon Johnson,CHI,SEA,-,-,,3.75,3.60,15.36,0.15,1.18,8.91,0.07
57,Alexander Mattison,LV,NO,-,-,,3.68,5.20,20.07,0.12,0.87,5.88,0.06
58,Clyde Edwards-Helaire,KC,PIT,-,-,,3.58,3.90,16.49,0.12,1.15,8.47,0.06
59,Bucky Irving,TB,CAR,-,-,,3.51,4.20,17.55,0.11,1.00,7.30,0.06
60,AJ Dillon,GB,MIN,-,-,,3.46,4.60,19.26,0.18,0.62,4.55,0.00
61,Will Shipley,PHI,DAL,-,-,,3.44,4.10,18.17,0.12,0.74,5.44,0.06
62,Braelon Allen,NYJ,BUF,-,-,,3.16,4.10,16.87,0.15,0.44,3.30,0.04
63,Deuce Vaughn,DAL,PHI,-,-,,3.12,3.20,13.43,0.09,0.94,7.00,0.09
64,Jamaal Williams,NO,LV,-,-,,3.12,4.70,19.08,0.14,0.52,3.67,0.00
65,Chris Rodriguez,WAS,ATL,-,-,,2.95,4.20,17.09,0.15,0.46,3.36,0.00
66,Jaylen Wright,MIA,CLE,-,-,,2.91,3.50,15.15,0.11,0.62,4.31,0.05
67,J.K. Dobbins,LAC,NE,-,-,,2.86,3.40,13.84,0.12,0.68,5.14,0.04
68,Isaac Guerendo,SF,DET,-,-,,2.85,3.40,15.69,0.13,0.66,4.96,0.00
69,Tyrone Tracy,NYG,IND,-,-,,2.76,3.10,12.42,0.08,0.91,6.82,0.06
70,Ty Johnson,BUF,NYJ,-,-,,2.69,2.60,11.19,0.07,1.01,7.29,0.07
71,Tank Bigsby,JAX,TEN,-,-,,2.64,3.60,15.74,0.11,0.56,4.03,0.00
72,D'Onta Foreman,CLE,MIA,-,-,,2.54,3.70,15.66,0.10,0.50,3.73,0.00
73,Emari Demercado,ARI,LAR,-,-,,2.47,2.40,9.82,0.06,1.05,7.65,0.06
74,Kenneth Gainwell,PHI,DAL,-,-,,2.46,2.60,11.20,0.06,0.84,6.21,0.06
75,Kevin Harris,NE,LAC,-,-,,2.36,3.50,13.69,0.11,0.45,3.27,0.00
76,Justice Hill,BAL,HOU,-,-,,2.36,1.80,7.89,0.06,1.17,8.52,0.06
77,Evan Hull,IND,NYG,-,-,,2.35,2.50,10.60,0.06,0.76,5.65,0.06
78,Eric Gray,NYG,IND,-,-,,2.35,3.30,13.24,0.09,0.66,4.85,0.00
79,Rasheen Ali,BAL,HOU,-,-,,2.26,3.00,13.35,0.07,0.69,5.06,0.00
80,Audric Estime,DEN,CIN,-,-,,2.13,3.10,12.25,0.10,0.46,3.07,0.00
81,Keaton Mitchell,BAL,HOU,-,-,,2.09,2.70,12.57,0.06,0.63,4.72,0.00
82,Dylan Laube,LV,NO,-,-,,1.97,2.50,9.87,0.08,0.68,4.98,0.00
83,Jase McClellan,ATL,WAS,-,-,,1.90,1.70,7.07,0.06,0.63,4.72,0.06
84,Chase Edmonds,TB,CAR,-,-,,1.83,1.80,7.42,0.06,0.98,7.30,0.00
85,Trey Sermon,IND,NYG,-,-,,1.79,2.60,11.02,0.07,0.36,2.68,0.00
86,Frank Gore,BUF,NYJ,-,-,,1.74,2.40,10.46,0.07,0.38,2.75,0.00
87,Samaje Perine,DEN,CIN,-,-,,1.73,1.50,5.72,0.04,0.95,6.78,0.04
88,Miles Sanders,CAR,TB,-,-,,1.70,2.80,10.80,0.06,0.35,2.57,0.00
89,Cam Akers,HOU,BAL,-,-,,1.57,2.60,10.21,0.07,0.20,1.33,0.00
90,DeWayne McBride,MIN,GB,-,-,,1.52,2.10,8.60,0.07,0.31,2.36,0.00
91,Craig Reynolds,DET,SF,-,-,,1.43,1.90,7.91,0.06,0.37,2.80,0.00
92,Cordarrelle Patterson,PIT,KC,-,-,,1.42,1.90,7.51,0.05,0.49,3.72,0.00
93,Michael Carter,ARI,LAR,-,-,,1.41,1.60,6.38,0.06,0.60,4.12,0.00
94,Kyle Juszczyk,SF,DET,-,-,,1.32,0.30,1.03,0.00,0.85,7.95,0.07
95,Emani Bailey,KC,PIT,-,-,,1.31,2.20,9.48,0.00,0.40,3.63,0.00
96,Jawhar Jordan,HOU,BAL,-,-,,1.31,1.90,7.68,0.06,0.24,1.79,0.00
97,Ronnie Rivers,LAR,ARI,-,-,,1.31,1.60,7.22,0.07,0.26,1.68,0.00
98,Pierre Strong,CLE,MIA,-,-,,1.23,1.50,6.46,0.06,0.29,2.19,0.00
99,Boston Scott,LAR,ARI,-,-,,1.19,1.40,6.48,0.07,0.16,1.18,0.00
100,Isaiah Spiller,LAC,NE,-,-,,1.19,1.60,6.66,0.06,0.24,1.59,0.00
101,Jeff Wilson,MIA,CLE,-,-,,1.15,1.50,6.19,0.06,0.23,1.69,0.00
102,Isaiah Davis,NYJ,BUF,-,-,,1.11,1.50,6.26,0.06,0.16,1.21,0.00
103,Israel Abanikanda,NYJ,BUF,-,-,,1.04,2.10,8.59,0.00,0.26,1.83,0.00
104,Blake Watson,DEN,CIN,-,-,,1.04,1.50,5.79,0.05,0.22,1.62,0.00
105,Matt Breida,SF,DET,-,-,,0.98,1.10,4.98,0.06,0.16,1.24,0.00
106,Zach Evans,LAR,ARI,-,-,,0.79,1.50,6.45,0.00,0.16,1.45,0.00
107,Dare Ogunbowale,HOU,BAL,-,-,,0.78,0.60,2.50,0.00,0.72,5.26,0.00
108,Raheem Blackshear,CAR,TB,-,-,,0.69,0.80,3.16,0.00,0.49,3.71,0.00
109,Ameer Abdullah,LV,NO,-,-,,0.62,0.60,2.40,0.00,0.50,3.79,0.00
110,Elijah Dotson,LAC,NE,-,-,,0.58,1.10,4.32,0.00,0.20,1.47,0.00
111,Travis Homer,CHI,SEA,-,-,,0.52,0.80,3.49,0.00,0.25,1.73,0.00
112,D'Ernest Johnson,JAX,TEN,-,-,,0.51,0.90,3.93,0.00,0.16,1.20,0.00
113,Nyheim Hines,CLE,MIA,-,-,,0.51,0.40,1.67,0.00,0.48,3.45,0.00
114,Cody Schrader,SF,DET,-,-,,0.49,0.90,4.45,0.00,0.21,0.43,0.00
115,Jordan Mason,SF,DET,-,-,,0.48,0.50,2.29,0.02,0.18,1.27,0.00
116,Emanuel Wilson,GB,MIN,-,-,,0.48,0.60,2.52,0.02,0.15,1.12,0.00
117,Malik Davis,DAL,PHI,-,-,,0.45,0.80,3.37,0.00,0.15,1.14,0.00
118,DeeJay Dallas,ARI,LAR,-,-,,0.44,0.60,2.43,0.00,0.28,1.99,0.00
119,Kenny McIntosh,SEA,CHI,-,-,,0.38,0.70,2.83,0.00,0.13,0.97,0.00
120,Kene Nwangwu,MIN,GB,-,-,,0.35,0.70,2.81,0.00,0.13,0.72,0.00
121,Sean Tucker,TB,CAR,-,-,,0.33,0.50,2.11,0.00,0.14,1.23,0.00
122,Keilan Robinson,JAX,TEN,-,-,,0.32,0.50,2.14,0.00,0.14,1.04,0.00
123,Hassan Haskins,TEN,JAX,-,-,,0.31,0.60,2.43,0.00,0.13,0.71,0.00
124,JaMycal Hasty,NE,LAC,-,-,,0.25,0.40,1.56,0.00,0.13,0.94,0.00
125,Keaontay Ingram,KC,PIT,-,-,,0.22,0.40,1.73,0.00,0.10,0.50,0.00
126,Patrick Taylor,SF,DET,-,-,,0.20,0.20,0.91,0.00,0.14,1.07,0.00
127,Tyrion Davis-Price,PHI,DAL,-,-,,0.12,0.20,0.88,0.00,0.10,0.31,0.00
128,Austin Jones,WAS,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,John Kelly,BAL,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Jermar Jefferson,DET,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Jakob Johnson,NYG,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,DJ Williams,TB,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Zonovan Knight,DET,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,SaRodorick Thompson,LAR,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Jonathan Ward,PIT,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Kairee Robinson,SEA,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Jaden Shirden,CAR,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Deneric Prince,KC,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Henry Pearson,GB,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Jordan Mims,NO,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Jeremy McNichols,WAS,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Tyreik McAllister,LV,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Lorenzo Lingard,NYG,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Tyler Badie,DEN,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Nate McCrary,GB,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Nick Bawden,HOU,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Dante Miller,NYG,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Andrew Beck,HOU,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Lew Nichols,PHI,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Khari Blasingame,CHI,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,La'Mical Perine,PIT,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Mike Boone,CAR,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Patrick Ricard,BAL,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Gary Brightwell,JAX,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Jacob Saylors,CLE,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Chris Brooks,MIA,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Carson Steele,KC,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,British Brooks,HOU,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Xazavian Valladay,NYJ,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Brittain Brown,LV,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Ian Wheeler,CHI,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Spencer Brown,ATL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Trayveon Williams,CIN,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Robert Burns,ATL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Ramon Jefferson,TB,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Michael Burton,DEN,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Terrell Jennings,NE,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Noah Cain,CIN,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Tony Jones,ARI,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Julius Chestnut,TEN,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Joshua Kelley,NYG,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Jack Colletto,PIT,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Jacob Kibodi,NO,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Chris Collier,BAL,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Kobe Lewis,SEA,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Elijah Collins,CIN,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Hunter Luepke,DAL,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Snoop Conner,DAL,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Sincere McCormick,LV,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Daijun Edwards,PIT,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Anthony McFarland,MIA,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Chris Evans,CIN,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Ellis Merriweather,GB,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Darrynton Evans,BUF,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Kendall Milton,PHI,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Demetric Felton,IND,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Chris Myarick,JAX,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Deshaun Fenwick,NE,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Jaret Patterson,LAC,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Royce Freeman,DAL,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Nathaniel Peat,DAL,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Jake Funk,DET,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Adam Prentice,NO,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Myles Gaskin,MIN,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Louis Rees-Zammit,KC,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Reggie Gilliam,BUF,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Aidan Robbins,CLE,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Tyler Goodson,IND,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,James Robinson,NO,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Troy Hairston,HOU,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Aaron Shampklin,PIT,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Hassan Hall,ARI,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,Jabari Small,TEN,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204,C.J. Ham,MIN,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,J.J. Taylor,HOU,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,George Holani,SEA,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Sione Vaki,DET,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Zander Horvath,MIA,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Ke'Shawn Vaughn,SF,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,Jarveon Howard,GB,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Carlos Washington,ATL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Mohamed Ibrahim,MIN,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Michael Wiley,WAS,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Alec Ingold,MIA,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,Avery Williams,ATL,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,Deon Jackson,NYJ,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Owen Wright,BAL,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Jalen Jackson,JAX,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
