,,,Week 18 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Josh Allen,BUF,NE,-,-,,24.29,21.73,32.90,66.0,242.27,1.62,0.84,6.50,32.92,0.54
2,Patrick Mahomes,KC,DEN,-,-,,23.70,24.13,35.40,68.2,269.58,2.02,0.74,4.10,21.61,0.12
3,Jalen Hurts,PHI,NYG,-,-,,23.59,19.42,29.00,67.0,217.26,1.38,0.66,8.90,39.09,0.66
4,Lamar Jackson,BAL,CLE,-,-,,23.15,18.50,27.30,67.8,213.23,1.52,0.61,8.90,51.03,0.32
5,C.J. Stroud,HOU,TEN,-,-,,22.27,22.51,34.10,66.0,262.85,1.99,0.72,2.70,11.70,0.12
6,Anthony Richardson,IND,JAX,-,-,,22.20,17.80,28.10,63.3,202.07,1.15,0.72,10.00,48.52,0.56
7,Dak Prescott,DAL,WAS,-,-,,21.93,23.62,33.10,71.4,255.80,1.91,0.70,3.20,14.17,0.13
8,Joe Burrow,CIN,PIT,-,-,,21.03,23.82,35.60,66.9,251.11,1.84,0.71,3.20,11.01,0.12
9,Jared Goff,DET,MIN,-,-,,20.38,23.38,33.60,69.6,262.33,1.81,0.69,1.50,3.49,0.06
10,Jordan Love,GB,CHI,-,-,,20.33,21.25,31.90,66.6,237.80,1.70,0.73,2.60,12.86,0.18
11,Matthew Stafford,LAR,SEA,-,-,,19.88,22.72,33.10,68.6,254.95,1.81,0.87,0.90,4.06,0.06
12,Brock Purdy,SF,ARI,-,-,,19.75,19.53,28.60,68.3,233.86,1.75,0.64,2.30,9.74,0.12
13,Trevor Lawrence,JAX,IND,-,-,,19.41,21.43,32.90,65.1,227.81,1.46,0.76,4.10,18.61,0.18
14,Justin Herbert,LAC,LV,-,-,,19.33,21.33,32.70,65.2,230.84,1.53,0.65,3.20,12.38,0.18
15,Kyler Murray,ARI,SF,-,-,,18.95,18.81,30.90,60.9,206.01,1.20,0.65,5.50,29.37,0.26
16,Caleb Williams,CHI,GB,-,-,,18.77,19.99,32.10,62.3,222.47,1.44,0.81,4.00,16.80,0.17
17,Aaron Rodgers,NYJ,MIA,-,-,,18.65,21.19,32.10,66.0,234.57,1.63,0.54,1.90,5.83,0.06
18,Kirk Cousins,ATL,CAR,-,-,,18.61,22.75,31.90,71.3,243.32,1.59,0.73,1.70,4.49,0.06
19,Tua Tagovailoa,MIA,NYJ,-,-,,18.38,20.17,30.80,65.5,233.81,1.65,0.68,1.90,4.07,0.06
20,Jayden Daniels,WAS,DAL,-,-,,18.16,17.03,29.10,58.5,190.26,1.12,0.78,5.80,29.69,0.33
21,Baker Mayfield,TB,NO,-,-,,17.67,20.25,31.40,64.5,220.03,1.40,0.70,3.20,11.09,0.11
22,Will Levis,TEN,HOU,-,-,,17.20,19.30,32.40,59.6,218.17,1.37,0.80,2.80,9.55,0.11
23,Deshaun Watson,CLE,BAL,-,-,,17.12,17.19,28.90,59.5,189.19,1.22,0.72,4.50,21.80,0.22
24,Geno Smith,SEA,LAR,-,-,,17.10,19.58,31.30,62.6,214.18,1.36,0.62,2.10,8.51,0.12
25,Drake Maye,NE,BUF,-,-,,16.02,17.69,29.70,59.6,191.75,1.14,0.74,3.60,15.93,0.17
26,Russell Wilson,PIT,CIN,-,-,,15.81,17.04,27.30,62.4,184.22,1.14,0.64,4.30,19.03,0.13
27,Gardner Minshew,LV,LAC,-,-,,15.71,20.43,32.50,62.9,212.97,1.15,0.77,1.80,6.92,0.09
28,Derek Carr,NO,TB,-,-,,15.33,19.89,31.20,63.8,205.04,1.24,0.62,1.80,3.77,0.06
29,Bryce Young,CAR,ATL,-,-,,14.95,17.59,30.90,56.9,192.06,1.05,0.78,2.90,12.67,0.11
30,Daniel Jones,NYG,PHI,-,-,,14.28,15.07,24.90,60.5,160.72,0.88,0.49,4.90,22.56,0.16
31,Bo Nix,DEN,KC,-,-,,12.92,14.38,23.80,60.4,149.06,0.86,0.58,4.20,17.69,0.14
32,Aidan O'Connell,LV,LAC,-,-,,5.91,8.15,13.40,60.8,86.91,0.48,0.38,0.10,0.21,0.00
33,Jimmy Garoppolo,LAR,SEA,-,-,,1.32,1.44,2.10,68.6,15.60,0.14,0.07,0.20,0.50,0.00
34,Logan Woodside,CIN,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Skylar Thompson,MIA,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Luis Perez,LAC,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Mitch Trubisky,BUF,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Nathan Peterman,LV,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Mike White,MIA,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,John Rhys Plumlee,PIT,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
