,,,Week 6 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,DET,-,-,,12.60,7.00,88.54,0.49,0.73,4.50,0.06
2,Ja'Marr Chase,CIN,NYG,-,-,,11.33,6.37,82.92,0.49,0.18,0.97,0.00
3,A.J. Brown,PHI,CLE,-,-,,11.25,5.46,82.12,0.50,0.06,0.37,0.00
4,Garrett Wilson,NYJ,BUF,-,-,,10.76,6.01,76.31,0.49,0.30,1.88,0.00
5,Amon-Ra St. Brown,DET,DAL,-,-,,10.48,6.69,77.45,0.42,0.36,2.17,0.00
6,Deebo Samuel,SF,SEA,-,-,,10.18,3.90,54.79,0.36,2.46,14.58,0.18
7,Nico Collins,HOU,NE,-,-,,9.55,4.72,69.72,0.42,0.12,0.61,0.00
8,Brandon Aiyuk,SF,SEA,-,-,,9.52,4.71,69.05,0.43,0.06,0.31,0.00
9,Drake London,ATL,CAR,-,-,,9.21,5.15,66.83,0.41,0.12,0.64,0.00
10,Chris Olave,NO,TB,-,-,,9.12,5.16,69.86,0.35,0.06,0.29,0.00
11,Tee Higgins,CIN,NYG,-,-,,9.08,4.51,64.10,0.44,0.06,0.31,0.00
12,Marvin Harrison,ARI,GB,-,-,,8.98,4.64,65.36,0.40,0.06,0.40,0.00
13,Mike Evans,TB,NO,-,-,,8.97,4.13,62.42,0.45,0.06,0.28,0.00
14,Amari Cooper,CLE,PHI,-,-,,8.83,4.30,63.39,0.41,0.06,0.29,0.00
15,DJ Moore,CHI,JAX,-,-,,8.76,4.55,61.57,0.41,0.23,1.40,0.00
16,DK Metcalf,SEA,SF,-,-,,8.67,4.17,60.02,0.44,0.06,0.28,0.00
17,DeVonta Smith,PHI,CLE,-,-,,8.52,5.16,63.25,0.36,0.06,0.36,0.00
18,Zay Flowers,BAL,WAS,-,-,,8.50,5.12,58.96,0.38,0.51,3.23,0.00
19,Stefon Diggs,HOU,NE,-,-,,8.45,4.93,59.59,0.41,0.06,0.29,0.00
20,Christian Kirk,JAX,CHI,-,-,,8.43,4.87,62.00,0.36,0.12,0.66,0.00
21,Tank Dell,HOU,NE,-,-,,8.37,4.63,58.77,0.35,0.69,3.94,0.00
22,Davante Adams,LV,PIT,-,-,,8.26,5.18,61.92,0.34,0.06,0.28,0.00
23,George Pickens,PIT,LV,-,-,,8.24,4.07,61.46,0.34,0.11,0.57,0.00
24,Jayden Reed,GB,ARI,-,-,,8.20,4.41,55.08,0.31,0.81,4.72,0.06
25,Malik Nabers,NYG,CIN,-,-,,7.96,4.30,58.35,0.34,0.11,0.85,0.00
26,Rome Odunze,CHI,JAX,-,-,,7.93,4.24,57.32,0.36,0.06,0.42,0.00
27,Michael Pittman,IND,TEN,-,-,,7.90,5.37,60.12,0.31,0.06,0.31,0.00
28,Keenan Allen,CHI,JAX,-,-,,7.75,4.97,55.23,0.36,0.12,0.65,0.00
29,Calvin Ridley,TEN,IND,-,-,,7.75,4.08,55.22,0.34,0.34,1.90,0.00
30,Chris Godwin,TB,NO,-,-,,7.40,4.95,55.71,0.28,0.23,1.48,0.00
31,Christian Watson,GB,ARI,-,-,,7.22,3.52,48.32,0.37,0.31,1.67,0.00
32,Terry McLaurin,WAS,BAL,-,-,,7.20,4.20,55.47,0.27,0.05,0.33,0.00
33,DeAndre Hopkins,TEN,IND,-,-,,6.74,4.03,48.28,0.31,0.13,0.50,0.00
34,Romeo Doubs,GB,ARI,-,-,,6.56,3.75,46.73,0.31,0.06,0.31,0.00
35,Brian Thomas,JAX,CHI,-,-,,6.45,3.60,46.21,0.29,0.12,0.88,0.00
36,Mike Williams,NYJ,BUF,-,-,,6.43,3.30,45.36,0.31,0.06,0.31,0.00
37,Dontayvion Wicks,GB,ARI,-,-,,6.42,3.23,42.18,0.35,0.21,0.98,0.00
38,Ladd McConkey,LAC,DEN,-,-,,6.38,3.56,43.40,0.33,0.06,0.61,0.00
39,Gabe Davis,JAX,CHI,-,-,,6.14,3.21,44.35,0.28,0.06,0.28,0.00
40,Jameson Williams,DET,DAL,-,-,,6.12,3.04,43.14,0.27,0.32,1.87,0.00
41,Tyler Lockett,SEA,SF,-,-,,6.08,3.64,43.68,0.28,0.06,0.28,0.00
42,Jaxon Smith-Njigba,SEA,SF,-,-,,6.00,3.89,42.00,0.29,0.12,0.58,0.00
43,Brandin Cooks,DAL,DET,-,-,,5.98,3.27,40.75,0.30,0.18,1.03,0.00
44,Courtland Sutton,DEN,LAC,-,-,,5.97,3.27,43.88,0.26,0.05,0.26,0.00
45,Keon Coleman,BUF,NYJ,-,-,,5.94,3.21,42.27,0.28,0.06,0.28,0.00
46,Khalil Shakir,BUF,NYJ,-,-,,5.92,3.49,41.38,0.29,0.06,0.46,0.00
47,Ricky Pearsall,SF,SEA,-,-,,5.74,3.13,37.71,0.31,0.18,1.04,0.00
48,Joshua Palmer,LAC,DEN,-,-,,5.69,3.03,37.92,0.31,0.05,0.36,0.00
49,Jerry Jeudy,CLE,PHI,-,-,,5.68,3.17,40.52,0.26,0.11,0.69,0.00
50,Rashid Shaheed,NO,TB,-,-,,5.65,2.95,39.77,0.23,0.45,2.95,0.00
51,Xavier Legette,CAR,ATL,-,-,,5.62,3.11,39.97,0.25,0.19,1.25,0.00
52,Curtis Samuel,BUF,NYJ,-,-,,5.62,3.30,36.74,0.20,0.66,4.47,0.05
53,Malachi Corley,NYJ,BUF,-,-,,5.58,3.46,36.46,0.28,0.42,2.49,0.00
54,Jahan Dotson,PHI,CLE,-,-,,5.52,3.05,39.57,0.25,0.08,0.66,0.00
55,Josh Downs,IND,TEN,-,-,,5.43,3.52,39.26,0.23,0.18,1.23,0.00
56,Jakobi Meyers,LV,PIT,-,-,,5.40,3.42,38.64,0.23,0.23,1.20,0.00
57,Roman Wilson,PIT,LV,-,-,,5.39,2.86,38.47,0.23,0.23,1.66,0.00
58,Adonai Mitchell,IND,TEN,-,-,,5.35,2.95,38.58,0.24,0.06,0.47,0.00
59,Troy Franklin,DEN,LAC,-,-,,5.33,2.99,36.74,0.27,0.09,0.36,0.00
60,Diontae Johnson,CAR,ATL,-,-,,5.18,3.79,39.73,0.19,0.10,0.63,0.00
61,Darnell Mooney,ATL,CAR,-,-,,5.08,2.73,36.80,0.22,0.11,0.82,0.00
62,Michael Wilson,ARI,GB,-,-,,5.05,2.72,36.39,0.23,0.06,0.28,0.00
63,Quentin Johnston,LAC,DEN,-,-,,4.99,2.86,35.78,0.23,0.06,0.35,0.00
64,Ja'Lynn Polk,NE,HOU,-,-,,4.99,3.03,35.95,0.22,0.06,0.79,0.00
65,Rashod Bateman,BAL,WAS,-,-,,4.98,2.75,35.10,0.24,0.06,0.30,0.00
66,Marvin Mims,DEN,LAC,-,-,,4.94,2.55,35.21,0.21,0.21,1.63,0.00
67,Wan'Dale Robinson,NYG,CIN,-,-,,4.93,3.23,33.07,0.22,0.56,3.07,0.00
68,DeMario Douglas,NE,HOU,-,-,,4.92,3.21,35.35,0.20,0.31,1.89,0.00
69,Jermaine Burton,CIN,NYG,-,-,,4.89,2.68,33.90,0.24,0.06,0.61,0.00
70,Devontez Walker,BAL,WAS,-,-,,4.87,2.69,33.07,0.25,0.08,0.59,0.00
71,Adam Thielen,CAR,ATL,-,-,,4.58,3.35,33.49,0.20,0.05,0.34,0.00
72,Jalen McMillan,TB,NO,-,-,,4.30,2.81,29.82,0.20,0.15,1.13,0.00
73,Darius Slayton,NYG,CIN,-,-,,4.17,2.16,31.22,0.17,0.06,0.28,0.00
74,Greg Dortch,ARI,GB,-,-,,4.04,2.99,29.39,0.16,0.27,1.36,0.00
75,Tyler Boyd,TEN,IND,-,-,,4.01,2.75,28.85,0.18,0.12,0.48,0.00
76,Kendrick Bourne,NE,HOU,-,-,,3.80,2.15,27.12,0.17,0.11,0.66,0.00
77,Zay Jones,ARI,GB,-,-,,3.58,2.13,25.21,0.17,0.11,0.39,0.00
78,Elijah Moore,CLE,PHI,-,-,,3.48,2.17,23.56,0.17,0.23,1.03,0.00
79,K.J. Osborn,NE,HOU,-,-,,3.41,1.82,23.53,0.17,0.06,0.33,0.00
80,Javon Baker,NE,HOU,-,-,,3.37,1.95,23.67,0.15,0.15,1.07,0.00
81,DJ Chark,LAC,DEN,-,-,,3.21,1.77,23.33,0.14,0.05,0.32,0.00
82,Jalen Tolbert,DAL,DET,-,-,,3.05,1.87,21.72,0.14,0.05,0.33,0.00
83,Jalin Hyatt,NYG,CIN,-,-,,3.01,1.48,22.12,0.13,0.06,0.19,0.00
84,A.T. Perry,NO,TB,-,-,,3.01,1.51,21.41,0.14,0.07,0.27,0.00
85,Marquez Valdes-Scantling,BUF,NYJ,-,-,,2.99,1.29,19.46,0.17,0.09,0.26,0.00
86,Tyler Scott,CHI,JAX,-,-,,2.96,1.63,18.47,0.15,0.45,2.15,0.00
87,Josh Reynolds,DEN,LAC,-,-,,2.82,1.68,21.35,0.11,0.06,0.28,0.00
88,Tre Tucker,LV,PIT,-,-,,2.81,1.66,17.76,0.14,0.32,1.94,0.00
89,Treylon Burks,TEN,IND,-,-,,2.76,1.52,19.70,0.11,0.27,1.29,0.00
90,Noah Brown,HOU,NE,-,-,,2.65,1.29,17.89,0.14,0.07,0.22,0.00
