,,,Week 3 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,LAR,-,-,,16.54,15.10,76.32,0.68,4.21,33.25,0.25
2,Breece Hall,NYJ,NE,-,-,,13.86,15.70,73.68,0.54,3.42,25.34,0.12
3,Jonathan Taylor,IND,CHI,-,-,,12.83,15.60,73.99,0.60,1.93,14.72,0.06
4,Bijan Robinson,ATL,KC,-,-,,12.30,14.90,67.19,0.48,2.81,20.99,0.10
5,Saquon Barkley,PHI,NO,-,-,,12.16,15.40,69.77,0.42,2.62,19.42,0.12
6,Jahmyr Gibbs,DET,ARI,-,-,,12.01,11.70,59.58,0.46,3.37,25.08,0.13
7,Derrick Henry,BAL,DAL,-,-,,11.86,14.40,68.12,0.64,1.17,8.48,0.06
8,Isiah Pacheco,KC,ATL,-,-,,11.57,12.90,61.72,0.47,2.52,18.61,0.12
9,Kyren Williams,LAR,SF,-,-,,11.31,13.70,61.39,0.51,2.28,16.90,0.07
10,Josh Jacobs,GB,TEN,-,-,,11.28,14.10,63.98,0.49,2.17,15.79,0.06
11,Rachaad White,TB,DEN,-,-,,10.58,13.20,54.69,0.37,2.93,21.67,0.12
12,Travis Etienne,JAX,BUF,-,-,,10.50,14.20,58.34,0.40,2.54,19.06,0.06
13,James Cook,BUF,JAX,-,-,,10.31,11.90,56.97,0.31,2.55,19.72,0.13
14,David Montgomery,DET,ARI,-,-,,10.31,11.90,56.68,0.56,1.27,9.21,0.06
15,De'Von Achane,MIA,SEA,-,-,,10.24,9.90,53.62,0.40,2.42,18.76,0.10
16,Kenneth Walker,SEA,MIA,-,-,,9.93,13.60,57.86,0.42,1.73,12.59,0.06
17,Joe Mixon,HOU,MIN,-,-,,9.55,12.70,54.73,0.35,2.22,16.20,0.06
18,James Conner,ARI,DET,-,-,,9.48,12.00,52.11,0.41,1.94,14.46,0.06
19,Nick Chubb,CLE,NYG,-,-,,9.44,11.80,54.87,0.47,0.91,7.10,0.07
20,Aaron Jones,MIN,HOU,-,-,,9.39,11.90,50.74,0.34,2.10,15.56,0.12
21,Najee Harris,PIT,LAC,-,-,,9.36,13.30,54.65,0.39,1.56,11.38,0.07
22,Zamir White,LV,CAR,-,-,,9.19,12.80,53.87,0.37,1.69,12.23,0.06
23,D'Andre Swift,CHI,IND,-,-,,8.73,11.20,46.94,0.35,2.15,15.74,0.06
24,Devin Singletary,NYG,CLE,-,-,,8.55,13.50,51.25,0.28,1.95,13.89,0.06
25,Raheem Mostert,MIA,SEA,-,-,,8.50,9.80,46.40,0.40,1.54,11.04,0.06
26,Zack Moss,CIN,WAS,-,-,,8.50,10.20,45.72,0.36,1.95,14.10,0.06
27,Ezekiel Elliott,DAL,BAL,-,-,,8.36,10.60,44.47,0.38,1.75,12.70,0.06
28,Alvin Kamara,NO,PHI,-,-,,8.33,10.10,40.26,0.22,3.15,23.24,0.11
29,Rhamondre Stevenson,NE,NYJ,-,-,,8.29,12.60,48.01,0.32,1.72,12.69,0.05
30,Javonte Williams,DEN,TB,-,-,,8.23,12.30,49.59,0.28,1.79,12.88,0.05
31,Gus Edwards,LAC,PIT,-,-,,8.16,11.60,47.51,0.39,0.96,7.06,0.06
32,Tony Pollard,TEN,GB,-,-,,8.07,11.80,48.65,0.27,1.76,12.86,0.05
33,Jonathon Brooks,CAR,LV,-,-,,7.87,10.60,43.27,0.29,1.93,14.42,0.06
