,,,Week 17 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,PIT,-,-,,8.38,5.28,55.93,0.46,0.07,0.26,0.00
2,Sam LaPorta,DET,SF,-,-,,8.07,5.18,53.70,0.45,0.00,0.00,0.00
3,George Kittle,SF,DET,-,-,,7.93,4.11,56.20,0.38,0.06,0.32,0.00
4,Mark Andrews,BAL,HOU,-,-,,7.74,4.08,51.59,0.43,0.00,0.00,0.00
5,Dalton Kincaid,BUF,NYJ,-,-,,6.73,4.69,48.68,0.31,0.00,0.00,0.00
6,Kyle Pitts,ATL,WAS,-,-,,6.68,3.97,49.41,0.29,0.00,0.00,0.00
7,Trey McBride,ARI,LAR,-,-,,6.47,4.61,47.28,0.29,0.00,0.00,0.00
8,Taysom Hill,NO,LV,-,-,,6.15,1.40,14.38,0.13,5.09,21.89,0.25
9,David Njoku,CLE,MIA,-,-,,5.72,3.75,40.35,0.28,0.00,0.00,0.00
10,Jake Ferguson,DAL,PHI,-,-,,5.62,3.77,39.41,0.28,0.00,0.00,0.00
11,Evan Engram,JAX,TEN,-,-,,5.59,4.29,41.46,0.24,0.00,0.00,0.00
12,Dallas Goedert,PHI,DAL,-,-,,5.37,3.76,40.51,0.22,0.00,0.00,0.00
13,Dalton Schultz,HOU,BAL,-,-,,5.34,3.43,36.01,0.29,0.00,0.00,0.00
14,T.J. Hockenson,MIN,GB,-,-,,5.05,3.52,36.09,0.24,0.00,0.00,0.00
15,Cole Kmet,CHI,SEA,-,-,,4.93,3.35,34.33,0.25,0.00,0.00,0.00
16,Brock Bowers,LV,NO,-,-,,4.92,3.13,34.84,0.24,0.00,0.00,0.00
17,Pat Freiermuth,PIT,KC,-,-,,4.60,3.13,32.79,0.22,0.00,0.00,0.00
18,Cade Otton,TB,CAR,-,-,,4.07,2.73,27.51,0.22,0.00,0.00,0.00
19,Luke Musgrave,GB,MIN,-,-,,3.96,2.39,27.57,0.20,0.00,0.00,0.00
20,Ben Sinnott,WAS,ATL,-,-,,3.73,2.41,25.28,0.20,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,JAX,-,-,,3.61,2.47,25.09,0.18,0.06,0.24,0.00
22,Tucker Kraft,GB,MIN,-,-,,3.26,2.09,21.83,0.18,0.00,0.00,0.00
23,Juwan Johnson,NO,LV,-,-,,3.22,1.91,21.39,0.18,0.00,0.00,0.00
24,Isaiah Likely,BAL,HOU,-,-,,3.15,1.93,21.30,0.17,0.00,0.00,0.00
25,Colby Parkinson,LAR,ARI,-,-,,3.07,1.90,20.45,0.17,0.00,0.00,0.00
26,Dawson Knox,BUF,NYJ,-,-,,2.99,1.75,19.14,0.18,0.00,0.00,0.00
27,Ja'Tavion Sanders,CAR,TB,-,-,,2.98,1.77,19.62,0.17,0.00,0.00,0.00
28,Tyler Conklin,NYJ,BUF,-,-,,2.90,2.12,21.18,0.13,0.00,0.00,0.00
29,Hunter Henry,NE,LAC,-,-,,2.84,1.98,19.97,0.14,0.00,0.00,0.00
30,Noah Fant,SEA,CHI,-,-,,2.77,2.03,20.50,0.12,0.00,0.00,0.00
31,Gerald Everett,CHI,SEA,-,-,,2.66,1.79,18.18,0.14,0.00,0.00,0.00
32,Michael Mayer,LV,NO,-,-,,2.63,1.74,18.52,0.13,0.00,0.00,0.00
33,Theo Johnson,NYG,IND,-,-,,2.60,1.67,17.61,0.14,0.00,0.00,0.00
34,Tanner Hudson,CIN,DEN,-,-,,2.37,1.52,15.26,0.14,0.00,0.00,0.00
35,Will Mallory,IND,NYG,-,-,,2.29,1.60,16.90,0.10,0.00,0.00,0.00
36,Noah Gray,KC,PIT,-,-,,2.27,1.45,15.50,0.12,0.00,0.00,0.00
37,Mike Gesicki,CIN,DEN,-,-,,2.26,1.46,16.01,0.11,0.00,0.00,0.00
38,Jelani Woods,IND,NYG,-,-,,2.23,1.40,15.72,0.11,0.00,0.00,0.00
39,Tyler Higbee,LAR,ARI,-,-,,2.21,1.42,14.91,0.12,0.00,0.00,0.00
40,Josh Whyle,TEN,JAX,-,-,,2.08,1.32,13.58,0.12,0.00,0.00,0.00
41,Durham Smythe,MIA,CLE,-,-,,2.07,1.28,12.94,0.13,0.00,0.00,0.00
42,Jaheim Bell,NE,LAC,-,-,,2.05,1.26,13.85,0.11,0.00,0.00,0.00
43,Cade Stover,HOU,BAL,-,-,,1.99,1.36,14.45,0.09,0.00,0.00,0.00
44,Zach Ertz,WAS,ATL,-,-,,1.95,1.49,14.09,0.09,0.00,0.00,0.00
45,Hayden Hurst,LAC,NE,-,-,,1.88,1.31,13.44,0.09,0.00,0.00,0.00
46,Greg Dulcich,DEN,CIN,-,-,,1.86,1.33,13.78,0.08,0.00,0.00,0.00
47,Brevin Jordan,HOU,BAL,-,-,,1.82,1.23,12.83,0.09,0.00,0.00,0.00
48,Donald Parham,LAC,NE,-,-,,1.65,0.87,9.29,0.12,0.00,0.00,0.00
49,Jonnu Smith,MIA,CLE,-,-,,1.60,1.05,10.63,0.09,0.00,0.00,0.00
50,Jeremy Ruckert,NYJ,BUF,-,-,,1.43,1.02,10.66,0.06,0.00,0.00,0.00
51,Tommy Tremble,CAR,TB,-,-,,1.40,0.97,10.36,0.06,0.00,0.00,0.00
52,Kylen Granson,IND,NYG,-,-,,1.37,0.99,10.09,0.06,0.00,0.00,0.00
53,Johnny Mundt,MIN,GB,-,-,,1.36,0.97,10.03,0.06,0.00,0.00,0.00
54,Davis Allen,LAR,ARI,-,-,,1.29,0.85,8.67,0.07,0.00,0.00,0.00
55,Drew Sample,CIN,DEN,-,-,,1.24,0.78,8.24,0.07,0.00,0.00,0.00
56,Tanner McLachlan,CIN,DEN,-,-,,1.23,0.78,8.05,0.07,0.00,0.00,0.00
57,Robert Tonyan,MIN,GB,-,-,,1.22,0.84,8.59,0.06,0.00,0.00,0.00
58,Elijah Higgins,ARI,LAR,-,-,,1.21,0.83,8.47,0.06,0.00,0.00,0.00
59,AJ Barner,SEA,CHI,-,-,,1.19,0.78,8.31,0.06,0.00,0.00,0.00
60,Brenton Strange,JAX,TEN,-,-,,1.19,0.83,8.32,0.06,0.00,0.00,0.00
61,Payne Durham,TB,CAR,-,-,,1.18,0.81,8.18,0.06,0.00,0.00,0.00
62,Lucas Krull,DEN,CIN,-,-,,1.18,0.82,8.79,0.05,0.00,0.00,0.00
63,Devin Culp,TB,CAR,-,-,,1.16,0.77,7.99,0.06,0.00,0.00,0.00
64,Peyton Hendershot,DAL,PHI,-,-,,1.16,0.79,7.97,0.06,0.00,0.00,0.00
65,Jared Wiley,KC,PIT,-,-,,1.15,0.74,7.89,0.06,0.00,0.00,0.00
66,Dallin Holker,NO,LV,-,-,,1.14,0.75,7.82,0.06,0.00,0.00,0.00
67,Darnell Washington,PIT,KC,-,-,,1.12,0.80,8.20,0.05,0.00,0.00,0.00
68,Adam Trautman,DEN,CIN,-,-,,1.10,0.74,7.44,0.06,0.00,0.00,0.00
69,Tip Reiman,ARI,LAR,-,-,,1.08,0.71,7.17,0.06,0.00,0.00,0.00
70,Harrison Bryant,LV,NO,-,-,,1.05,0.67,6.86,0.06,0.00,0.00,0.00
71,Irv Smith,KC,PIT,-,-,,1.02,0.62,6.58,0.06,0.00,0.00,0.00
72,Foster Moreau,NO,LV,-,-,,1.01,0.62,6.53,0.06,0.00,0.00,0.00
73,Daniel Bellinger,NYG,IND,-,-,,1.01,0.69,7.14,0.05,0.00,0.00,0.00
74,Josh Oliver,MIN,GB,-,-,,1.00,0.61,6.41,0.06,0.00,0.00,0.00
75,Brock Wright,DET,SF,-,-,,0.97,0.62,6.10,0.06,0.00,0.00,0.00
76,Mo Alie-Cox,IND,NYG,-,-,,0.97,0.57,6.11,0.06,0.00,0.00,0.00
77,Will Dissly,LAC,NE,-,-,,0.93,0.56,5.73,0.06,0.00,0.00,0.00
78,Jody Fortson,MIA,CLE,-,-,,0.93,0.54,5.69,0.06,0.00,0.00,0.00
79,Jack Stoll,NYG,IND,-,-,,0.92,0.53,5.64,0.06,0.00,0.00,0.00
