,,Week 6 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,BAL,WAS,-,-,,7.30,19.25,302.74,2.98,0.89,0.63,0.06,0.13,0.06,0.00,0.00
2,NYJ,BUF,-,-,,7.15,23.00,373.00,2.91,0.91,0.61,0.06,0.12,0.06,0.00,0.00
3,SF,SEA,-,-,,7.12,20.75,318.20,2.91,0.87,0.62,0.06,0.12,0.06,0.00,0.00
4,DAL,DET,-,-,,7.09,24.00,381.01,2.85,0.91,0.61,0.06,0.12,0.06,0.00,0.00
5,CLE,PHI,-,-,,6.30,24.25,360.01,2.52,0.74,0.57,0.06,0.11,0.06,0.00,0.00
6,PIT,LV,-,-,,6.27,20.50,390.75,2.59,0.75,0.52,0.06,0.12,0.06,0.00,0.00
7,HOU,NE,-,-,,6.22,19.75,295.10,2.60,0.78,0.60,0.06,0.06,0.06,0.00,0.00
8,DET,DAL,-,-,,6.19,24.50,359.31,2.59,0.84,0.54,0.06,0.06,0.06,0.00,0.00
9,GB,ARI,-,-,,6.13,20.75,343.84,2.54,0.81,0.56,0.06,0.06,0.06,0.00,0.00
10,PHI,CLE,-,-,,6.10,21.25,321.70,2.60,0.78,0.54,0.06,0.06,0.06,0.00,0.00
11,BUF,NYJ,-,-,,6.03,24.50,355.63,2.48,0.83,0.53,0.06,0.06,0.06,0.00,0.00
12,CIN,NYG,-,-,,5.97,20.25,271.90,2.44,0.79,0.55,0.06,0.06,0.06,0.00,0.00
13,CHI,JAX,-,-,,5.93,24.25,340.42,2.49,0.77,0.53,0.06,0.06,0.06,0.00,0.00
14,JAX,CHI,-,-,,5.92,23.25,344.56,2.54,0.72,0.54,0.06,0.06,0.06,0.00,0.00
15,ATL,CAR,-,-,,5.87,20.25,302.29,2.39,0.78,0.54,0.06,0.06,0.06,0.00,0.00
16,SEA,SF,-,-,,5.73,25.75,400.87,2.44,0.74,0.51,0.06,0.06,0.06,0.00,0.00
17,NO,TB,-,-,,5.71,20.75,305.32,2.33,0.76,0.52,0.06,0.06,0.06,0.00,0.00
18,LAC,DEN,-,-,,5.68,20.50,276.31,2.40,0.70,0.53,0.06,0.06,0.06,0.00,0.00
19,IND,TEN,-,-,,5.61,21.50,321.81,2.30,0.71,0.53,0.06,0.06,0.06,0.00,0.00
20,LV,PIT,-,-,,5.59,21.50,310.83,2.43,0.68,0.51,0.06,0.06,0.06,0.00,0.00
21,TB,NO,-,-,,5.56,22.25,332.00,2.27,0.74,0.51,0.06,0.06,0.06,0.00,0.00
22,TEN,IND,-,-,,5.47,23.00,341.89,2.24,0.69,0.52,0.06,0.06,0.06,0.00,0.00
23,NE,HOU,-,-,,5.40,24.25,384.25,2.28,0.67,0.50,0.06,0.06,0.06,0.00,0.00
24,CAR,ATL,-,-,,5.34,23.75,347.56,2.19,0.67,0.51,0.06,0.06,0.06,0.00,0.00
25,NYG,CIN,-,-,,5.34,24.75,358.64,2.31,0.62,0.51,0.06,0.06,0.06,0.00,0.00
26,DEN,LAC,-,-,,5.31,22.50,345.76,2.15,0.68,0.51,0.06,0.06,0.06,0.00,0.00
27,ARI,GB,-,-,,5.28,25.75,374.66,2.10,0.68,0.51,0.06,0.06,0.06,0.00,0.00
28,WAS,BAL,-,-,,5.24,27.25,390.78,2.15,0.66,0.50,0.06,0.06,0.06,0.00,0.00
