,,,Week 9 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,BUF,-,-,,12.79,6.71,93.37,0.54,0.30,2.16,0.00
2,CeeDee Lamb,DAL,ATL,-,-,,12.60,7.00,88.54,0.49,0.73,4.50,0.06
3,Ja'Marr Chase,CIN,LV,-,-,,11.57,6.50,84.68,0.50,0.19,0.99,0.00
4,A.J. Brown,PHI,JAX,-,-,,11.39,5.55,83.53,0.50,0.06,0.38,0.00
5,Justin Jefferson,MIN,IND,-,-,,11.35,6.40,86.95,0.43,0.12,0.73,0.00
6,Garrett Wilson,NYJ,HOU,-,-,,10.63,5.96,75.66,0.48,0.30,1.87,0.00
7,Amon-Ra St. Brown,DET,GB,-,-,,10.45,6.66,77.11,0.42,0.36,2.16,0.00
8,Puka Nacua,LAR,SEA,-,-,,10.44,5.68,76.03,0.43,0.49,2.53,0.00
9,Marvin Harrison,ARI,CHI,-,-,,9.34,4.81,67.75,0.42,0.06,0.42,0.00
10,Tee Higgins,CIN,LV,-,-,,9.28,4.61,65.46,0.45,0.06,0.32,0.00
11,Drake London,ATL,DAL,-,-,,9.18,5.12,66.55,0.41,0.12,0.64,0.00
12,Amari Cooper,CLE,LAC,-,-,,9.12,4.45,65.68,0.42,0.06,0.30,0.00
13,Nico Collins,HOU,NYJ,-,-,,9.04,4.46,65.84,0.40,0.11,0.57,0.00
14,DK Metcalf,SEA,LAR,-,-,,8.98,4.30,61.93,0.46,0.06,0.29,0.00
15,Cooper Kupp,LAR,SEA,-,-,,8.96,5.33,63.49,0.41,0.24,1.54,0.00
16,Jaylen Waddle,MIA,BUF,-,-,,8.89,4.90,66.82,0.35,0.18,1.12,0.00
17,Chris Olave,NO,CAR,-,-,,8.87,5.02,68.00,0.34,0.06,0.29,0.00
18,Mike Evans,TB,KC,-,-,,8.82,4.07,61.56,0.44,0.06,0.28,0.00
19,DJ Moore,CHI,ARI,-,-,,8.81,4.59,62.11,0.41,0.24,1.41,0.00
20,DeVonta Smith,PHI,JAX,-,-,,8.69,5.25,64.34,0.37,0.06,0.37,0.00
21,Jordan Addison,MIN,IND,-,-,,8.55,4.40,60.92,0.39,0.19,1.16,0.00
22,Zay Flowers,BAL,DEN,-,-,,8.45,5.08,58.48,0.38,0.50,3.20,0.00
23,Malik Nabers,NYG,WAS,-,-,,8.18,4.42,59.96,0.35,0.12,0.87,0.00
24,Jayden Reed,GB,DET,-,-,,8.15,4.38,54.62,0.31,0.80,4.68,0.06
25,Christian Kirk,JAX,PHI,-,-,,8.10,4.66,59.35,0.35,0.12,0.63,0.00
26,Davante Adams,LV,CIN,-,-,,8.03,5.04,60.22,0.33,0.06,0.28,0.00
27,Stefon Diggs,HOU,NYJ,-,-,,8.00,4.65,56.27,0.39,0.06,0.28,0.00
28,Rome Odunze,CHI,ARI,-,-,,7.98,4.27,57.82,0.36,0.06,0.42,0.00
29,Tank Dell,HOU,NYJ,-,-,,7.90,4.37,55.49,0.33,0.66,3.72,0.00
30,Michael Pittman,IND,MIN,-,-,,7.82,5.35,59.86,0.30,0.06,0.30,0.00
31,Keenan Allen,CHI,ARI,-,-,,7.80,5.02,55.71,0.36,0.12,0.66,0.00
32,Calvin Ridley,TEN,NE,-,-,,7.78,4.10,55.46,0.34,0.34,1.91,0.00
33,Rashee Rice,KC,TB,-,-,,7.45,4.91,53.00,0.35,0.12,0.52,0.00
34,Xavier Worthy,KC,TB,-,-,,7.45,3.84,51.53,0.36,0.18,1.32,0.00
35,Terry McLaurin,WAS,NYG,-,-,,7.36,4.27,56.51,0.28,0.06,0.33,0.00
36,Chris Godwin,TB,KC,-,-,,7.32,4.88,54.94,0.28,0.22,1.46,0.00
37,Christian Watson,GB,DET,-,-,,7.18,3.49,47.92,0.37,0.31,1.65,0.00
38,Marquise Brown,KC,TB,-,-,,7.09,3.69,51.45,0.31,0.19,0.88,0.00
39,DeAndre Hopkins,TEN,NE,-,-,,6.82,4.05,48.49,0.32,0.13,0.51,0.00
40,Romeo Doubs,GB,DET,-,-,,6.46,3.71,46.34,0.30,0.06,0.30,0.00
41,Dontayvion Wicks,GB,DET,-,-,,6.38,3.20,41.83,0.35,0.21,0.97,0.00
42,Keon Coleman,BUF,MIA,-,-,,6.35,3.43,45.23,0.30,0.06,0.30,0.00
43,Khalil Shakir,BUF,MIA,-,-,,6.34,3.74,44.28,0.31,0.06,0.49,0.00
44,Mike Williams,NYJ,HOU,-,-,,6.33,3.27,44.97,0.30,0.06,0.30,0.00
45,Tyler Lockett,SEA,LAR,-,-,,6.28,3.76,45.07,0.29,0.06,0.29,0.00
46,Brian Thomas,JAX,PHI,-,-,,6.19,3.44,44.23,0.28,0.11,0.85,0.00
47,Jaxon Smith-Njigba,SEA,LAR,-,-,,6.19,4.02,43.34,0.30,0.12,0.60,0.00
