,,Week 3 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,NYJ,NE,-,-,,7.19,17.25,281.40,2.92,0.91,0.61,0.06,0.12,0.06,0.00,0.00
2,SF,LAR,-,-,,7.12,23.25,376.20,2.91,0.87,0.62,0.06,0.12,0.06,0.00,0.00
3,DAL,BAL,-,-,,7.09,23.50,366.91,2.85,0.91,0.61,0.06,0.12,0.06,0.00,0.00
4,KC,ATL,-,-,,7.03,23.00,343.05,2.80,0.87,0.62,0.06,0.12,0.06,0.00,0.00
5,BAL,DAL,-,-,,6.85,24.50,359.31,2.80,0.83,0.60,0.06,0.12,0.06,0.00,0.00
6,CLE,NYG,-,-,,6.67,18.00,260.64,2.67,0.79,0.61,0.06,0.12,0.06,0.00,0.00
7,DET,ARI,-,-,,6.51,23.00,357.94,2.72,0.89,0.57,0.06,0.06,0.06,0.00,0.00
8,BUF,JAX,-,-,,6.42,22.25,328.76,2.64,0.88,0.57,0.06,0.06,0.06,0.00,0.00
9,PIT,LAC,-,-,,6.36,20.25,332.02,2.62,0.76,0.52,0.06,0.12,0.06,0.00,0.00
10,MIA,SEA,-,-,,6.35,23.50,334.14,2.65,0.80,0.62,0.06,0.06,0.06,0.00,0.00
11,HOU,MIN,-,-,,6.30,21.50,92.33,2.63,0.79,0.61,0.06,0.06,0.06,0.00,0.00
12,CIN,WAS,-,-,,6.25,20.50,309.83,2.55,0.83,0.57,0.06,0.06,0.06,0.00,0.00
13,PHI,NO,-,-,,6.07,21.00,324.64,2.59,0.78,0.54,0.06,0.06,0.06,0.00,0.00
14,SEA,MIA,-,-,,6.02,25.50,386.31,2.56,0.77,0.54,0.06,0.06,0.06,0.00,0.00
15,GB,TEN,-,-,,5.93,20.25,314.58,2.45,0.78,0.54,0.06,0.06,0.06,0.00,0.00
16,LV,CAR,-,-,,5.90,19.50,298.12,2.56,0.72,0.54,0.06,0.06,0.06,0.00,0.00
17,CHI,IND,-,-,,5.86,24.50,350.87,2.46,0.76,0.53,0.06,0.06,0.06,0.00,0.00
18,TB,DEN,-,-,,5.82,19.75,272.52,2.37,0.77,0.53,0.06,0.06,0.06,0.00,0.00
19,ATL,KC,-,-,,5.79,26.00,404.77,2.36,0.77,0.53,0.06,0.06,0.06,0.00,0.00
20,IND,CHI,-,-,,5.76,22.50,340.06,2.36,0.73,0.55,0.06,0.06,0.06,0.00,0.00
21,LAR,SF,-,-,,5.76,25.75,400.87,2.43,0.71,0.53,0.06,0.06,0.06,0.00,0.00
22,JAX,BUF,-,-,,5.71,26.75,397.48,2.45,0.70,0.52,0.06,0.06,0.06,0.00,0.00
23,MIN,HOU,-,-,,5.70,25.00,389.19,2.47,0.69,0.52,0.06,0.06,0.06,0.00,0.00
24,NO,PHI,-,-,,5.59,24.00,358.47,2.28,0.74,0.51,0.06,0.06,0.06,0.00,0.00
25,ARI,DET,-,-,,5.49,27.00,400.67,2.19,0.71,0.53,0.06,0.06,0.06,0.00,0.00
26,LAC,PIT,-,-,,5.46,22.25,315.02,2.31,0.67,0.51,0.06,0.06,0.06,0.00,0.00
27,WAS,CIN,-,-,,5.37,27.50,375.39,2.20,0.68,0.51,0.06,0.06,0.06,0.00,0.00
28,TEN,GB,-,-,,5.34,23.75,362.15,2.19,0.67,0.51,0.06,0.06,0.06,0.00,0.00
29,CAR,LV,-,-,,5.27,23.50,412.21,2.16,0.67,0.50,0.06,0.06,0.06,0.00,0.00
30,DEN,TB,-,-,,5.24,23.25,319.23,2.12,0.67,0.50,0.06,0.06,0.06,0.00,0.00
31,NE,NYJ,-,-,,5.15,24.75,357.15,2.18,0.64,0.48,0.05,0.05,0.05,0.00,0.00
32,NYG,CLE,-,-,,5.12,24.50,340.58,2.21,0.59,0.49,0.05,0.05,0.05,0.00,0.00
