,,,Week 18 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,WAS,-,-,,12.90,7.18,90.81,0.50,0.75,4.62,0.06
2,Tyreek Hill,MIA,NYJ,-,-,,12.12,6.37,88.55,0.51,0.28,2.05,0.00
3,A.J. Brown,PHI,NYG,-,-,,11.15,5.43,81.77,0.49,0.06,0.37,0.00
4,Amon-Ra St. Brown,DET,MIN,-,-,,10.91,6.95,80.45,0.44,0.38,2.25,0.00
5,Puka Nacua,LAR,SEA,-,-,,10.86,5.90,78.97,0.45,0.51,2.63,0.00
6,Ja'Marr Chase,CIN,PIT,-,-,,10.79,6.10,79.40,0.46,0.17,0.93,0.00
7,Justin Jefferson,MIN,DET,-,-,,10.71,6.07,82.44,0.40,0.12,0.69,0.00
8,Garrett Wilson,NYJ,MIA,-,-,,10.63,5.96,75.66,0.48,0.30,1.87,0.00
9,Deebo Samuel,SF,ARI,-,-,,9.80,3.75,52.73,0.35,2.37,14.03,0.17
10,Drake London,ATL,CAR,-,-,,9.59,5.35,69.43,0.43,0.12,0.67,0.00
11,Nico Collins,HOU,TEN,-,-,,9.52,4.70,69.42,0.42,0.12,0.60,0.00
12,Cooper Kupp,LAR,SEA,-,-,,9.33,5.53,65.94,0.43,0.25,1.60,0.00
13,Mike Evans,TB,NO,-,-,,9.26,4.28,64.69,0.46,0.06,0.29,0.00
14,Brandon Aiyuk,SF,ARI,-,-,,9.20,4.54,66.45,0.42,0.06,0.30,0.00
15,Chris Olave,NO,TB,-,-,,8.81,4.97,67.38,0.34,0.06,0.28,0.00
16,Marvin Harrison,ARI,SF,-,-,,8.77,4.53,63.88,0.39,0.06,0.39,0.00
17,Tee Higgins,CIN,PIT,-,-,,8.69,4.32,61.37,0.42,0.06,0.30,0.00
18,DK Metcalf,SEA,LAR,-,-,,8.67,4.17,60.02,0.44,0.06,0.28,0.00
19,Amari Cooper,CLE,BAL,-,-,,8.62,4.20,61.96,0.40,0.06,0.28,0.00
20,DJ Moore,CHI,GB,-,-,,8.51,4.41,59.69,0.40,0.23,1.36,0.00
21,DeVonta Smith,PHI,NYG,-,-,,8.49,5.14,62.98,0.36,0.06,0.36,0.00
22,Jaylen Waddle,MIA,NYJ,-,-,,8.48,4.65,63.37,0.34,0.17,1.06,0.00
23,Stefon Diggs,HOU,TEN,-,-,,8.42,4.91,59.33,0.41,0.06,0.29,0.00
24,Davante Adams,LV,LAC,-,-,,8.41,5.25,62.77,0.35,0.06,0.29,0.00
25,Tank Dell,HOU,TEN,-,-,,8.34,4.61,58.51,0.35,0.69,3.92,0.00
26,George Pickens,PIT,CIN,-,-,,8.22,4.05,61.18,0.34,0.11,0.57,0.00
27,Christian Kirk,JAX,IND,-,-,,8.15,4.70,59.88,0.35,0.12,0.64,0.00
28,Jordan Addison,MIN,DET,-,-,,8.11,4.17,57.76,0.37,0.18,1.10,0.00
29,Zay Flowers,BAL,CLE,-,-,,8.10,4.89,56.32,0.36,0.48,3.08,0.00
30,Michael Pittman,IND,JAX,-,-,,8.04,5.49,61.44,0.31,0.06,0.31,0.00
31,Jayden Reed,GB,CHI,-,-,,8.02,4.32,53.93,0.30,0.79,4.63,0.06
32,Malik Nabers,NYG,PHI,-,-,,7.76,4.20,57.01,0.33,0.11,0.83,0.00
33,Rome Odunze,CHI,GB,-,-,,7.70,4.11,55.58,0.35,0.06,0.40,0.00
34,Chris Godwin,TB,NO,-,-,,7.67,5.13,57.74,0.29,0.24,1.53,0.00
