,,,Week 3 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,ATL,-,-,,8.77,5.54,58.61,0.48,0.07,0.28,0.00
2,Sam LaPorta,DET,ARI,-,-,,8.68,5.60,57.97,0.48,0.00,0.00,0.00
3,George Kittle,SF,LAR,-,-,,7.76,4.03,55.05,0.37,0.06,0.31,0.00
4,Mark Andrews,BAL,DAL,-,-,,7.63,4.05,51.14,0.42,0.00,0.00,0.00
5,Dalton Kincaid,BUF,JAX,-,-,,7.02,4.91,50.99,0.32,0.00,0.00,0.00
6,Trey McBride,ARI,DET,-,-,,6.70,4.78,48.99,0.30,0.00,0.00,0.00
7,Kyle Pitts,ATL,KC,-,-,,6.60,3.90,48.56,0.29,0.00,0.00,0.00
8,Taysom Hill,NO,PHI,-,-,,5.97,1.36,13.94,0.12,4.93,21.22,0.25
9,David Njoku,CLE,NYG,-,-,,5.86,3.83,41.22,0.29,0.00,0.00,0.00
10,Jake Ferguson,DAL,BAL,-,-,,5.82,3.90,40.80,0.29,0.00,0.00,0.00
11,Dalton Schultz,HOU,MIN,-,-,,5.56,3.58,37.60,0.30,0.00,0.00,0.00
12,Dallas Goedert,PHI,NO,-,-,,5.34,3.73,40.16,0.22,0.00,0.00,0.00
13,Evan Engram,JAX,BUF,-,-,,5.27,4.09,39.53,0.22,0.00,0.00,0.00
14,Brock Bowers,LV,CAR,-,-,,5.25,3.31,36.92,0.26,0.00,0.00,0.00
15,T.J. Hockenson,MIN,HOU,-,-,,5.03,3.50,35.92,0.24,0.00,0.00,0.00
16,Pat Freiermuth,PIT,LAC,-,-,,4.90,3.30,34.63,0.24,0.00,0.00,0.00
17,Cole Kmet,CHI,IND,-,-,,4.76,3.24,33.16,0.24,0.00,0.00,0.00
18,Cade Otton,TB,DEN,-,-,,4.04,2.70,27.16,0.22,0.00,0.00,0.00
19,Luke Musgrave,GB,TEN,-,-,,3.96,2.39,27.57,0.20,0.00,0.00,0.00
20,Ben Sinnott,WAS,CIN,-,-,,3.60,2.35,24.61,0.19,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,GB,-,-,,3.58,2.43,24.75,0.18,0.06,0.24,0.00
22,Tucker Kraft,GB,TEN,-,-,,3.26,2.09,21.83,0.18,0.00,0.00,0.00
