,,,Week 16 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,MIA,-,-,,16.28,15.10,75.36,0.67,4.16,32.84,0.24
2,Breece Hall,NYJ,LAR,-,-,,14.07,15.70,74.30,0.55,3.45,25.56,0.13
3,Jonathan Taylor,IND,TEN,-,-,,12.93,15.60,74.31,0.61,1.94,14.79,0.06
4,Bijan Robinson,ATL,NYG,-,-,,12.65,14.90,68.96,0.50,2.89,21.54,0.10
5,Saquon Barkley,PHI,WAS,-,-,,12.16,15.40,69.77,0.42,2.62,19.42,0.12
6,Derrick Henry,BAL,PIT,-,-,,12.02,14.40,69.01,0.65,1.18,8.59,0.06
7,Isiah Pacheco,KC,HOU,-,-,,11.54,12.90,61.47,0.47,2.51,18.53,0.12
8,Josh Jacobs,GB,NO,-,-,,11.51,14.10,65.36,0.50,2.21,16.14,0.06
9,Jahmyr Gibbs,DET,CHI,-,-,,11.41,11.70,56.66,0.44,3.20,23.85,0.12
10,Kyren Williams,LAR,NYJ,-,-,,11.11,13.70,60.32,0.51,2.24,16.61,0.06
11,Travis Etienne,JAX,LV,-,-,,10.64,14.20,59.37,0.40,2.58,19.40,0.06
12,James Cook,BUF,NE,-,-,,10.28,11.90,56.74,0.31,2.54,19.64,0.13
13,Rachaad White,TB,DAL,-,-,,10.16,13.20,52.54,0.36,2.81,20.82,0.11
14,De'Von Achane,MIA,SF,-,-,,10.00,9.90,52.27,0.39,2.36,18.28,0.10
15,Kenneth Walker,SEA,MIN,-,-,,9.96,13.60,58.11,0.42,1.73,12.65,0.06
16,David Montgomery,DET,CHI,-,-,,9.75,11.90,53.90,0.53,1.20,8.76,0.05
17,James Conner,ARI,CAR,-,-,,9.57,12.00,52.34,0.42,1.95,14.53,0.06
18,Aaron Jones,MIN,SEA,-,-,,9.48,11.90,50.97,0.35,2.11,15.63,0.12
19,Zamir White,LV,JAX,-,-,,9.05,12.80,52.70,0.37,1.65,11.96,0.06
20,Joe Mixon,HOU,KC,-,-,,8.92,12.70,51.26,0.33,2.08,15.17,0.05
21,Devin Singletary,NYG,ATL,-,-,,8.86,13.50,53.22,0.29,2.03,14.42,0.06
22,Nick Chubb,CLE,CIN,-,-,,8.83,11.80,51.59,0.44,0.86,6.67,0.06
23,D'Andre Swift,CHI,DET,-,-,,8.78,11.20,47.35,0.35,2.17,15.88,0.06
24,Najee Harris,PIT,BAL,-,-,,8.72,13.30,50.77,0.37,1.45,10.58,0.06
25,Gus Edwards,LAC,DEN,-,-,,8.66,11.60,50.35,0.42,1.02,7.48,0.06
26,Ezekiel Elliott,DAL,TB,-,-,,8.58,10.60,45.23,0.39,1.78,12.92,0.07
27,Rhamondre Stevenson,NE,BUF,-,-,,8.38,12.60,48.72,0.32,1.75,12.87,0.05
28,Raheem Mostert,MIA,SF,-,-,,8.30,9.80,45.23,0.39,1.51,10.76,0.06
29,Jonathon Brooks,CAR,ARI,-,-,,8.29,10.60,45.49,0.31,2.02,15.16,0.06
30,Alvin Kamara,NO,GB,-,-,,8.21,10.10,39.53,0.22,3.09,22.81,0.11
31,Javonte Williams,DEN,LAC,-,-,,8.20,12.30,49.36,0.28,1.78,12.82,0.05
32,Tony Pollard,TEN,IND,-,-,,8.13,11.80,49.10,0.27,1.78,12.98,0.05
33,Zack Moss,CIN,CLE,-,-,,8.09,10.20,43.49,0.34,1.85,13.42,0.06
34,Chase Brown,CIN,CLE,-,-,,7.29,8.90,38.24,0.24,2.19,16.70,0.06
35,Tyjae Spears,TEN,IND,-,-,,7.28,8.30,34.53,0.20,2.60,19.06,0.12
36,Jaylen Warren,PIT,BAL,-,-,,7.18,9.10,36.78,0.21,2.23,16.45,0.10
37,Austin Ekeler,WAS,PHI,-,-,,7.10,7.70,31.48,0.23,2.44,18.55,0.12
38,Brian Robinson,WAS,PHI,-,-,,7.07,10.40,40.47,0.30,1.25,9.19,0.05
39,Zach Charbonnet,SEA,MIN,-,-,,6.74,8.10,34.62,0.25,1.92,14.21,0.06
40,Chuba Hubbard,CAR,ARI,-,-,,6.13,8.50,34.57,0.23,1.31,9.34,0.06
41,Jerome Ford,CLE,CIN,-,-,,5.93,6.80,27.73,0.23,1.96,14.17,0.06
42,Trey Benson,ARI,CAR,-,-,,5.90,7.60,32.14,0.24,1.22,8.85,0.06
43,Blake Corum,LAR,NYJ,-,-,,5.43,6.50,28.48,0.23,1.14,8.46,0.06
44,Tyler Allgeier,ATL,NYG,-,-,,5.31,7.30,31.81,0.17,1.06,7.48,0.06
45,Ty Chandler,MIN,SEA,-,-,,4.99,6.70,26.99,0.16,1.28,9.69,0.06
46,Jaleel McLaughlin,DEN,LAC,-,-,,4.96,6.50,26.97,0.17,1.22,8.79,0.06
47,Khalil Herbert,CHI,DET,-,-,,4.67,6.30,27.02,0.19,0.62,4.70,0.06
48,Rico Dowdle,DAL,TB,-,-,,4.67,5.90,25.38,0.16,1.19,8.68,0.05
49,Kendre Miller,NO,GB,-,-,,4.62,6.00,23.77,0.19,1.03,7.45,0.06
50,Ray Davis,BUF,NE,-,-,,4.31,5.00,23.04,0.16,0.88,6.86,0.06
51,Kimani Vidal,LAC,DEN,-,-,,4.31,5.50,23.45,0.20,1.04,7.69,0.00
52,Antonio Gibson,NE,BUF,-,-,,4.18,4.90,18.23,0.11,1.88,13.99,0.05
53,MarShawn Lloyd,GB,NO,-,-,,4.07,4.80,21.42,0.13,0.95,7.26,0.07
54,Elijah Mitchell,SF,MIA,-,-,,4.03,5.20,24.63,0.18,0.64,4.86,0.00
55,Dameon Pierce,HOU,KC,-,-,,3.90,6.20,24.83,0.17,0.54,4.01,0.00
56,Alexander Mattison,LV,JAX,-,-,,3.83,5.20,20.81,0.13,0.90,6.09,0.06
57,Clyde Edwards-Helaire,KC,HOU,-,-,,3.74,3.90,17.20,0.13,1.20,8.84,0.06
58,Roschon Johnson,CHI,DET,-,-,,3.63,3.60,14.97,0.14,1.15,8.68,0.07
59,AJ Dillon,GB,NO,-,-,,3.51,4.60,19.68,0.18,0.64,4.65,0.00
60,Will Shipley,PHI,WAS,-,-,,3.42,4.10,18.02,0.12,0.74,5.40,0.06
61,Braelon Allen,NYJ,LAR,-,-,,3.35,4.10,18.01,0.16,0.47,3.52,0.04
62,Bucky Irving,TB,DAL,-,-,,3.26,4.20,16.65,0.10,0.95,6.93,0.05
63,Deuce Vaughn,DAL,TB,-,-,,3.23,3.20,14.14,0.09,0.99,7.37,0.09
64,Jaylen Wright,MIA,SF,-,-,,3.00,3.50,15.90,0.11,0.65,4.52,0.05
65,Jamaal Williams,NO,GB,-,-,,2.95,4.70,18.16,0.13,0.50,3.50,0.00
66,J.K. Dobbins,LAC,DEN,-,-,,2.92,3.40,14.27,0.12,0.70,5.31,0.04
67,Chris Rodriguez,WAS,PHI,-,-,,2.85,4.20,16.78,0.14,0.45,3.30,0.00
68,Ty Johnson,BUF,NE,-,-,,2.83,2.60,11.67,0.07,1.05,7.60,0.08
69,Tyrone Tracy,NYG,ATL,-,-,,2.74,3.10,12.25,0.08,0.90,6.73,0.06
70,Isaac Guerendo,SF,MIA,-,-,,2.72,3.40,15.17,0.12,0.64,4.80,0.00
71,Emari Demercado,ARI,CAR,-,-,,2.60,2.40,10.22,0.07,1.09,7.96,0.06
72,Tank Bigsby,JAX,LV,-,-,,2.58,3.60,15.27,0.11,0.54,3.91,0.00
73,D'Onta Foreman,CLE,CIN,-,-,,2.46,3.70,15.04,0.10,0.48,3.59,0.00
74,Kenneth Gainwell,PHI,WAS,-,-,,2.45,2.60,11.10,0.06,0.83,6.15,0.06
75,Evan Hull,IND,TEN,-,-,,2.40,2.50,10.97,0.06,0.79,5.85,0.06
76,Justice Hill,BAL,PIT,-,-,,2.37,1.80,7.93,0.06,1.17,8.56,0.06
77,Eric Gray,NYG,ATL,-,-,,2.33,3.30,13.06,0.09,0.65,4.79,0.00
78,Kevin Harris,NE,BUF,-,-,,2.32,3.50,13.37,0.11,0.44,3.19,0.00
79,Rasheen Ali,BAL,PIT,-,-,,2.27,3.00,13.41,0.07,0.69,5.08,0.00
80,Audric Estime,DEN,LAC,-,-,,2.15,3.10,12.42,0.10,0.47,3.11,0.00
81,Keaton Mitchell,BAL,PIT,-,-,,2.10,2.70,12.62,0.06,0.63,4.74,0.00
82,Dylan Laube,LV,JAX,-,-,,2.02,2.50,10.23,0.08,0.70,5.16,0.00
83,Jase McClellan,ATL,NYG,-,-,,1.91,1.70,7.13,0.06,0.63,4.76,0.06
84,Frank Gore,BUF,NE,-,-,,1.86,2.40,10.91,0.08,0.40,2.86,0.00
