,,,Week 1 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,NYJ,SF,-4.0,44.0,16.04,15.10,74.09,0.66,4.09,32.28,0.24
2,Breece Hall,NYJ,SF,SF,4,44.0,12.76,15.70,67.73,0.50,3.14,23.30,0.11
3,Jonathan Taylor,IND,HOU,HOU,2,49.0,12.62,15.60,72.73,0.59,1.90,14.47,0.06
4,Bijan Robinson,ATL,PIT,ATL,-3.0,41.5,12.49,14.90,66.31,0.48,3.11,23.22,0.11
5,Saquon Barkley,PHI,GB,PHI,-2.0,48.5,12.47,15.40,71.27,0.43,2.68,19.84,0.13
6,Kyren Williams,LAR,DET,DET,3.5,51.0,12.37,15.10,68.26,0.57,2.30,17.05,0.07
7,Derrick Henry,BAL,KC,KC,2.5,46.5,12.35,15.50,71.42,0.67,1.14,8.26,0.06
8,Jahmyr Gibbs,DET,LAR,DET,-3.5,51.0,12.04,11.70,59.82,0.46,3.38,25.18,0.13
9,Isiah Pacheco,KC,BAL,KC,-2.5,46.5,12.01,14.00,65.31,0.50,2.45,18.15,0.11
10,Josh Jacobs,GB,PHI,PHI,2,48.5,11.21,14.10,63.43,0.49,2.15,15.66,0.06
11,De'Von Achane,MIA,JAX,MIA,-3.5,49.0,11.01,10.70,58.69,0.44,2.45,18.99,0.10
12,James Conner,ARI,BUF,BUF,6,48.0,10.84,14.20,59.24,0.47,2.25,16.78,0.07
13,Travis Etienne,JAX,MIA,MIA,3.5,49.0,10.57,14.20,58.85,0.40,2.56,19.23,0.06
14,Rachaad White,TB,WAS,TB,-3.0,42.0,10.48,13.20,53.97,0.37,2.89,21.39,0.12
15,James Cook,BUF,ARI,BUF,-6.0,48.0,10.40,11.90,57.21,0.32,2.56,19.80,0.13
16,David Montgomery,DET,LAR,DET,-3.5,51.0,10.34,11.90,56.91,0.56,1.27,9.25,0.06
17,Alvin Kamara,NO,CAR,NO,-4.0,40.0,10.08,11.70,48.12,0.27,3.88,28.65,0.13
18,Kenneth Walker,SEA,DEN,SEA,-5.0,42.0,9.93,13.60,57.86,0.42,1.73,12.59,0.06
19,Joe Mixon,HOU,IND,HOU,-2.0,49.0,9.61,12.70,55.19,0.35,2.24,16.33,0.06
20,Raheem Mostert,MIA,JAX,MIA,-3.5,49.0,9.34,10.90,52.26,0.44,1.56,11.18,0.06
21,Aaron Jones,MIN,NYG,-,-,,9.18,11.90,49.60,0.34,2.05,15.21,0.11
22,Devin Singletary,NYG,MIN,-,-,,9.08,13.50,54.44,0.30,2.07,14.76,0.06
23,D'Andre Swift,CHI,TEN,CHI,-4.5,43.5,8.95,11.20,48.18,0.36,2.21,16.16,0.06
24,Najee Harris,PIT,ATL,ATL,3,41.5,8.83,13.30,51.74,0.37,1.48,10.78,0.06
25,Chuba Hubbard,CAR,NO,NO,4,40.0,8.81,13.90,52.02,0.34,1.60,11.45,0.07
26,Zamir White,LV,LAC,LAC,3.5,42.5,8.61,12.80,50.13,0.35,1.57,11.38,0.06
27,Gus Edwards,LAC,LV,LAC,-3.5,42.5,8.55,11.60,49.92,0.41,1.01,7.42,0.06
28,Jerome Ford,CLE,DAL,CLE,-2.0,43.0,8.45,10.70,44.81,0.36,2.00,14.49,0.06
29,Zack Moss,CIN,NE,CIN,-9.0,42.5,8.27,10.20,44.42,0.35,1.89,13.70,0.06
30,Rhamondre Stevenson,NE,CIN,CIN,9,42.5,8.17,12.60,47.55,0.31,1.70,12.57,0.05
31,Javonte Williams,DEN,SEA,SEA,5,42.0,8.02,12.30,48.44,0.27,1.74,12.58,0.05
32,Tony Pollard,TEN,CHI,CHI,4.5,43.5,7.99,11.80,47.98,0.27,1.74,12.68,0.05
33,Ezekiel Elliott,DAL,CLE,CLE,2,43.0,7.87,10.60,41.63,0.36,1.64,11.89,0.06
34,Brian Robinson,WAS,TB,TB,3,42.0,7.42,11.10,41.63,0.31,1.41,10.41,0.06
35,Chase Brown,CIN,NE,CIN,-9.0,42.5,7.41,8.90,39.06,0.24,2.24,17.05,0.06
36,Jaylen Warren,PIT,ATL,ATL,3,41.5,7.35,9.10,37.48,0.21,2.27,16.77,0.11
37,Austin Ekeler,WAS,TB,TB,3,42.0,7.34,7.70,30.63,0.23,2.78,21.13,0.13
