,,Week 13 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,DAL,NYG,-,-,,7.37,18.75,264.40,2.96,0.94,0.63,0.06,0.13,0.06,0.00,0.00
2,NYJ,SEA,-,-,,7.28,21.00,319.64,2.96,0.93,0.62,0.06,0.12,0.06,0.00,0.00
3,BAL,PHI,-,-,,7.06,21.25,341.51,2.89,0.86,0.61,0.06,0.12,0.06,0.00,0.00
4,KC,LV,-,-,,7.06,19.25,381.81,2.81,0.87,0.62,0.06,0.12,0.06,0.00,0.00
5,SF,BUF,-,-,,6.97,22.50,369.73,2.85,0.85,0.61,0.06,0.12,0.06,0.00,0.00
6,CLE,DEN,-,-,,6.53,19.75,272.52,2.61,0.77,0.59,0.06,0.12,0.06,0.00,0.00
7,DET,CHI,-,-,,6.51,23.00,343.06,2.72,0.89,0.57,0.06,0.06,0.06,0.00,0.00
8,GB,MIA,-,-,,6.13,22.75,368.49,2.54,0.81,0.56,0.06,0.06,0.06,0.00,0.00
9,HOU,JAX,-,-,,6.09,24.00,338.96,2.54,0.77,0.59,0.06,0.06,0.06,0.00,0.00
10,PIT,CIN,-,-,,6.07,24.75,358.64,2.51,0.72,0.50,0.06,0.11,0.06,0.00,0.00
11,MIA,GB,-,-,,6.06,25.75,374.66,2.53,0.76,0.59,0.06,0.06,0.06,0.00,0.00
12,ATL,LAC,-,-,,5.99,22.50,345.76,2.45,0.79,0.55,0.06,0.06,0.06,0.00,0.00
13,BUF,SF,-,-,,5.97,24.50,392.50,2.46,0.82,0.53,0.06,0.06,0.06,0.00,0.00
14,CIN,PIT,-,-,,5.97,19.75,301.05,2.44,0.79,0.55,0.06,0.06,0.06,0.00,0.00
15,CHI,DET,-,-,,5.91,27.00,400.67,2.48,0.77,0.53,0.06,0.06,0.06,0.00,0.00
16,MIN,ARI,-,-,,5.90,22.00,351.67,2.56,0.72,0.54,0.06,0.06,0.06,0.00,0.00
17,JAX,HOU,-,-,,5.89,23.00,376.02,2.52,0.72,0.54,0.06,0.06,0.06,0.00,0.00
18,LAR,NO,-,-,,5.83,22.50,333.48,2.46,0.72,0.54,0.06,0.06,0.06,0.00,0.00
19,PHI,BAL,-,-,,5.78,25.25,378.05,2.46,0.74,0.52,0.06,0.06,0.06,0.00,0.00
20,SEA,NYJ,-,-,,5.76,25.50,361.70,2.45,0.74,0.51,0.06,0.06,0.06,0.00,0.00
21,TB,CAR,-,-,,5.74,20.50,303.68,2.34,0.76,0.53,0.06,0.06,0.06,0.00,0.00
22,NO,LAR,-,-,,5.74,24.00,381.11,2.34,0.76,0.53,0.06,0.06,0.06,0.00,0.00
23,WAS,TEN,-,-,,5.71,22.50,327.59,2.34,0.72,0.54,0.06,0.06,0.06,0.00,0.00
24,LAC,ATL,-,-,,5.68,25.00,355.07,2.40,0.70,0.53,0.06,0.06,0.06,0.00,0.00
25,IND,NE,-,-,,5.61,21.00,301.94,2.30,0.71,0.53,0.06,0.06,0.06,0.00,0.00
26,TEN,WAS,-,-,,5.56,24.00,329.68,2.28,0.70,0.53,0.06,0.06,0.06,0.00,0.00
27,NE,IND,-,-,,5.53,23.00,341.89,2.34,0.68,0.51,0.06,0.06,0.06,0.00,0.00
28,LV,KC,-,-,,5.47,26.25,406.46,2.37,0.66,0.50,0.06,0.06,0.06,0.00,0.00
29,ARI,MIN,-,-,,5.40,23.50,95.65,2.15,0.70,0.52,0.06,0.06,0.06,0.00,0.00
30,CAR,TB,-,-,,5.37,22.50,315.06,2.20,0.68,0.51,0.06,0.06,0.06,0.00,0.00
31,DEN,CLE,-,-,,5.24,23.25,333.32,2.12,0.67,0.50,0.06,0.06,0.06,0.00,0.00
32,NYG,DAL,-,-,,5.20,26.75,373.10,2.24,0.60,0.49,0.05,0.05,0.05,0.00,0.00
