,,,Week 11 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Josh Allen,BUF,KC,-,-,,24.61,22.02,32.90,66.9,245.39,1.64,0.85,6.50,33.34,0.55
2,Jalen Hurts,PHI,WAS,-,-,,24.46,20.09,29.00,69.3,224.74,1.43,0.68,8.90,40.44,0.69
3,Patrick Mahomes,KC,BUF,-,-,,23.92,24.34,35.40,68.8,271.93,2.04,0.74,4.10,21.79,0.12
4,Lamar Jackson,BAL,PIT,-,-,,22.55,18.02,27.30,66.0,207.78,1.48,0.59,8.90,49.72,0.31
5,Dak Prescott,DAL,HOU,-,-,,21.93,23.62,33.10,71.4,255.80,1.91,0.70,3.20,14.17,0.13
6,C.J. Stroud,HOU,DAL,-,-,,21.88,22.12,34.10,64.9,258.32,1.95,0.71,2.70,11.50,0.12
7,Joe Burrow,CIN,LAC,-,-,,21.47,24.35,35.60,68.4,256.68,1.88,0.73,3.20,11.26,0.12
8,Brock Purdy,SF,SEA,-,-,,21.21,20.97,28.60,73.3,251.11,1.88,0.69,2.30,10.46,0.13
9,Anthony Richardson,IND,NYJ,-,-,,20.94,16.81,28.10,59.8,190.82,1.08,0.68,10.00,45.82,0.53
10,Jared Goff,DET,JAX,-,-,,20.62,23.67,33.60,70.4,265.59,1.83,0.69,1.50,3.53,0.06
11,Tua Tagovailoa,MIA,LV,-,-,,20.19,22.18,30.80,72.0,257.13,1.82,0.75,1.90,4.48,0.06
12,Trevor Lawrence,JAX,DET,-,-,,19.66,21.72,32.90,66.0,230.84,1.48,0.77,4.10,18.86,0.18
13,Jordan Love,GB,CHI,-,-,,19.37,20.26,31.90,63.5,226.65,1.62,0.69,2.60,12.26,0.17
14,Matthew Stafford,LAR,NE,-,-,,19.24,21.96,33.10,66.3,246.50,1.75,0.84,0.90,3.93,0.06
15,Caleb Williams,CHI,GB,-,-,,19.23,20.44,32.10,63.7,227.47,1.47,0.82,4.00,17.18,0.18
16,Justin Herbert,LAC,CIN,-,-,,19.09,21.05,32.70,64.4,227.77,1.51,0.64,3.20,12.22,0.18
