,,,Week 13 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,LV,-,-,,24.99,25.40,35.40,71.8,283.68,2.13,0.77,4.10,22.74,0.13
2,Josh Allen,BUF,SF,-,-,,23.63,21.17,32.90,64.3,236.01,1.58,0.82,6.50,32.07,0.52
3,Lamar Jackson,BAL,PHI,-,-,,23.44,18.73,27.30,68.6,215.96,1.54,0.61,8.90,51.68,0.32
4,Jalen Hurts,PHI,BAL,-,-,,22.50,18.50,29.00,63.8,206.98,1.32,0.63,8.90,37.24,0.63
5,Dak Prescott,DAL,NYG,-,-,,22.17,23.92,33.10,72.3,258.99,1.93,0.71,3.20,14.35,0.13
6,Joe Burrow,CIN,PIT,-,-,,21.98,24.88,35.60,69.9,262.24,1.92,0.74,3.20,11.50,0.13
7,C.J. Stroud,HOU,JAX,-,-,,21.88,22.12,34.10,64.9,258.32,1.95,0.71,2.70,11.50,0.12
8,Anthony Richardson,IND,NE,-,-,,21.71,17.42,28.10,62.0,197.74,1.12,0.71,10.00,47.48,0.55
9,Jordan Love,GB,MIA,-,-,,20.72,21.71,31.90,68.1,242.87,1.73,0.74,2.60,13.14,0.18
10,Jared Goff,DET,CHI,-,-,,20.62,23.67,33.60,70.4,265.59,1.83,0.69,1.50,3.53,0.06
11,Brock Purdy,SF,BUF,-,-,,20.08,19.87,28.60,69.5,237.92,1.78,0.65,2.30,9.91,0.12
12,Trevor Lawrence,JAX,HOU,-,-,,19.96,22.10,32.90,67.2,234.88,1.50,0.78,4.10,19.19,0.18
13,Kyler Murray,ARI,MIN,-,-,,19.79,19.68,30.90,63.7,215.61,1.25,0.68,5.50,30.74,0.27
14,Justin Herbert,LAC,ATL,-,-,,19.43,21.43,32.70,65.5,231.86,1.54,0.65,3.20,12.44,0.18
15,Jayden Daniels,WAS,TEN,-,-,,19.37,18.12,29.10,62.3,202.46,1.19,0.83,5.80,31.59,0.36
16,Caleb Williams,CHI,DET,-,-,,19.32,20.53,32.10,64.0,228.47,1.48,0.83,4.00,17.25,0.18
17,Matthew Stafford,LAR,NO,-,-,,19.14,21.87,33.10,66.1,245.44,1.74,0.84,0.90,3.91,0.06
18,Aaron Rodgers,NYJ,SEA,-,-,,19.11,21.73,32.10,67.7,240.63,1.67,0.56,1.90,5.98,0.06
19,Tua Tagovailoa,MIA,GB,-,-,,18.93,20.81,30.80,67.6,241.23,1.70,0.71,1.90,4.20,0.06
20,Kirk Cousins,ATL,LAC,-,-,,18.29,22.37,31.90,70.1,239.27,1.56,0.72,1.70,4.42,0.06
21,Deshaun Watson,CLE,DEN,-,-,,18.12,18.22,28.90,63.0,200.55,1.29,0.76,4.50,23.11,0.23
22,Will Levis,TEN,WAS,-,-,,17.73,19.82,32.40,61.2,224.10,1.41,0.82,2.80,9.81,0.12
23,Baker Mayfield,TB,CAR,-,-,,17.58,20.16,31.40,64.2,219.07,1.39,0.70,3.20,11.04,0.11
24,Geno Smith,SEA,NYJ,-,-,,17.18,19.67,31.30,62.8,215.15,1.37,0.63,2.10,8.55,0.12
25,Drake Maye,NE,IND,-,-,,16.15,17.85,29.70,60.1,193.50,1.15,0.75,3.60,16.07,0.17
26,Derek Carr,NO,LAR,-,-,,15.95,20.71,31.20,66.4,213.52,1.29,0.64,1.80,3.93,0.06
27,Russell Wilson,PIT,CIN,-,-,,15.35,16.58,27.30,60.7,179.23,1.11,0.62,4.30,18.51,0.12
28,Bryce Young,CAR,TB,-,-,,15.22,17.92,30.90,58.0,195.65,1.07,0.79,2.90,12.90,0.11
29,Gardner Minshew,LV,KC,-,-,,15.17,19.69,32.50,60.6,205.28,1.11,0.74,1.80,6.67,0.09
30,Daniel Jones,NYG,DAL,-,-,,14.23,14.99,24.90,60.2,159.96,0.88,0.49,4.90,22.45,0.16
31,Bo Nix,DEN,CLE,-,-,,13.11,14.51,23.80,61.0,150.46,0.87,0.58,4.20,17.85,0.15
32,Aidan O'Connell,LV,KC,-,-,,5.68,7.86,13.40,58.7,83.77,0.46,0.37,0.10,0.20,0.00
33,Jimmy Garoppolo,LAR,NO,-,-,,1.29,1.38,2.10,65.7,15.02,0.14,0.07,0.20,0.48,0.00
34,Logan Woodside,CIN,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
