,,,Week 18 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,ARI,-,-,,15.95,15.10,73.45,0.66,4.05,32.00,0.24
2,Breece Hall,NYJ,MIA,-,-,,13.68,15.70,72.74,0.53,3.37,25.02,0.12
3,Bijan Robinson,ATL,CAR,-,-,,13.00,14.90,70.72,0.51,2.96,22.09,0.11
4,Jonathan Taylor,IND,JAX,-,-,,12.79,15.60,73.68,0.60,1.92,14.66,0.06
5,Saquon Barkley,PHI,NYG,-,-,,12.16,15.40,69.77,0.42,2.62,19.42,0.12
6,Derrick Henry,BAL,CLE,-,-,,12.05,14.40,69.31,0.65,1.19,8.62,0.06
7,Jahmyr Gibbs,DET,MIN,-,-,,11.90,11.70,58.85,0.46,3.33,24.77,0.13
8,Kyren Williams,LAR,SEA,-,-,,11.90,13.70,64.60,0.54,2.39,17.79,0.07
9,Josh Jacobs,GB,CHI,-,-,,11.44,14.10,64.81,0.50,2.20,16.00,0.06
10,Isiah Pacheco,KC,DEN,-,-,,11.03,12.90,58.90,0.45,2.40,17.76,0.11
11,Rachaad White,TB,NO,-,-,,10.51,13.20,54.21,0.37,2.90,21.48,0.12
12,Travis Etienne,JAX,IND,-,-,,10.50,14.20,58.34,0.40,2.54,19.06,0.06
13,David Montgomery,DET,MIN,-,-,,10.17,11.90,55.99,0.55,1.25,9.10,0.06
14,James Cook,BUF,NE,-,-,,9.84,11.90,54.40,0.30,2.44,18.83,0.12
15,De'Von Achane,MIA,NYJ,-,-,,9.51,9.90,49.58,0.37,2.24,17.34,0.10
16,Kenneth Walker,SEA,LAR,-,-,,9.41,13.60,55.10,0.40,1.65,11.99,0.05
17,Joe Mixon,HOU,TEN,-,-,,9.37,12.70,53.80,0.34,2.18,15.92,0.06
18,Aaron Jones,MIN,DET,-,-,,9.24,11.90,50.05,0.34,2.07,15.35,0.11
19,Najee Harris,PIT,CIN,-,-,,9.19,13.30,53.68,0.39,1.53,11.18,0.06
20,James Conner,ARI,SF,-,-,,8.95,12.00,48.92,0.39,1.82,13.58,0.06
21,Zamir White,LV,LAC,-,-,,8.87,12.80,51.77,0.36,1.62,11.75,0.06
22,Rhamondre Stevenson,NE,BUF,-,-,,8.85,12.60,51.05,0.34,1.83,13.49,0.06
23,Devin Singletary,NYG,PHI,-,-,,8.74,13.50,52.23,0.29,1.99,14.16,0.06
24,Nick Chubb,CLE,BAL,-,-,,8.72,11.80,50.66,0.44,0.84,6.55,0.06
25,Ezekiel Elliott,DAL,WAS,-,-,,8.62,10.60,45.61,0.39,1.79,13.02,0.07
26,D'Andre Swift,CHI,GB,-,-,,8.56,11.20,46.11,0.34,2.11,15.46,0.06
27,Gus Edwards,LAC,LV,-,-,,8.48,11.60,49.26,0.41,1.00,7.32,0.06
28,Alvin Kamara,NO,TB,-,-,,8.24,10.10,39.72,0.22,3.10,22.92,0.11
29,Javonte Williams,DEN,KC,-,-,,8.17,12.30,49.13,0.28,1.77,12.76,0.05
30,Tony Pollard,TEN,HOU,-,-,,8.16,11.80,49.32,0.27,1.79,13.04,0.05
31,Jonathon Brooks,CAR,ATL,-,-,,7.87,10.60,43.27,0.29,1.93,14.42,0.06
32,Raheem Mostert,MIA,NYJ,-,-,,7.83,9.80,42.90,0.37,1.43,10.20,0.05
33,Zack Moss,CIN,PIT,-,-,,7.81,10.20,41.82,0.33,1.78,12.90,0.06
34,Jaylen Warren,PIT,CIN,-,-,,7.61,9.10,38.89,0.22,2.36,17.40,0.11
35,Tyjae Spears,TEN,HOU,-,-,,7.30,8.30,34.69,0.20,2.61,19.15,0.12
36,Austin Ekeler,WAS,DAL,-,-,,7.06,7.70,31.20,0.23,2.42,18.38,0.12
37,Brian Robinson,WAS,DAL,-,-,,7.02,10.40,40.10,0.30,1.24,9.10,0.05
38,Chase Brown,CIN,PIT,-,-,,7.02,8.90,36.78,0.23,2.11,16.06,0.06
39,Zach Charbonnet,SEA,LAR,-,-,,6.43,8.10,32.82,0.24,1.82,13.47,0.06
40,Chuba Hubbard,CAR,ATL,-,-,,5.86,8.50,32.89,0.22,1.24,8.88,0.06
41,Blake Corum,LAR,SEA,-,-,,5.82,6.50,30.50,0.25,1.22,9.06,0.06
42,Jerome Ford,CLE,BAL,-,-,,5.73,6.80,27.22,0.22,1.92,13.91,0.05
43,Trey Benson,ARI,SF,-,-,,5.45,7.60,30.04,0.22,1.14,8.27,0.05
44,Tyler Allgeier,ATL,CAR,-,-,,5.41,7.30,32.63,0.17,1.09,7.67,0.06
45,Jaleel McLaughlin,DEN,KC,-,-,,4.94,6.50,26.84,0.17,1.21,8.75,0.06
46,Ty Chandler,MIN,DET,-,-,,4.86,6.70,26.50,0.16,1.26,9.51,0.05
47,Rico Dowdle,DAL,WAS,-,-,,4.69,5.90,25.59,0.16,1.20,8.75,0.05
48,Kendre Miller,NO,TB,-,-,,4.64,6.00,23.88,0.19,1.03,7.48,0.06
49,Khalil Herbert,CHI,GB,-,-,,4.53,6.30,26.31,0.18,0.60,4.57,0.06
50,Antonio Gibson,NE,BUF,-,-,,4.40,4.90,19.10,0.11,1.97,14.66,0.06
51,Kimani Vidal,LAC,LV,-,-,,4.25,5.50,22.94,0.20,1.02,7.53,0.00
52,Ray Davis,BUF,NE,-,-,,4.13,5.00,22.09,0.15,0.84,6.58,0.06
53,Dameon Pierce,HOU,TEN,-,-,,4.11,6.20,26.06,0.18,0.57,4.21,0.00
54,MarShawn Lloyd,GB,CHI,-,-,,4.04,4.80,21.24,0.13,0.95,7.20,0.07
55,Elijah Mitchell,SF,ARI,-,-,,3.96,5.20,24.01,0.18,0.62,4.74,0.00
56,Alexander Mattison,LV,LAC,-,-,,3.78,5.20,20.44,0.13,0.88,5.98,0.06
57,Clyde Edwards-Helaire,KC,DEN,-,-,,3.58,3.90,16.49,0.12,1.15,8.47,0.06
58,Roschon Johnson,CHI,GB,-,-,,3.56,3.60,14.58,0.14,1.12,8.45,0.07
59,AJ Dillon,GB,CHI,-,-,,3.49,4.60,19.51,0.18,0.63,4.61,0.00
60,Will Shipley,PHI,NYG,-,-,,3.42,4.10,18.02,0.12,0.74,5.40,0.06
61,Bucky Irving,TB,NO,-,-,,3.39,4.20,17.18,0.11,0.98,7.15,0.05
62,Deuce Vaughn,DAL,WAS,-,-,,3.25,3.20,14.26,0.09,1.00,7.43,0.09
63,Braelon Allen,NYJ,MIA,-,-,,3.25,4.10,17.63,0.15,0.46,3.45,0.04
64,Jamaal Williams,NO,TB,-,-,,2.96,4.70,18.24,0.13,0.50,3.51,0.00
65,Jaylen Wright,MIA,NYJ,-,-,,2.90,3.50,15.08,0.11,0.62,4.29,0.05
66,J.K. Dobbins,LAC,LV,-,-,,2.88,3.40,13.96,0.12,0.69,5.19,0.04
67,Chris Rodriguez,WAS,DAL,-,-,,2.83,4.20,16.63,0.14,0.45,3.27,0.00
68,Tyrone Tracy,NYG,PHI,-,-,,2.70,3.10,12.02,0.08,0.88,6.61,0.06
69,Ty Johnson,BUF,NE,-,-,,2.69,2.60,11.19,0.07,1.01,7.29,0.07
