,,,Week 12 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,CAR,-,-,,8.79,1.87,2.12,88.2,3.18,3.31,96.1
2,Justin Tucker,BAL,LAC,-,-,,8.59,1.89,2.13,88.7,2.92,2.98,98.0
3,Brandon Aubrey,DAL,WAS,-,-,,8.37,1.82,2.06,88.3,2.91,3.03,96.0
4,Ka'imi Fairbairn,HOU,TEN,-,-,,8.00,1.69,2.00,84.5,2.93,3.06,95.8
5,Jake Moody,SF,GB,-,-,,7.87,1.64,1.95,84.1,2.92,3.11,93.9
6,Jason Sanders,MIA,NE,-,-,,7.75,1.62,1.93,83.9,2.86,2.98,96.0
7,Dustin Hopkins,CLE,PIT,-,-,,7.41,1.66,1.96,84.7,2.43,2.55,95.3
8,Cameron Dicker,LAC,BAL,-,-,,7.40,1.69,1.92,88.0,2.33,2.45,95.1
9,Jason Myers,SEA,ARI,-,-,,7.37,1.64,1.94,84.5,2.30,2.43,94.7
10,Jake Elliott,PHI,LAR,-,-,,7.23,1.60,1.84,87.0,2.43,2.55,95.3
11,Daniel Carlson,LV,DEN,-,-,,7.21,1.76,1.99,88.4,2.11,2.17,97.2
12,Cairo Santos,CHI,MIN,-,-,,7.08,1.62,1.86,87.1,2.22,2.34,94.9
13,Chase McLaughlin,TB,NYG,-,-,,6.97,1.64,1.93,85.0,2.05,2.17,94.5
14,Matt Gay,IND,DET,-,-,,6.97,1.64,1.93,85.0,2.05,2.17,94.5
15,Joshua Karty,LAR,PHI,-,-,,6.93,1.49,1.83,81.4,2.46,2.58,95.3
16,Matt Prater,ARI,SEA,-,-,,6.84,1.61,1.90,84.7,2.01,2.13,94.4
17,Jake Bates,DET,IND,-,-,,6.82,1.37,1.68,81.5,2.68,2.81,95.4
18,Graham Gano,NYG,TB,-,-,,6.73,1.61,1.90,84.7,1.90,2.01,94.5
19,Chris Boswell,PIT,CLE,-,-,,6.68,1.57,1.80,87.2,1.97,2.08,94.7
20,Nick Folk,TEN,HOU,-,-,,6.57,1.57,1.86,84.4,1.86,1.97,94.4
21,Anders Carlson,GB,SF,-,-,,6.51,1.39,1.73,80.3,2.34,2.45,95.5
22,Wil Lutz,DEN,LV,-,-,,6.32,1.44,1.72,83.7,2.00,2.11,94.8
23,Will Reichard,MIN,CHI,-,-,,6.26,1.36,1.64,82.9,2.18,2.29,95.2
24,Eddy Pineiro,CAR,KC,-,-,,5.84,1.38,1.60,86.3,1.88,1.99,94.5
25,Joey Slye,NE,MIA,-,-,,1.43,0.37,0.47,78.7,0.47,0.51,92.2
26,Cade York,WAS,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
27,Matthew Wright,PIT,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
28,Spencer Shrader,IND,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
29,Chad Ryland,NE,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
30,Brayden Narveson,TEN,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Jude McAtamney,NYG,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Greg Joseph,GB,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Alex Hale,GB,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Michael Badgley,DET,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
