,,,Week 17 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Evan McPherson,CIN,DEN,-,-,,8.48,1.83,2.08,88.0,3.02,3.15,95.9
2,Justin Tucker,BAL,HOU,-,-,,8.47,1.86,2.10,88.6,2.89,2.95,98.0
3,Harrison Butker,KC,PIT,-,-,,8.37,1.78,2.02,88.1,3.03,3.15,96.2
4,Jake Moody,SF,DET,-,-,,8.13,1.71,2.02,84.7,3.03,3.22,94.1
5,Brandon Aubrey,DAL,PHI,-,-,,8.09,1.76,1.99,88.4,2.81,2.93,95.9
6,Younghoe Koo,ATL,WAS,-,-,,7.74,1.80,2.04,88.2,2.34,2.40,97.5
7,Tyler Bass,BUF,NYJ,-,-,,7.51,1.62,1.92,84.4,2.65,2.77,95.7
8,Ka'imi Fairbairn,HOU,BAL,-,-,,7.49,1.58,1.87,84.5,2.75,2.87,95.8
9,Jake Elliott,PHI,DAL,-,-,,7.41,1.64,1.88,87.2,2.49,2.61,95.4
10,Dustin Hopkins,CLE,MIA,-,-,,7.41,1.66,1.96,84.7,2.43,2.55,95.3
11,Cameron Dicker,LAC,NE,-,-,,7.32,1.68,1.91,88.0,2.31,2.43,95.1
12,Greg Zuerlein,NYJ,BUF,-,-,,7.31,1.67,1.96,85.2,2.30,2.42,95.0
13,Joshua Karty,LAR,ARI,-,-,,7.28,1.57,1.93,81.3,2.60,2.72,95.6
14,Blake Grupe,NO,LV,-,-,,7.16,1.59,1.88,84.6,2.24,2.35,95.3
15,Cairo Santos,CHI,SEA,-,-,,7.16,1.64,1.88,87.2,2.24,2.36,94.9
16,Chase McLaughlin,TB,CAR,-,-,,7.14,1.68,1.98,84.8,2.10,2.22,94.6
17,Jason Sanders,MIA,CLE,-,-,,7.10,1.49,1.78,83.7,2.63,2.75,95.6
18,Matt Gay,IND,NYG,-,-,,6.98,1.65,1.94,85.1,2.06,2.18,94.5
19,Jason Myers,SEA,CHI,-,-,,6.97,1.54,1.82,84.6,2.17,2.28,95.2
20,Daniel Carlson,LV,NO,-,-,,6.91,1.69,1.91,88.5,2.02,2.08,97.1
21,Matt Prater,ARI,LAR,-,-,,6.80,1.60,1.88,85.1,2.00,2.11,94.8
22,Anders Carlson,GB,MIN,-,-,,6.69,1.43,1.77,80.8,2.40,2.52,95.2
23,Nick Folk,TEN,JAX,-,-,,6.68,1.60,1.88,85.1,1.88,2.00,94.0
24,Graham Gano,NYG,IND,-,-,,6.64,1.59,1.87,85.0,1.87,1.99,94.0
25,Chris Boswell,PIT,KC,-,-,,6.61,1.55,1.77,87.6,1.93,2.04,94.6
26,Cam Little,JAX,TEN,-,-,,6.57,1.40,1.75,80.0,2.34,2.46,95.1
27,Jake Bates,DET,SF,-,-,,6.53,1.31,1.61,81.4,2.57,2.69,95.5
28,Will Reichard,MIN,GB,-,-,,6.38,1.38,1.66,83.1,2.21,2.32,95.3
29,Wil Lutz,DEN,CIN,-,-,,6.23,1.42,1.70,83.5,1.97,2.08,94.7
30,Eddy Pineiro,CAR,TB,-,-,,5.83,1.37,1.59,86.2,1.87,1.98,94.4
31,Joey Slye,NE,LAC,-,-,,1.43,0.38,0.47,80.9,0.47,0.52,90.4
32,Austin Seibert,NYJ,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Brayden Narveson,TEN,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Chad Ryland,NE,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Lucas Havrisik,CLE,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Spencer Shrader,IND,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Matthew Wright,PIT,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Charlie Smyth,NO,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Michael Badgley,DET,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Cade York,WAS,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
43,Alex Hale,GB,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
