,,,Week 10 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,TB,-,-,,16.45,15.10,75.68,0.68,4.18,32.98,0.25
2,Breece Hall,NYJ,ARI,-,-,,13.86,15.70,73.68,0.54,3.42,25.34,0.12
3,Jonathan Taylor,IND,BUF,-,-,,12.37,15.60,71.15,0.58,1.86,14.16,0.06
4,Bijan Robinson,ATL,NO,-,-,,12.30,14.90,67.19,0.48,2.81,20.99,0.10
5,Derrick Henry,BAL,CIN,-,-,,12.05,14.40,69.31,0.65,1.19,8.62,0.06
6,Saquon Barkley,PHI,DAL,-,-,,11.95,15.40,68.57,0.41,2.58,19.09,0.12
7,Isiah Pacheco,KC,DEN,-,-,,11.89,12.90,63.26,0.49,2.58,19.07,0.12
8,Kyren Williams,LAR,MIA,-,-,,11.51,13.70,62.46,0.52,2.32,17.20,0.07
9,Jahmyr Gibbs,DET,HOU,-,-,,11.38,11.70,56.41,0.44,3.19,23.74,0.12
10,Travis Etienne,JAX,MIN,-,-,,10.77,14.20,59.89,0.41,2.61,19.57,0.06
11,Rachaad White,TB,SF,-,-,,10.19,13.20,52.78,0.36,2.83,20.92,0.11
12,De'Von Achane,MIA,LAR,-,-,,9.91,9.90,51.60,0.39,2.33,18.05,0.10
13,James Cook,BUF,IND,-,-,,9.87,11.90,54.63,0.30,2.45,18.91,0.12
14,David Montgomery,DET,HOU,-,-,,9.72,11.90,53.67,0.53,1.20,8.72,0.05
15,Joe Mixon,HOU,DET,-,-,,9.52,12.70,54.50,0.35,2.21,16.13,0.06
16,Najee Harris,PIT,WAS,-,-,,9.45,13.30,54.89,0.40,1.57,11.43,0.07
17,James Conner,ARI,NYJ,-,-,,9.27,12.00,50.97,0.40,1.90,14.15,0.06
18,Aaron Jones,MIN,JAX,-,-,,9.24,11.90,50.05,0.34,2.07,15.35,0.11
19,Devin Singletary,NYG,CAR,-,-,,9.14,13.50,54.94,0.30,2.09,14.89,0.06
20,D'Andre Swift,CHI,NE,-,-,,8.98,11.20,48.39,0.36,2.22,16.23,0.06
21,Gus Edwards,LAC,TEN,-,-,,8.69,11.60,50.57,0.42,1.02,7.52,0.06
22,Rhamondre Stevenson,NE,CHI,-,-,,8.59,12.60,49.42,0.33,1.77,13.06,0.06
23,Ezekiel Elliott,DAL,PHI,-,-,,8.53,10.60,44.85,0.39,1.76,12.81,0.07
24,Alvin Kamara,NO,ATL,-,-,,8.39,10.10,40.63,0.22,3.17,23.45,0.11
25,Raheem Mostert,MIA,LAR,-,-,,8.17,9.80,44.65,0.38,1.49,10.62,0.06
26,Jonathon Brooks,CAR,NYG,-,-,,8.06,10.60,44.28,0.30,1.97,14.75,0.06
27,Javonte Williams,DEN,KC,-,-,,8.02,12.30,48.44,0.27,1.74,12.58,0.05
28,Tony Pollard,TEN,LAC,-,-,,8.01,11.80,48.20,0.27,1.74,12.74,0.05
29,Jaylen Warren,PIT,WAS,-,-,,7.74,9.10,39.76,0.22,2.41,17.79,0.11
30,Zack Moss,CIN,BAL,-,-,,7.68,10.20,41.27,0.33,1.76,12.73,0.05
31,Tyjae Spears,TEN,LAC,-,-,,7.18,8.30,33.90,0.20,2.55,18.72,0.12
32,Austin Ekeler,WAS,PIT,-,-,,7.10,7.70,31.48,0.23,2.44,18.55,0.12
33,Brian Robinson,WAS,PIT,-,-,,7.07,10.40,40.47,0.30,1.25,9.19,0.05
34,Chase Brown,CIN,BAL,-,-,,6.95,8.90,36.29,0.23,2.08,15.84,0.06
35,Chuba Hubbard,CAR,NYG,-,-,,6.01,8.50,33.65,0.23,1.27,9.09,0.06
36,Trey Benson,ARI,NYJ,-,-,,5.73,7.60,31.30,0.23,1.19,8.62,0.06
37,Blake Corum,LAR,MIA,-,-,,5.63,6.50,29.49,0.24,1.18,8.76,0.06
38,Tyler Allgeier,ATL,NO,-,-,,5.09,7.30,31.00,0.16,1.03,7.29,0.05
39,Ty Chandler,MIN,JAX,-,-,,4.86,6.70,26.50,0.16,1.26,9.51,0.05
40,Jaleel McLaughlin,DEN,KC,-,-,,4.77,6.50,26.46,0.16,1.19,8.62,0.05
41,Khalil Herbert,CHI,NE,-,-,,4.74,6.30,27.61,0.19,0.63,4.80,0.06
42,Kendre Miller,NO,ATL,-,-,,4.71,6.00,24.43,0.19,1.06,7.66,0.06
43,Rico Dowdle,DAL,PHI,-,-,,4.64,5.90,25.17,0.16,1.18,8.60,0.05
44,Kimani Vidal,LAC,TEN,-,-,,4.33,5.50,23.55,0.20,1.04,7.73,0.00
45,Antonio Gibson,NE,CHI,-,-,,4.23,4.90,18.49,0.11,1.91,14.19,0.05
46,Dameon Pierce,HOU,DET,-,-,,4.15,6.20,26.40,0.18,0.57,4.27,0.00
47,Ray Davis,BUF,IND,-,-,,4.14,5.00,22.19,0.15,0.85,6.60,0.06
