,,,Week 8 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,LV,-,-,,24.88,25.29,35.40,71.4,282.50,2.12,0.77,4.10,22.64,0.13
2,Josh Allen,BUF,SEA,-,-,,24.61,22.02,32.90,66.9,245.39,1.64,0.85,6.50,33.34,0.55
3,C.J. Stroud,HOU,IND,-,-,,22.97,23.29,34.10,68.3,271.89,2.05,0.75,2.70,12.10,0.12
4,Jalen Hurts,PHI,CIN,-,-,,22.89,18.83,29.00,64.9,210.72,1.34,0.64,8.90,37.92,0.64
5,Lamar Jackson,BAL,CLE,-,-,,22.62,18.10,27.30,66.3,208.69,1.48,0.59,8.90,49.94,0.31
6,Joe Burrow,CIN,PHI,-,-,,22.17,25.09,35.60,70.5,264.47,1.94,0.75,3.20,11.60,0.13
7,Anthony Richardson,IND,HOU,-,-,,21.32,17.11,28.10,60.9,194.28,1.10,0.70,10.00,46.65,0.54
8,Brock Purdy,SF,DAL,-,-,,20.80,20.55,28.60,71.9,246.03,1.84,0.67,2.30,10.25,0.13
9,Jared Goff,DET,TEN,-,-,,20.53,23.58,33.60,70.2,264.50,1.82,0.69,1.50,3.52,0.06
10,Tua Tagovailoa,MIA,ARI,-,-,,20.19,22.18,30.80,72.0,257.13,1.82,0.75,1.90,4.48,0.06
11,Dak Prescott,DAL,SF,-,-,,20.11,21.66,33.10,65.4,234.53,1.75,0.64,3.20,12.99,0.12
12,Jordan Love,GB,JAX,-,-,,20.00,20.89,31.90,65.5,233.74,1.67,0.71,2.60,12.64,0.18
13,Justin Herbert,LAC,NO,-,-,,19.82,21.81,32.70,66.7,235.95,1.57,0.66,3.20,12.66,0.19
14,Trevor Lawrence,JAX,GB,-,-,,19.47,21.52,32.90,65.4,228.82,1.46,0.76,4.10,18.69,0.18
15,Caleb Williams,CHI,WAS,-,-,,19.42,20.62,32.10,64.2,229.47,1.49,0.83,4.00,17.33,0.18
16,Matthew Stafford,LAR,MIN,-,-,,19.32,22.06,33.10,66.6,247.56,1.76,0.85,0.90,3.94,0.06
17,Kyler Murray,ARI,MIA,-,-,,19.26,19.16,30.90,62.0,209.85,1.22,0.66,5.50,29.92,0.26
18,Jayden Daniels,WAS,CHI,-,-,,18.46,17.26,29.10,59.3,192.88,1.14,0.79,5.80,30.10,0.34
19,Aaron Rodgers,NYJ,NE,-,-,,18.33,20.82,32.10,64.9,230.54,1.60,0.53,1.90,5.73,0.06
20,Deshaun Watson,CLE,BAL,-,-,,17.83,17.90,28.90,61.9,197.06,1.27,0.75,4.50,22.70,0.23
21,Baker Mayfield,TB,ATL,-,-,,17.67,20.25,31.40,64.5,220.03,1.40,0.70,3.20,11.09,0.11
22,Geno Smith,SEA,BUF,-,-,,17.41,19.94,31.30,63.7,218.08,1.39,0.64,2.10,8.66,0.12
23,Kirk Cousins,ATL,TB,-,-,,17.28,21.14,31.90,66.3,226.12,1.47,0.68,1.70,4.18,0.06
24,Will Levis,TEN,DET,-,-,,16.84,18.86,32.40,58.2,213.22,1.34,0.78,2.80,9.34,0.11
25,Russell Wilson,PIT,NYG,-,-,,16.40,17.66,27.30,64.7,190.87,1.19,0.66,4.30,19.72,0.13
26,Gardner Minshew,LV,KC,-,-,,15.67,20.34,32.50,62.6,212.01,1.15,0.76,1.80,6.89,0.09
27,Drake Maye,NE,NYJ,-,-,,15.42,17.04,29.70,57.4,184.72,1.10,0.71,3.60,15.34,0.16
28,Derek Carr,NO,LAC,-,-,,15.38,19.98,31.20,64.0,205.98,1.24,0.62,1.80,3.79,0.06
29,Bryce Young,CAR,DEN,-,-,,15.04,17.67,30.90,57.2,192.96,1.06,0.78,2.90,12.73,0.11
30,Daniel Jones,NYG,PIT,-,-,,14.32,15.14,24.90,60.8,161.47,0.88,0.50,4.90,22.66,0.16
31,Bo Nix,DEN,CAR,-,-,,13.67,15.19,23.80,63.8,157.44,0.91,0.61,4.20,18.68,0.15
32,Aidan O'Connell,LV,KC,-,-,,5.89,8.12,13.40,60.6,86.52,0.48,0.38,0.10,0.21,0.00
33,Jimmy Garoppolo,LAR,MIN,-,-,,1.30,1.40,2.10,66.7,15.15,0.14,0.07,0.20,0.48,0.00
34,Logan Woodside,CIN,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Skylar Thompson,MIA,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Luis Perez,LAC,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Mitch Trubisky,BUF,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Nathan Peterman,LV,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Mike White,MIA,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,John Rhys Plumlee,PIT,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
59,Jameis Winston,CLE,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
60,Michael Pratt,GB,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
61,Sam Howell,SEA,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
62,Austin Reed,CHI,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
63,Hendon Hooker,DET,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
64,Josh Johnson,BAL,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
65,Tyler Huntley,CLE,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
66,Brandon Allen,SF,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
67,Mac Jones,JAX,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
68,Kyle Allen,PIT,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
69,Case Keenum,HOU,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
70,Tyson Bagent,CHI,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
71,Devin Leary,BAL,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
72,Jason Bean,IND,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
73,Rocky Lombardi,CIN,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
74,C.J. Beathard,JAX,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
75,Marcus Mariota,WAS,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
76,Stetson Bennett,LAR,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
