,,,Week 11 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Brandon Aubrey,DAL,HOU,-,-,,8.59,1.87,2.11,88.6,2.98,3.11,95.8
2,Harrison Butker,KC,BUF,-,-,,8.45,1.80,2.04,88.2,3.05,3.17,96.2
3,Justin Tucker,BAL,PIT,-,-,,8.33,1.83,2.07,88.4,2.84,2.90,97.9
4,Jake Moody,SF,SEA,-,-,,8.29,1.73,2.05,84.4,3.07,3.26,94.2
5,Evan McPherson,CIN,LAC,-,-,,8.08,1.73,1.97,87.8,2.86,2.98,96.0
6,Greg Zuerlein,NYJ,IND,-,-,,7.79,1.77,2.08,85.1,2.45,2.57,95.3
7,Jason Sanders,MIA,LV,-,-,,7.77,1.63,1.94,84.0,2.88,3.01,95.7
8,Younghoe Koo,ATL,DEN,-,-,,7.73,1.80,2.04,88.2,2.33,2.39,97.5
9,Tyler Bass,BUF,KC,-,-,,7.63,1.64,1.95,84.1,2.68,2.80,95.7
10,Jake Elliott,PHI,WAS,-,-,,7.62,1.68,1.93,87.0,2.55,2.67,95.5
11,Ka'imi Fairbairn,HOU,DAL,-,-,,7.55,1.60,1.89,84.7,2.78,2.90,95.9
12,Cameron Dicker,LAC,CIN,-,-,,7.31,1.67,1.90,87.9,2.30,2.42,95.0
13,Dustin Hopkins,CLE,NO,-,-,,7.24,1.63,1.92,84.9,2.38,2.50,95.2
14,Jake Bates,DET,JAX,-,-,,7.00,1.42,1.74,81.6,2.77,2.90,95.5
15,Cairo Santos,CHI,GB,-,-,,6.95,1.59,1.82,87.4,2.18,2.29,95.2
16,Joshua Karty,LAR,NE,-,-,,6.95,1.50,1.85,81.1,2.48,2.60,95.4
17,Daniel Carlson,LV,MIA,-,-,,6.95,1.69,1.92,88.0,2.03,2.09,97.1
18,Blake Grupe,NO,CLE,-,-,,6.81,1.51,1.79,84.4,2.13,2.24,95.1
19,Matt Gay,IND,NYJ,-,-,,6.80,1.60,1.88,85.1,2.00,2.11,94.8
20,Nick Folk,TEN,MIN,-,-,,6.72,1.60,1.89,84.7,1.89,2.00,94.5
21,Chris Boswell,PIT,BAL,-,-,,6.64,1.57,1.79,87.7,1.96,2.07,94.7
22,Jason Myers,SEA,SF,-,-,,6.64,1.48,1.75,84.6,2.08,2.19,95.0
23,Anders Carlson,GB,CHI,-,-,,6.49,1.38,1.71,80.7,2.32,2.43,95.5
24,Wil Lutz,DEN,ATL,-,-,,6.48,1.48,1.76,84.1,2.04,2.16,94.4
25,Will Reichard,MIN,TEN,-,-,,6.40,1.39,1.67,83.2,2.23,2.34,95.3
26,Cam Little,JAX,DET,-,-,,6.34,1.36,1.69,80.5,2.26,2.37,95.4
27,Joey Slye,NE,LAR,-,-,,1.53,0.38,0.48,79.2,0.48,0.53,90.6
28,Charlie Smyth,NO,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
29,Spencer Shrader,IND,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
30,Austin Seibert,NYJ,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Chad Ryland,NE,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Brayden Narveson,TEN,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Greg Joseph,GB,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Michael Badgley,DET,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Matthew Wright,PIT,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Cade York,WAS,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Alex Hale,GB,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
