,,,Week 10 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
61,Wan'Dale Robinson,NYG,CAR,-,-,,5.09,3.32,33.98,0.23,0.57,3.15,0.00
62,Darnell Mooney,ATL,NO,-,-,,5.03,2.69,36.32,0.22,0.11,0.81,0.00
63,Ja'Lynn Polk,NE,CHI,-,-,,4.93,2.98,35.28,0.22,0.06,0.77,0.00
64,DeMario Douglas,NE,CHI,-,-,,4.85,3.15,34.69,0.20,0.30,1.85,0.00
65,Rashod Bateman,BAL,CIN,-,-,,4.76,2.63,33.52,0.23,0.06,0.29,0.00
66,Marvin Mims,DEN,KC,-,-,,4.75,2.46,33.92,0.20,0.20,1.57,0.00
67,Devontez Walker,BAL,CIN,-,-,,4.66,2.57,31.59,0.24,0.08,0.56,0.00
68,Jermaine Burton,CIN,BAL,-,-,,4.64,2.53,32.03,0.23,0.06,0.58,0.00
69,Adam Thielen,CAR,NYG,-,-,,4.62,3.38,33.80,0.20,0.05,0.35,0.00
70,Jalen McMillan,TB,SF,-,-,,4.38,2.84,30.09,0.21,0.15,1.14,0.00
71,Darius Slayton,NYG,CAR,-,-,,4.26,2.22,32.08,0.17,0.06,0.29,0.00
72,Greg Dortch,ARI,NYJ,-,-,,4.15,3.05,29.93,0.17,0.28,1.39,0.00
73,Tyler Boyd,TEN,LAC,-,-,,3.86,2.67,27.94,0.17,0.12,0.46,0.00
74,Kendrick Bourne,NE,CHI,-,-,,3.69,2.11,26.61,0.16,0.11,0.65,0.00
75,Demarcus Robinson,LAR,MIA,-,-,,3.63,1.92,23.81,0.20,0.04,0.45,0.00
76,Zay Jones,ARI,NYJ,-,-,,3.63,2.17,25.67,0.17,0.11,0.40,0.00
77,Odell Beckham,MIA,LAR,-,-,,3.62,2.01,24.96,0.18,0.06,0.41,0.00
78,K.J. Osborn,NE,CHI,-,-,,3.30,1.78,23.10,0.16,0.05,0.32,0.00
79,Javon Baker,NE,CHI,-,-,,3.27,1.92,23.23,0.14,0.14,1.05,0.00
80,DJ Chark,LAC,TEN,-,-,,3.26,1.81,23.84,0.14,0.05,0.32,0.00
81,Marquez Valdes-Scantling,BUF,IND,-,-,,3.09,1.32,19.88,0.18,0.09,0.26,0.00
82,Jalin Hyatt,NYG,CAR,-,-,,3.07,1.52,22.73,0.13,0.07,0.20,0.00
83,Jalen Tolbert,DAL,PHI,-,-,,3.06,1.88,21.90,0.14,0.05,0.33,0.00
84,Tyler Scott,CHI,NE,-,-,,3.00,1.66,18.79,0.15,0.45,2.19,0.00
85,A.T. Perry,NO,ATL,-,-,,2.98,1.49,21.13,0.14,0.07,0.27,0.00
86,Josh Reynolds,DEN,KC,-,-,,2.74,1.62,20.56,0.11,0.05,0.27,0.00
87,Treylon Burks,TEN,LAC,-,-,,2.69,1.47,19.08,0.11,0.26,1.25,0.00
88,Noah Brown,HOU,DET,-,-,,2.67,1.30,18.04,0.14,0.07,0.22,0.00
89,Van Jefferson,PIT,WAS,-,-,,2.59,1.41,18.03,0.12,0.12,0.70,0.00
90,Alec Pierce,IND,BUF,-,-,,2.56,1.27,19.33,0.10,0.05,0.25,0.00
91,Malik Washington,MIA,LAR,-,-,,2.55,1.37,17.47,0.11,0.21,1.47,0.00
92,Jonathan Mingo,CAR,NYG,-,-,,2.54,1.48,17.69,0.12,0.04,0.47,0.00
93,Jauan Jennings,SF,TB,-,-,,2.50,1.42,17.38,0.12,0.04,0.38,0.00
94,KJ Hamler,BUF,IND,-,-,,2.47,1.17,16.25,0.13,0.13,0.65,0.00
95,Trey Palmer,TB,SF,-,-,,2.45,1.42,17.47,0.10,0.20,1.02,0.00
96,Cedrick Wilson,NO,ATL,-,-,,2.39,1.29,16.31,0.12,0.06,0.35,0.00
97,Kalif Raymond,DET,HOU,-,-,,2.33,1.21,15.18,0.10,0.34,2.13,0.00
98,Parker Washington,JAX,MIN,-,-,,2.30,1.42,15.28,0.12,0.12,0.47,0.00
99,Andrei Iosivas,CIN,BAL,-,-,,2.25,1.24,15.54,0.11,0.04,0.36,0.00
100,Calvin Austin,PIT,WAS,-,-,,2.21,1.33,14.28,0.09,0.40,2.45,0.00
101,Brenden Rice,LAC,TEN,-,-,,2.19,1.18,14.82,0.11,0.11,0.43,0.00
102,Dyami Brown,WAS,PIT,-,-,,2.12,1.19,14.30,0.11,0.11,0.32,0.00
103,Mecole Hardman,KC,DEN,-,-,,2.08,0.99,13.00,0.09,0.36,2.35,0.00
104,Chris Moore,ARI,NYJ,-,-,,2.05,1.08,13.56,0.10,0.20,0.98,0.00
105,Allen Lazard,NYJ,ARI,-,-,,2.04,0.99,13.53,0.11,0.11,0.22,0.00
106,Justin Watson,KC,DEN,-,-,,1.99,1.06,13.87,0.10,0.00,0.00,0.00
107,Tutu Atwell,LAR,MIA,-,-,,1.94,1.16,14.75,0.06,0.18,1.04,0.00
108,Robert Woods,HOU,DET,-,-,,1.82,1.22,12.46,0.09,0.09,0.37,0.00
109,Braxton Berrios,MIA,LAR,-,-,,1.78,1.24,12.30,0.08,0.08,0.66,0.00
110,Kadarius Toney,KC,DEN,-,-,,1.78,0.90,11.01,0.06,0.51,3.14,0.00
111,Tim Patrick,DEN,KC,-,-,,1.68,0.95,11.72,0.08,0.05,0.23,0.00
112,Russell Gage,BAL,CIN,-,-,,1.59,0.89,10.18,0.09,0.09,0.27,0.00
113,Xavier Hutchinson,HOU,DET,-,-,,1.55,0.86,10.70,0.06,0.18,1.16,0.00
114,D.J. Montgomery,IND,BUF,-,-,,1.54,0.95,11.42,0.06,0.06,0.36,0.00
115,Brandon Johnson,DEN,KC,-,-,,1.54,0.81,10.04,0.08,0.08,0.57,0.00
116,Quez Watkins,PIT,WAS,-,-,,1.53,0.81,11.38,0.06,0.06,0.29,0.00
117,Nelson Agholor,BAL,CIN,-,-,,1.49,0.80,9.90,0.08,0.08,0.24,0.00
118,Isaiah Hodgins,NYG,CAR,-,-,,1.48,0.84,10.94,0.06,0.06,0.24,0.00
119,Donovan Peoples-Jones,DET,HOU,-,-,,1.47,0.78,10.88,0.06,0.06,0.24,0.00
120,KaVontae Turpin,DAL,PHI,-,-,,1.46,0.67,7.58,0.06,0.55,3.42,0.00
121,Rakim Jarrett,TB,SF,-,-,,1.43,0.81,10.07,0.06,0.12,0.58,0.00
122,Derius Davis,LAC,TEN,-,-,,1.43,0.71,8.90,0.06,0.29,1.77,0.00
123,Johnny Wilson,PHI,DAL,-,-,,1.41,0.86,10.21,0.06,0.06,0.31,0.00
124,Xavier Gipson,NYJ,ARI,-,-,,1.41,0.86,9.24,0.06,0.24,1.28,0.00
