,,Week 12 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,DAL,WAS,-,-,,7.09,21.50,315.50,2.85,0.91,0.61,0.06,0.12,0.06,0.00,0.00
2,KC,CAR,-,-,,7.06,19.25,296.73,2.81,0.87,0.62,0.06,0.12,0.06,0.00,0.00
3,SF,GB,-,-,,7.00,22.25,352.76,2.86,0.85,0.61,0.06,0.12,0.06,0.00,0.00
4,BAL,LAC,-,-,,7.00,22.25,344.24,2.86,0.85,0.61,0.06,0.12,0.06,0.00,0.00
5,CLE,PIT,-,-,,6.53,20.25,303.85,2.61,0.77,0.59,0.06,0.12,0.06,0.00,0.00
6,HOU,TEN,-,-,,6.43,20.25,314.58,2.69,0.81,0.62,0.06,0.06,0.06,0.00,0.00
7,MIA,NE,-,-,,6.41,19.00,290.99,2.67,0.81,0.62,0.06,0.06,0.06,0.00,0.00
8,DET,IND,-,-,,6.30,22.50,338.90,2.63,0.86,0.55,0.06,0.06,0.06,0.00,0.00
9,PIT,CLE,-,-,,6.13,23.25,333.32,2.53,0.73,0.51,0.06,0.11,0.06,0.00,0.00
10,SEA,ARI,-,-,,6.12,21.50,348.54,2.61,0.79,0.55,0.06,0.06,0.06,0.00,0.00
11,CHI,MIN,-,-,,6.01,21.00,91.50,2.52,0.78,0.54,0.06,0.06,0.06,0.00,0.00
12,PHI,LAR,-,-,,5.99,23.75,379.48,2.55,0.77,0.53,0.06,0.06,0.06,0.00,0.00
13,LAR,PHI,-,-,,5.81,23.25,353.84,2.45,0.72,0.54,0.06,0.06,0.06,0.00,0.00
14,LV,DEN,-,-,,5.80,19.50,271.25,2.52,0.70,0.53,0.06,0.06,0.06,0.00,0.00
15,GB,SF,-,-,,5.77,24.75,394.18,2.39,0.76,0.52,0.06,0.06,0.06,0.00,0.00
16,TB,NYG,-,-,,5.74,21.50,278.15,2.34,0.76,0.53,0.06,0.06,0.06,0.00,0.00
17,LAC,BAL,-,-,,5.66,24.75,374.86,2.39,0.70,0.52,0.06,0.06,0.06,0.00,0.00
18,MIN,CHI,-,-,,5.64,24.00,349.07,2.45,0.68,0.51,0.06,0.06,0.06,0.00,0.00
19,IND,DET,-,-,,5.56,25.00,387.56,2.28,0.70,0.53,0.06,0.06,0.06,0.00,0.00
20,NYG,TB,-,-,,5.47,22.50,315.06,2.36,0.63,0.52,0.06,0.06,0.06,0.00,0.00
21,WAS,DAL,-,-,,5.47,24.50,359.31,2.24,0.69,0.52,0.06,0.06,0.06,0.00,0.00
22,ARI,SEA,-,-,,5.35,24.50,339.94,2.13,0.69,0.52,0.06,0.06,0.06,0.00,0.00
23,TEN,HOU,-,-,,5.34,26.25,397.42,2.19,0.67,0.51,0.06,0.06,0.06,0.00,0.00
24,NE,MIA,-,-,,5.33,26.00,389.55,2.25,0.66,0.49,0.05,0.05,0.05,0.00,0.00
25,CAR,KC,-,-,,5.24,26.25,406.46,2.15,0.66,0.50,0.06,0.06,0.06,0.00,0.00
26,DEN,LV,-,-,,5.21,22.50,405.06,2.11,0.67,0.50,0.06,0.06,0.06,0.00,0.00
