,,,Week 7 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Justin Tucker,BAL,TB,-,-,,8.72,1.91,2.16,88.4,2.96,3.02,98.0
2,Harrison Butker,KC,SF,-,-,,8.44,1.79,2.03,88.2,3.04,3.16,96.2
3,Evan McPherson,CIN,CLE,-,-,,8.09,1.74,1.98,87.9,2.87,2.99,96.0
4,Younghoe Koo,ATL,SEA,-,-,,8.00,1.86,2.11,88.2,2.42,2.48,97.6
5,Jake Moody,SF,KC,-,-,,7.97,1.67,1.97,84.8,2.96,3.15,94.0
6,Tyler Bass,BUF,TEN,-,-,,7.89,1.71,2.03,84.2,2.79,2.92,95.5
7,Jason Sanders,MIA,IND,-,-,,7.58,1.59,1.90,83.7,2.81,2.94,95.6
8,Ka'imi Fairbairn,HOU,GB,-,-,,7.55,1.60,1.89,84.7,2.78,2.90,95.9
9,Greg Zuerlein,NYJ,PIT,-,-,,7.36,1.68,1.97,85.3,2.32,2.44,95.1
10,Cameron Dicker,LAC,ARI,-,-,,7.36,1.68,1.92,87.5,2.32,2.44,95.1
11,Dustin Hopkins,CLE,CIN,-,-,,7.36,1.65,1.94,85.1,2.41,2.53,95.3
12,Jake Elliott,PHI,NYG,-,-,,7.32,1.62,1.86,87.1,2.46,2.59,95.0
13,Blake Grupe,NO,DEN,-,-,,7.20,1.60,1.89,84.7,2.25,2.36,95.3
14,Matt Gay,IND,MIA,-,-,,7.14,1.68,1.98,84.8,2.10,2.22,94.6
15,Jason Myers,SEA,ATL,-,-,,7.11,1.57,1.87,84.0,2.22,2.33,95.3
16,Joshua Karty,LAR,LV,-,-,,7.10,1.52,1.87,81.3,2.51,2.63,95.4
17,Daniel Carlson,LV,LAR,-,-,,7.03,1.71,1.94,88.1,2.05,2.11,97.2
18,Matt Prater,ARI,LAC,-,-,,7.02,1.65,1.95,84.6,2.07,2.19,94.5
19,Anders Carlson,GB,HOU,-,-,,6.89,1.47,1.83,80.3,2.48,2.59,95.8
20,Jake Bates,DET,MIN,-,-,,6.84,1.38,1.70,81.2,2.70,2.83,95.4
21,Chris Boswell,PIT,NYJ,-,-,,6.80,1.60,1.82,87.9,2.00,2.11,94.8
22,Chase McLaughlin,TB,BAL,-,-,,6.75,1.58,1.86,84.9,1.98,2.09,94.7
23,Nick Folk,TEN,BUF,-,-,,6.57,1.57,1.86,84.4,1.86,1.97,94.4
24,Graham Gano,NYG,PHI,-,-,,6.53,1.57,1.85,84.9,1.85,1.96,94.4
25,Cam Little,JAX,NE,-,-,,6.49,1.39,1.74,79.9,2.32,2.44,95.1
26,Will Reichard,MIN,DET,-,-,,6.44,1.40,1.68,83.3,2.24,2.35,95.3
27,Wil Lutz,DEN,NO,-,-,,6.32,1.44,1.72,83.7,2.00,2.11,94.8
28,Eddy Pineiro,CAR,WAS,-,-,,5.85,1.39,1.61,86.3,1.89,2.00,94.5
29,Joey Slye,NE,JAX,-,-,,1.42,0.37,0.46,80.4,0.46,0.50,92.0
30,Austin Seibert,NYJ,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Chad Ryland,NE,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Brayden Narveson,TEN,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Jude McAtamney,NYG,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Greg Joseph,GB,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Matthew Wright,PIT,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Spencer Shrader,IND,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Charlie Smyth,NO,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Michael Badgley,DET,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Cade York,WAS,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Alex Hale,GB,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
